direction,column,protocol,target,feature,sign,rank_seeds,contrast_seeds,passes
CONDITIONAL_SCALING,25g,compound,V1,EA_fraction,1,0,0,False
CONDITIONAL_SCALING,25g,compound,V1,EA_fraction,-1,5,4,True
CONDITIONAL_SCALING,25g,compound,V1,amount_density_ul,1,0,0,False
CONDITIONAL_SCALING,25g,compound,V1,amount_density_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,compound,V1,loading_ul,1,0,1,False
CONDITIONAL_SCALING,25g,compound,V1,loading_ul,-1,0,1,False
CONDITIONAL_SCALING,25g,compound,V1,loading_volume_ul,1,0,0,False
CONDITIONAL_SCALING,25g,compound,V1,loading_volume_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,compound,V1,solvent_DCM,1,2,2,False
CONDITIONAL_SCALING,25g,compound,V1,solvent_DCM,-1,0,0,False
CONDITIONAL_SCALING,25g,compound,V2,EA_fraction,1,0,0,False
CONDITIONAL_SCALING,25g,compound,V2,EA_fraction,-1,0,0,False
CONDITIONAL_SCALING,25g,compound,V2,amount_density_ul,1,0,0,False
CONDITIONAL_SCALING,25g,compound,V2,amount_density_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,compound,V2,loading_ul,1,2,3,False
CONDITIONAL_SCALING,25g,compound,V2,loading_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,compound,V2,loading_volume_ul,1,0,0,False
CONDITIONAL_SCALING,25g,compound,V2,loading_volume_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,compound,V2,solvent_DCM,1,1,1,False
CONDITIONAL_SCALING,25g,compound,V2,solvent_DCM,-1,0,0,False
CONDITIONAL_SCALING,25g,row,V1,EA_fraction,1,0,0,False
CONDITIONAL_SCALING,25g,row,V1,EA_fraction,-1,5,5,True
CONDITIONAL_SCALING,25g,row,V1,amount_density_ul,1,0,0,False
CONDITIONAL_SCALING,25g,row,V1,amount_density_ul,-1,0,1,False
CONDITIONAL_SCALING,25g,row,V1,loading_ul,1,0,0,False
CONDITIONAL_SCALING,25g,row,V1,loading_ul,-1,0,2,False
CONDITIONAL_SCALING,25g,row,V1,loading_volume_ul,1,0,0,False
CONDITIONAL_SCALING,25g,row,V1,loading_volume_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,row,V1,solvent_DCM,1,2,2,False
CONDITIONAL_SCALING,25g,row,V1,solvent_DCM,-1,0,0,False
CONDITIONAL_SCALING,25g,row,V2,EA_fraction,1,0,0,False
CONDITIONAL_SCALING,25g,row,V2,EA_fraction,-1,1,0,False
CONDITIONAL_SCALING,25g,row,V2,amount_density_ul,1,0,0,False
CONDITIONAL_SCALING,25g,row,V2,amount_density_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,row,V2,loading_ul,1,0,1,False
CONDITIONAL_SCALING,25g,row,V2,loading_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,row,V2,loading_volume_ul,1,0,0,False
CONDITIONAL_SCALING,25g,row,V2,loading_volume_ul,-1,0,0,False
CONDITIONAL_SCALING,25g,row,V2,solvent_DCM,1,0,0,False
CONDITIONAL_SCALING,25g,row,V2,solvent_DCM,-1,0,0,False
CONDITIONAL_SCALING,40g,compound,V1,EA_fraction,1,0,0,False
CONDITIONAL_SCALING,40g,compound,V1,EA_fraction,-1,5,5,True
CONDITIONAL_SCALING,40g,compound,V1,amount_density_ul,1,1,0,False
CONDITIONAL_SCALING,40g,compound,V1,amount_density_ul,-1,0,1,False
CONDITIONAL_SCALING,40g,compound,V1,loading_ul,1,0,0,False
CONDITIONAL_SCALING,40g,compound,V1,loading_ul,-1,0,0,False
