column,protocol,target,budget,mean,std,median,min,max,coefficient_cv,cv_percent
25g,compound,V1,100,5.795121094783396,0.3708547564027876,5.8126904298058015,5.3835036753707355,6.373560696537875,0.0639943066481597,6.399430664815969
25g,compound,V2,100,4.267586567216954,0.1063688742988078,4.203838989224504,4.196993148630177,4.444694305122486,0.0249248310780429,2.49248310780429
25g,row,V1,100,5.589854857628446,0.1476066148898221,5.496523045841718,5.466464486393943,5.785399637252737,0.0264061623511358,2.6406162351135802
25g,row,V2,100,4.146377751949304,0.2420911558763925,4.118307879148042,3.864121339033724,4.4128683768144805,0.0583861795425127,5.83861795425127
40g,compound,V1,100,11.352506781643651,0.2169430046700234,11.36728963443682,11.030391882278732,11.554133654430396,0.0191097005130891,1.9109700513089098
40g,compound,V2,100,7.426920930573985,0.1611912972806024,7.378983292348105,7.263447544723792,7.675368099508994,0.0217036506497646,2.17036506497646
40g,row,V1,100,11.312799743089313,0.5131184406454594,11.151777944302127,10.783597839958665,12.072844884876844,0.0453573343732978,4.53573343732978
40g,row,V2,100,7.350609602210784,0.4097020487032332,7.346159945505925,6.771935106488715,7.755133739056802,0.0557371525458256,5.5737152545825595
8g,compound,V1,100,2.2674224217165726,0.2521308986980956,2.2208870725620007,2.026280712166347,2.6870548793530227,0.1111971445123214,11.11971445123214
8g,compound,V2,100,1.7587533966709157,0.1259346375295516,1.7484599291544758,1.6090095976462495,1.954587499841281,0.0716044885928459,7.160448859284591
8g,row,V1,100,2.344793651055418,0.0516024582825867,2.3696829730683273,2.25611860288985,2.38289475526523,0.0220072492346436,2.2007249234643598
8g,row,V2,100,1.8532738530363375,0.0443802288260516,1.8374826578642232,1.8002557113423872,1.9068700788343371,0.0239469351781662,2.39469351781662
