column,rows,exact_rows,relaxed_rows,exact_source_train_rows,relaxed_source_train_rows,ambiguous_exact_source_rows,source_absent_rows
25g,490,0,297,0,240,0,19
40g,529,0,422,0,358,0,0
8g,574,412,429,324,346,0,7
