column,protocol,seed,budget,target,scale,train_rows,compounds,q50_min,q50_max,q50_q90,upper10_x2_leverage,without_upper10_scale,without_upper10_relative_change,leave_compound_min_scale,leave_compound_max_scale,leave_compound_max_relative_change
25g,compound,536279090,30,V1,5.956374262059152,26,4,4.272993,23.030262,10.6771135,0.5244603825673678,5.606184991196194,-0.058792355123416296,5.705750235967204,6.253169830780895,0.04982822698235534
25g,compound,536279090,30,V2,4.049650429600818,26,4,7.9826307,46.31017,24.7588175,0.4351877154840048,3.9114328446714266,-0.034130744698133264,3.7260561529754375,4.370644431398421,0.0799067184318123
25g,compound,536279090,50,V1,4.980899777345744,41,6,4.272993,31.897373,12.544195,0.5946394733796407,5.206513867109866,0.04529585011733528,4.672914063777123,5.62744838723123,0.12980558509250373
25g,compound,536279090,50,V2,3.8278632742615604,41,6,7.420563,69.369545,27.649807,0.5672026845691749,3.843202960619693,0.004007375723494633,3.6639744876561604,4.059666861351459,0.06055691399652097
25g,compound,536279090,70,V1,5.712051322386887,64,10,4.17361,31.897373,13.534325550000002,0.5517775067674533,5.357909222187412,-0.06199911033913641,5.2494949642602196,6.208601139195915,0.08693020926876671
25g,compound,536279090,70,V2,4.3358002561365305,64,10,7.420563,69.369545,31.4842838,0.5274208895346761,3.9930371085053618,-0.07905418316862045,4.005363197773844,4.524193091657085,0.0762113194432823
25g,compound,536279090,100,V1,5.8126904298058015,91,14,3.8192286,31.897373,13.156048,0.5327529179833698,5.201755308162167,-0.1051036742832433,5.484535684581087,6.19208837832677,0.06527062693301633
25g,compound,536279090,100,V2,4.290523154376779,91,14,7.420563,69.369545,32.409653,0.4830447389359456,3.902553182725296,-0.09042486375017311,4.062236220771157,4.416977788066495,0.05320724895115536
25g,compound,769539383,30,V1,6.3835006573805035,22,4,4.372101,24.012196,13.6395505,0.5842126328081242,4.891560176930525,-0.23371823087775834,4.881453719495036,7.0637483060574,0.23530144641699458
25g,compound,769539383,30,V2,4.667479533109385,22,4,7.8166337,52.568775,33.72660200000001,0.5210968070477869,3.8947164480912493,-0.16556325090157087,3.6564272299100375,5.198556943051357,0.21661633351090537
25g,compound,769539383,50,V1,6.557142083147155,44,8,2.5635707,24.012196,12.577470400000005,0.552622983787092,5.119106847398264,-0.21930823177445835,5.7940824722016355,7.0224134216844405,0.11637076050352757
25g,compound,769539383,50,V2,4.600658000921927,44,8,7.8166337,52.568775,29.833172900000015,0.48668812423379887,3.848287959440175,-0.16353531197732674,4.0683196037296545,4.891239789411897,0.11570918705228617
25g,compound,769539383,70,V1,5.625712503121736,62,10,2.5635707,24.012196,11.4009781,0.5289590966543262,5.053155980865737,-0.1017749346306418,4.8624320397693,6.395098587247135,0.1367624249725634
25g,compound,769539383,70,V2,4.28198073783791,62,10,7.420563,52.568775,26.279177599999997,0.48645041114180937,3.8017726455612153,-0.11214625232507813,3.7819604310313304,4.539625968114781,0.1167731331409616
25g,compound,769539383,100,V1,5.582919229645413,90,15,2.5635707,24.3803,12.727330300000004,0.48567912852090656,5.2927708764324235,-0.05197072378770884,5.138234054575461,6.016765612358324,0.07965101352508641
