column,protocol,seed,budget,target,feature,ratio_spearman,scale_residual_spearman,ratio_partial_source_rho,ratio_partial_source_compound_rho,common_source_bins,relative_standardized_contrast
25g,row,1362771960,100,V1,MolWt,0.05594859704556178,0.00813424929556732,,,,
25g,row,1362771960,100,V1,MolLogP,0.041285030758714966,0.06678058783321941,,,,
25g,row,1362771960,100,V1,TPSA,-0.09824029692101949,-0.13600086575531542,,,,
25g,row,1362771960,100,V1,HBD,-0.2288312652586642,-0.1653598194204946,,,,
25g,row,1362771960,100,V1,HBA,-0.026244022437545703,-0.10302136256173113,,,,
25g,row,1362771960,100,V1,RotatableBonds,0.21926466269175968,0.15345698991096396,,,,
25g,row,1362771960,100,V1,RingCount,-0.1424241312549276,-0.0910667307652325,,,,
25g,row,1362771960,100,V2,source,0.30269870382072345,0.09404620624816978,,,,
25g,row,1362771960,100,V2,EA_fraction,-0.33267644837230187,-0.19593840991185862,-0.20784181261478873,-0.01662489250741069,3.0,-0.09967005352129552
25g,row,1362771960,100,V2,solvent_DCM,0.12558960608839653,0.06302482063776675,0.08354370879807323,,3.0,0.05093662629181345
25g,row,1362771960,100,V2,loading_ul,-0.07212512854735854,-0.06059940345276671,-0.06261178265058519,0.08711256047325097,3.0,0.043047862183739204
25g,row,1362771960,100,V2,amount_density_ul,-0.26042285459001974,-0.26784544934451665,-0.24519657921137725,0.07878228858433947,3.0,-0.02610692282936035
25g,row,1362771960,100,V2,loading_volume_ul,-0.10502317300192643,-0.24391986369274,-0.14982192259157967,,0.0,
25g,row,1362771960,100,V2,MolWt,-0.19488020791312968,-0.1983663147540871,,,,
25g,row,1362771960,100,V2,MolLogP,-0.24107997265892003,-0.20321257689678746,,,,
25g,row,1362771960,100,V2,TPSA,0.22185206661702342,0.18276534102144903,,,,
25g,row,1362771960,100,V2,HBD,0.07182295186950775,0.09186656634471924,,,,
25g,row,1362771960,100,V2,HBA,0.2179520815123623,0.17143681415753995,,,,
25g,row,1362771960,100,V2,RotatableBonds,0.22354110114851386,0.21615452563230209,,,,
25g,row,1362771960,100,V2,RingCount,-0.2181365876469523,-0.2546691715004467,,,,
25g,row,1425370602,100,V1,source,0.2866544395296148,0.0811306505556155,,,,
25g,row,1425370602,100,V1,EA_fraction,-0.5948873196093024,-0.4610597223275792,-0.5445674349720122,-0.6903335864296908,3.0,-0.25993919874453364
25g,row,1425370602,100,V1,solvent_DCM,0.2600021151051744,0.3538917677820429,0.3125909363100141,,3.0,0.15070201087875307
25g,row,1425370602,100,V1,loading_ul,-0.08141512028077817,-0.17231549729329748,-0.12664907896472546,-0.015312360507905036,3.0,-0.10789114465311654
25g,row,1425370602,100,V1,amount_density_ul,-0.009881529802814489,-0.024171979299240434,-0.007351160843175289,-0.01531236050790502,4.0,-0.09276026997909707
25g,row,1425370602,100,V1,loading_volume_ul,-0.09381139682191719,-0.022949928922302472,-0.020028695778789306,,1.0,
25g,row,1425370602,100,V1,MolWt,-0.02693242587705187,0.08138065147686793,,,,
25g,row,1425370602,100,V1,MolLogP,-0.02369107614836823,0.14211404775731148,,,,
25g,row,1425370602,100,V1,TPSA,0.013571028613737665,-0.16158526944022783,,,,
25g,row,1425370602,100,V1,HBD,-0.020848420114464247,-0.2467063046878269,,,,
25g,row,1425370602,100,V1,HBA,0.00013743684700999798,-0.1553379963330502,,,,
25g,row,1425370602,100,V1,RotatableBonds,-0.012523962128197468,-0.051258550567131814,,,,
25g,row,1425370602,100,V1,RingCount,-0.04747026202633517,0.03854324745641095,,,,
25g,row,1425370602,100,V2,source,0.2727679053064747,0.11067614012915554,,,,
25g,row,1425370602,100,V2,EA_fraction,-0.23436610658919302,-0.12645170322881127,-0.049216854242178885,-0.015718867762244428,2.0,0.031616771888864394
25g,row,1425370602,100,V2,solvent_DCM,0.21770018367933255,0.2641291328052566,0.22482116283818213,,3.0,0.11830455190086243
25g,row,1425370602,100,V2,loading_ul,0.16865972126127224,0.09801431956132517,0.17827246097057817,0.0816446015040948,3.0,0.18356003462236792
25g,row,1425370602,100,V2,amount_density_ul,0.04487540289546486,0.03930259006595248,0.0514812187301932,0.08164460150409483,4.0,-0.026826393101500576
25g,row,1425370602,100,V2,loading_volume_ul,-0.2323994628560111,-0.21392552445398236,-0.2223331044061141,,1.0,
25g,row,1425370602,100,V2,MolWt,-0.26212931467340017,-0.18901312601079004,,,,
25g,row,1425370602,100,V2,MolLogP,-0.366385247410811,-0.27382476385439564,,,,
25g,row,1425370602,100,V2,TPSA,0.3955604728372725,0.3000631117813888,,,,
25g,row,1425370602,100,V2,HBD,0.20500946445889842,0.13203999405827355,,,,
25g,row,1425370602,100,V2,HBA,0.3689835750100921,0.2792373139125634,,,,
25g,row,1425370602,100,V2,RotatableBonds,0.037571886384592405,0.01587918805644135,,,,
25g,row,1425370602,100,V2,RingCount,-0.265358381593541,-0.1865860985215918,,,,
25g,row,2767143051,100,V1,source,0.13041937025106728,0.0077986529599432825,,,,
25g,row,2767143051,100,V1,EA_fraction,-0.4178727952535935,-0.34062005184308347,-0.4004367606018864,-0.6456854438826902,3.0,-0.23324470599204508
