column,protocol,target,budget,mean,std,median,min,max,coefficient_cv
25g,compound,V1,30,5.848312781953824,0.5680356227238367,5.956374262059152,5.069317623650122,6.3835006573805035,0.0971281194939894
25g,compound,V1,50,5.868295230700994,0.7480265270429769,5.649836005585462,4.980899777345744,6.7254600209667394,0.12746913671444948
25g,compound,V1,70,5.864829150776613,0.49581372830979537,5.701131726897906,5.541930023983877,6.74332017749266,0.0845401827680079
25g,compound,V1,100,5.795121094783396,0.3708547564027876,5.8126904298058015,5.3835036753707355,6.373560696537875,0.0639943066481597
25g,compound,V2,30,4.270335419187846,0.4860745491984481,4.177821419594906,3.6256330974896622,4.831092616144457,0.11382584773420262
25g,compound,V2,50,4.275910057671229,0.31909446667849445,4.426169485878268,3.8278632742615604,4.600658000921927,0.07462609418222457
25g,compound,V2,70,4.315733796404302,0.15336174728889895,4.3358002561365305,4.077157714104902,4.485457528311589,0.035535497443487794
25g,compound,V2,100,4.267586567216954,0.10636887429880787,4.203838989224504,4.196993148630177,4.444694305122486,0.024924831078042976
25g,row,V1,30,5.572244463986405,0.4305601868888718,5.480745569221984,5.167621834942793,6.185687146837173,0.07726871813891083
25g,row,V1,50,5.815666402215774,0.4607152899434899,5.6564630870478805,5.319074105665055,6.449950648683713,0.07921969007162395
25g,row,V1,70,5.6924514982781105,0.39995815150493147,5.490040056923337,5.3243545709687154,6.157981588834681,0.07026114348552875
25g,row,V1,100,5.589854857628446,0.14760661488982216,5.496523045841718,5.466464486393943,5.785399637252737,0.026406162351135857
25g,row,V2,30,4.007060993170162,0.2976398831104303,4.113736990737229,3.6062879624215487,4.353213400389698,0.07427885016418338
25g,row,V2,50,4.214336039035674,0.402978494049686,4.142160368114786,3.7357483775164044,4.7204883250378,0.09562087368379284
25g,row,V2,70,4.154189974043203,0.3539107359447735,4.030681739439171,3.8049569090886712,4.534697947640182,0.08519368111620523
25g,row,V2,100,4.146377751949304,0.24209115587639254,4.118307879148042,3.864121339033724,4.4128683768144805,0.058386179542512774
40g,compound,V1,30,12.286756072809549,1.9939487893363075,11.330999502186714,10.237407338120367,14.656875739934547,0.16228439610263717
