canonical_smiles,source_smiles,status,conformer_policy,force_field,embedded_conformers,selected_conformer_id,selected_energy,first_conformer_id,first_energy,first_is_minimum,minimum_conformer_id,minimum_energy,energy_range,selected_is_minimum,nonconverged_conformers,rdkit_seed,mean_abs_bond_length_delta,max_abs_bond_length_delta,mean_abs_bond_angle_delta,max_abs_bond_angle_delta,geometry_changed,descriptor_changed,error,seconds
Clc1ccc(I)c(Br)c1,C1=CC(=C(C=C1Cl)Br)I,success,lowest_energy,MMFF94,10,2,17.00038032396864,0,17.000380366877685,False,2,17.00038032396864,8.774685866796972e-08,True,0,52,8.830317744502314e-08,2.384185791015625e-07,5.7373291406876005e-06,6.461143493652344e-05,True,False,,0.0562
O=Cc1cc(Cl)ccc1Br,C1=CC(=C(C=C1Cl)C=O)Br,success,lowest_energy,MMFF94,10,3,19.90823378994048,0,24.925176403934536,False,3,19.90823378994048,5.0169428897008,True,0,53,0.0013849576314290365,0.005781054496765137,0.004723213439763978,0.06295764446258545,True,False,,0.0647
FC(F)(F)Oc1ccc(I)c(Br)c1,C1=CC(=C(C=C1OC(F)(F)F)Br)I,success,lowest_energy,MMFF94,10,4,26.82485621938504,0,26.824856222619893,False,4,26.82485621938504,4.263934627601884e-08,True,0,54,2.8121165740184296e-07,1.0728836059570312e-06,4.873193543532799e-06,6.818771362304688e-05,True,False,,0.0815
OCc1cccc(Br)c1,C1=CC(=CC(=C1)Br)CO,success,lowest_energy,MMFF94,10,2,16.806134305701917,0,16.80613430767156,False,2,16.806134305701917,0.9190247551270545,True,0,55,1.7660635489004629e-07,1.0728836059570312e-06,4.5707351283023235e-06,4.458427429199219e-05,True,False,,0.0719
Clc1cccc(Br)c1,C1=CC(=CC(=C1)Br)Cl,success,lowest_energy,MMFF94,10,1,9.227632726923192,0,9.227632730218133,False,1,9.227632726923192,3.525251024427689e-08,True,0,56,3.9736429850260414e-08,1.1920928955078125e-07,4.0531158447265625e-06,3.337860107421875e-05,True,False,,0.0546
O=[N+]([O-])c1cccc(Br)c1,C1=CC(=CC(=C1)Br)[N+](=O)[O-],success,lowest_energy,MMFF94,10,2,39.85109442554577,0,39.85109480778162,False,2,39.85109442554577,3.8223585363539314e-07,True,0,57,2.463658650716146e-07,1.430511474609375e-06,3.1992446544558505e-06,3.147125244140625e-05,True,False,,0.1298
N#Cc1cccc(N)c1,C1=CC(=CC(=C1)N)C#N,success,lowest_energy,MMFF94,10,1,16.692950928548676,0,16.692950928956378,False,1,16.692950928548676,3.2935751903551136e-09,True,0,58,1.7660635489004629e-07,4.76837158203125e-07,3.5449078208521792e-06,3.3855438232421875e-05,True,False,,0.1237
N#Cc1ccc(N)cc1,C1=CC(=CC=C1C#N)N,success,lowest_energy,MMFF94,10,4,18.98233779973361,0,18.982337800726704,False,4,18.98233779973361,5.536538338901664e-09,True,0,59,4.415158872251157e-08,2.384185791015625e-07,6.288167481359683e-06,5.078315734863281e-05,True,False,,0.0658
O=C(CCCCl)c1ccc(F)cc1,C1=CC(=CC=C1C(=O)CCCCl)F,success,lowest_energy,MMFF94,10,6,27.672470001885387,0,29.41903127153261,False,6,27.672470001885387,3.8295171803434407,True,0,60,0.0004491622631366436,0.003695368766784668,0.0009986357255415484,0.02156960964202881,True,False,,0.1082
O=Cc1ccc(C=O)cc1,C1=CC(=CC=C1C=O)C=O,success,lowest_energy,MMFF94,10,0,46.41723582385509,0,46.41723582385509,True,0,46.41723582385509,0.766648106132692,True,0,61,0.0,0.0,0.0,0.0,False,False,,0.0686
O=Cc1ccc([N+](=O)[O-])cc1,C1=CC(=CC=C1C=O)[N+](=O)[O-],success,lowest_energy,MMFF94,10,4,65.9484993592803,0,65.94849986813867,False,4,65.9484993592803,1.29695769146565e-06,True,0,62,0.0004774512666644472,0.0016317367553710938,0.0009876172593299378,0.01207268238067627,True,False,,0.0715
O=[N+]([O-])c1ccc(CCO)cc1,C1=CC(=CC=C1CCO)[N+](=O)[O-],success,lowest_energy,MMFF94,10,7,62.039168668919594,0,63.21950946225545,False,7,62.039168668919594,1.188443473014594,True,0,63,0.0002234445677863227,0.0013568401336669922,0.0008415018810945399,0.016569018363952637,True,False,,0.0939
Ic1ccc(I)cc1,C1=CC(=CC=C1I)I,success,lowest_energy,MMFF94,10,5,16.293733838857694,0,16.293733852312677,False,5,16.293733838857694,5.2026564389962004e-08,True,0,64,2.88089116414388e-07,7.152557373046875e-07,4.0040296666762406e-06,4.076957702636719e-05,True,False,,0.0531
