canonical_smiles,source_smiles,status,graph_origin,conformer_policy,force_field,selected_conformer_id,minimum_energy,geometry_changed,error,seconds,embedded_conformers,selected_energy,first_conformer_id,first_energy,first_is_minimum,minimum_conformer_id,energy_range,selected_is_minimum,nonconverged_conformers,rdkit_seed,mean_abs_bond_length_delta,max_abs_bond_length_delta,mean_abs_bond_angle_delta,max_abs_bond_angle_delta,descriptor_changed
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Br)C3=CC=CC=C3,success,reused_4g_lowest_energy,lowest_energy,MMFF94,3,83.86586853718502,True,,0.0,,,,,,,,,,,,,,,
BrCCCc1ccccc1,C1=CC=C(C=C1)CCCBr,success,reused_4g_lowest_energy,lowest_energy,MMFF94,1,17.499755305470327,True,,0.0,,,,,,,,,,,,,,,
C/C(=N\O)c1ccccc1,C/C(=N\O)/C1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,8,51.05925579477033,True,,0.0,,,,,,,,,,,,,,,
C1=Cc2ccccc2C1,C1C=CC2=CC=CC=C21,success,reused_4g_lowest_energy,lowest_energy,MMFF94,0,27.715269338914588,False,,0.0,,,,,,,,,,,,,,,
C=CC(=O)OC1CCCCC1,C=CC(=O)OC1CCCCC1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,3,1.242601886475085,True,,0.0,,,,,,,,,,,,,,,
C=CC(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)C=C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,7,4.006663343082248,True,,0.0,,,,,,,,,,,,,,,
C=CC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCOC(=O)C=C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,4,-1.9706337711575799,True,,0.0,,,,,,,,,,,,,,,
C=CC(=O)OCCOc1ccccc1,C=CC(=O)OCCOC1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,3,26.93287448586951,True,,0.0,,,,,,,,,,,,,,,
C=CC(=O)OCc1ccccc1,C=CC(=O)OCC1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,9,17.136771965578465,True,,0.0,,,,,,,,,,,,,,,
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)C=C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,3,53.72925556201668,True,,0.0,,,,,,,,,,,,,,,
CC(=O)CC(=O)OC(C)(C)C,CC(=O)CC(=O)OC(C)(C)C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,3,-10.77990400796715,True,,0.0,,,,,,,,,,,,,,,
CC(=O)CC(=O)c1ccccc1,CC(=O)CC(=O)C1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,7,25.87701079875115,True,,0.0,,,,,,,,,,,,,,,
CC(=O)CCCCl,CC(=O)CCCCl,success,reused_4g_lowest_energy,lowest_energy,MMFF94,2,-3.5595721314649817,True,,0.0,,,,,,,,,,,,,,,
CC(=O)c1c(C)cc(C)cc1C,CC1=CC(=C(C(=C1)C)C(=O)C)C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,4,47.955076392325815,True,,0.0,,,,,,,,,,,,,,,
CC(=O)c1ccc(Br)cc1,CC(=O)C1=CC=C(C=C1)Br,success,reused_4g_lowest_energy,lowest_energy,MMFF94,6,34.71238884878319,True,,0.0,,,,,,,,,,,,,,,
CC(=O)c1ccc(C)cc1,CC1=CC=C(C=C1)C(=O)C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,6,37.2653944932492,True,,0.0,,,,,,,,,,,,,,,
CC(=O)c1ccc(C)cc1C,CC1=CC(=C(C=C1)C(=O)C)C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,6,43.09789325234953,True,,0.0,,,,,,,,,,,,,,,
CC(=O)c1ccc2c(c1)Cc1ccccc1-2,CC(=O)C1=CC2=C(C=C1)C3=CC=CC=C3C2,success,reused_4g_lowest_energy,lowest_energy,MMFF94,3,69.90069039161175,True,,0.0,,,,,,,,,,,,,,,
CC(=O)c1ccc2c(c1)OCO2,CC(=O)C1=CC2=C(C=C1)OCO2,success,reused_4g_lowest_energy,lowest_energy,MMFF94,0,31.550511745258635,False,,0.0,,,,,,,,,,,,,,,
CC(=O)c1ccccc1,CC(=O)C1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,1,35.26812420472715,True,,0.0,,,,,,,,,,,,,,,
CC(=O)c1ccccc1C,CC1=CC=CC=C1C(=O)C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,0,41.087397347020314,False,,0.0,,,,,,,,,,,,,,,
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,CC(C)(C)C1=CC(=CC(=C1)C=O)C(C)(C)C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,8,66.78487162664399,True,,0.0,,,,,,,,,,,,,,,
CC(C)(CCl)c1ccccc1,CC(C)(CCl)C1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,7,41.078731385255146,True,,0.0,,,,,,,,,,,,,,,
CC(C)(O)CCc1ccccc1,CC(C)(CCC1=CC=CC=C1)O,success,reused_4g_lowest_energy,lowest_energy,MMFF94,6,29.611953308573405,True,,0.0,,,,,,,,,,,,,,,
CC(C)=CCBr,CC(=CCBr)C,success,reused_4g_lowest_energy,lowest_energy,MMFF94,8,9.955402549895037,True,,0.0,,,,,,,,,,,,,,,
CC(C)CCOC(=O)c1ccccc1,CC(C)CCOC(=O)C1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,2,32.45021156586343,True,,0.0,,,,,,,,,,,,,,,
CC(C)COC(=O)c1ccccc1,CC(C)COC(=O)C1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,4,31.80659434717887,True,,0.0,,,,,,,,,,,,,,,
CC(O)c1ccccc1,CC(C1=CC=CC=C1)O,success,reused_4g_lowest_energy,lowest_energy,MMFF94,1,20.921490418706156,True,,0.0,,,,,,,,,,,,,,,
CC1CCC(=O)c2ccccc21,CC1CCC(=O)C2=CC=CC=C12,success,reused_4g_lowest_energy,lowest_energy,MMFF94,2,38.28688787856886,True,,0.0,,,,,,,,,,,,,,,
CCC(=O)c1cccc(Br)c1,CCC(=O)C1=CC(=CC=C1)Br,success,reused_4g_lowest_energy,lowest_energy,MMFF94,8,27.51018516871285,True,,0.0,,,,,,,,,,,,,,,
CCC(=O)c1cccnc1,CCC(=O)C1=CN=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,5,32.6169796961512,True,,0.0,,,,,,,,,,,,,,,
CCCC(=O)c1ccc(-c2ccccc2)cc1,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,success,reused_4g_lowest_energy,lowest_energy,MMFF94,0,56.531307929160775,False,,0.0,,,,,,,,,,,,,,,
CCOC(=O)/C=C(/C)N,CCOC(=O)/C=C(/C)\N,success,reused_4g_lowest_energy,lowest_energy,MMFF94,0,2.600508624765783,False,,0.0,,,,,,,,,,,,,,,
CCOC(=O)/C=C/c1ccccc1,CCOC(=O)/C=C/C1=CC=CC=C1,success,reused_4g_lowest_energy,lowest_energy,MMFF94,4,8.091969977733765,True,,0.0,,,,,,,,,,,,,,,
