dataset_id,source_file,source_sha256,source_rows,source_columns,expected_column_spec,threshold_v1_ml,threshold_v2_ml,observed_column_specs,unique_cas,unique_smiles,unique_conditions,missing_core_rows,negative_label_rows,t1_gt_t2_rows,invalid_ratio_rows,invalid_smiles_rows,exact_duplicate_rows,repeated_experiment_key_rows,code_reader_rows,over_v1_threshold_rows,over_v2_threshold_rows,removed_by_threshold_union,current_qgeognn_rows,smiles_check
4g,dataset/dataset_4g.csv,d485d3d46a96458d1baac11b2a21cd33374b1be42ba2303e7ae5823cc8ee553a,4243,16,Silica-CS 4g,60,120,Silica-CS 4g,222,217,143,14,1,8,0,14,0,104,4229,60,49,66,4163,rdkit_parse
8g,dataset/dataset_8g.csv,6bfe9c69ca5b32cb043af9d6cd2809c10bb2a7d27de279784b7e3783d021d5b9,574,16,Silica-CS 4g+4g,60,120,Silica-CS 4g+4g,89,88,52,0,0,2,0,0,0,14,574,21,12,22,552,rdkit_parse
25g,dataset/dataset_25g.csv,6ef36adfa8a73d5b51560cd39776cae78c731a1107b3dfdf2b90661942ac5d06,569,16,Silica-CS 25g,60,120,Silica-CS 25g,79,78,48,6,73,2,0,0,0,14,490,81,57,82,408,rdkit_parse
40g,dataset/dataset_40g.csv,2d89921b4c84c720a7b3ae97e76d7a996a8f296c417ac42c29adf68d21574e0e,531,16,Silica-CS 40g,150,200,Silica-CS 40g,81,80,61,0,2,2,0,0,0,14,529,59,72,73,456,rdkit_parse
DCM,dataset/dataset_DCM.csv,5e66e1344cb086add5308cbe31591b94f488cfb758cab8268dac3cc3dea396f2,361,16,Silica-CS 4g,60,120,Silica-CS 4g,73,73,70,2,0,0,0,0,0,10,359,0,3,3,356,rdkit_parse
C18,dataset/dataset_C18.csv,ee354cac032043d219f5bef717adb3ebf46ca8a732f425d97ed93e91d9adff01,361,14,C18,60,120,C18,73,72,26,0,17,0,0,0,0,2,344,3,7,9,335,rdkit_parse
NH2,dataset/dataset_NH2.csv,4c16bb550fe7e0e865b2f68348b490fda772275e65daf19e4e346ea04c1f6b65,367,14,NH2,60,120,NH2,79,78,14,10,5,1,0,0,0,0,362,0,2,2,360,rdkit_parse
CN,dataset/dataset_CN.csv,6445efc28886812c195f5d13475f2e2f6f9f7f8b46ceb2028963c0502b050be5,352,14,CN,60,120,CN,71,71,10,1,7,0,0,0,0,0,344,0,3,3,341,rdkit_parse
