column,protocol,seed,method,n_test,scale_V1,scale_V2,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_nrmse_train_only,combined_nrmse_source_scale
25g,row,769539383,P0,83,9.965594509935793,18.08300751505373,7.1801921123654235,4.647412945783133,0.521024693018567,9.263543597831841,6.726164349397591,0.6646558140110935,0.6251188828565306,0.7623540882599794
25g,row,769539383,P1,83,9.965594509935793,18.08300751505373,7.115001557648538,4.537121855421687,0.529682655825657,9.189061676432432,6.698652891566267,0.6700266890104974,0.6196614338452193,0.7556588240332522
25g,row,769539383,P2,83,9.965594509935793,18.08300751505373,7.553241556560506,4.917118578313254,0.469961100564642,9.669978019231934,7.132491855421686,0.6345840874915072,0.6559053175260706,0.8002076195780282
25g,row,769539383,P3,83,9.965594509935793,18.08300751505373,7.310857797874259,4.707350421686747,0.5034332121934549,9.39454151882781,6.971247578313253,0.6551043937417469,0.6356444252701746,0.775345294453795
25g,row,769539383,paper_style_current_v2,83,9.965594509935793,18.08300751505373,7.101146141570601,4.545999385542169,0.5315126196096889,9.190250155537898,6.66714374698795,0.6699413284459579,0.6188877342561596,0.7546365488755138
25g,row,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,83,9.965594509935793,18.08300751505373,7.211193199790533,4.813142321965496,0.5168797312925775,9.428123939913092,6.756730211385598,0.652634208015288,0.6306533544398066,0.7685882371463578
25g,row,769539383,BALANCED_JOINT_FULL128,83,9.965594509935793,18.08300751505373,7.3645528040675,4.83996438069637,0.4961123007454379,9.396647578520575,7.038332455948393,0.6549497396478436,0.6388048076992693,0.7794758392799865
25g,row,1425370602,P0,74,10.208785105522505,17.670850072614176,7.872258684845437,4.090033418918918,0.2263320916539454,12.998257344339784,7.024569716216215,0.4180566089284091,0.7535607347211905,0.9088000218126808
25g,row,1425370602,P1,74,10.208785105522505,17.670850072614176,8.424015244451084,4.619588040540541,0.11408071120466101,12.581866391096042,7.4374145810810806,0.45474379517339836,0.7706726052257876,0.9368673189119059
25g,row,1425370602,P2,74,10.208785105522505,17.670850072614176,7.286606604429956,4.125991608108109,0.3371633472337874,11.852615913348014,6.992815770270271,0.5161186308942369,0.6925852213551362,0.836269677384914
25g,row,1425370602,P3,74,10.208785105522505,17.670850072614176,7.638862727757991,3.878349918918919,0.27152730027980787,13.927622861750791,7.47703062162162,0.3318646120904015,0.7684755827746074,0.9193338838856444
25g,row,1425370602,paper_style_current_v2,74,10.208785105522505,17.670850072614176,8.56166080484622,4.450382432432432,0.08489294125726399,13.86206830590979,7.608212445945945,0.3381393714920745,0.8120101893918178,0.9808366930977654
25g,row,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,74,10.208785105522505,17.670850072614176,10.280940468713712,4.5013465371128145,-0.3195369566061803,14.124504429713335,7.626886805950845,0.31284150999719773,0.9091435334745477,1.1122637052453548
25g,row,1425370602,BALANCED_JOINT_FULL128,74,10.208785105522505,17.670850072614176,9.226760006076908,4.230040673254137,-0.06280678498274161,14.1129071920789,7.498536497821195,0.3139694601806572,0.852852382898126,1.0348386217212218
25g,row,536279090,P0,74,10.301926055581317,17.939355788613415,9.073284608506825,4.69111954054054,-0.13663046901032216,13.496308049971372,7.177868337837837,0.31508109123750216,0.8190534104152245,1.0076405480556003
25g,row,536279090,P1,74,10.301926055581317,17.939355788613415,9.091965378073208,4.6571744324324325,-0.14131564995317936,13.615793183736123,7.206524878378378,0.30289999868765605,0.8230918978194105,1.0120964505781316
25g,row,536279090,P2,74,10.301926055581317,17.939355788613415,8.397428819263176,4.5116113918918925,0.026394791980530408,12.319025294239633,7.3551287702702695,0.4293604280440497,0.7536585034539557,0.92814715342845
25g,row,536279090,P3,74,10.301926055581317,17.939355788613415,8.85483279397712,5.0806666418918915,-0.08255745597269915,14.506020992499568,7.8424888783783775,0.2087644448472512,0.8344615277938873,1.0190679787494898
