column,seed,V1,V2,scale_source
25g,769539383,9.965594509935793,18.08300751505373,outer_gradient_train_ddof0
25g,1425370602,10.208785105522505,17.670850072614176,outer_gradient_train_ddof0
25g,536279090,10.301926055581317,17.939355788613415,outer_gradient_train_ddof0
25g,2767143051,9.797597794994966,18.02158126070433,outer_gradient_train_ddof0
25g,1362771960,10.259401579850746,18.220320645104763,outer_gradient_train_ddof0
40g,769539383,27.53007024425043,38.12031887325738,outer_gradient_train_ddof0
40g,1425370602,26.669398847488242,36.19778223791274,outer_gradient_train_ddof0
40g,536279090,26.945816162169994,37.38359675564294,outer_gradient_train_ddof0
40g,2767143051,27.410538705005465,38.15766951836901,outer_gradient_train_ddof0
40g,1362771960,26.38002974445003,35.99015801596549,outer_gradient_train_ddof0
