column,method,V1_rmse_mean,V1_rmse_std,V1_rmse_median,V1_rmse_min,V1_rmse_max,V1_mae_mean,V1_mae_std,V1_mae_median,V1_mae_min,V1_mae_max,V1_r2_mean,V1_r2_std,V1_r2_median,V1_r2_min,V1_r2_max,V2_rmse_mean,V2_rmse_std,V2_rmse_median,V2_rmse_min,V2_rmse_max,V2_mae_mean,V2_mae_std,V2_mae_median,V2_mae_min,V2_mae_max,V2_r2_mean,V2_r2_std,V2_r2_median,V2_r2_min,V2_r2_max,combined_nrmse_train_only_mean,combined_nrmse_train_only_std,combined_nrmse_train_only_median,combined_nrmse_train_only_min,combined_nrmse_train_only_max,combined_nrmse_source_scale_mean,combined_nrmse_source_scale_std,combined_nrmse_source_scale_median,combined_nrmse_source_scale_min,combined_nrmse_source_scale_max
25g,BALANCED_JOINT_FULL128,7.6940308534859,1.739046239509963,7.3645528040675,5.583299390696593,9.692498394806687,4.535961291906186,0.3895586345921828,4.440998068004878,4.133121566128522,5.035681771447024,0.2842413661795046,0.4358816396828259,0.4961123007454379,-0.29706488325309266,0.6473957835715076,10.99678166227093,2.5661745453277067,9.396647578520575,8.671023117429668,14.1129071920789,7.044621574444477,0.5670722897627478,7.097048906568601,6.10451152493284,7.498536497821195,0.5339128339619093,0.1986736763972813,0.6549497396478436,0.3139694601806572,0.7064510797560231,0.6910031204791311,0.1538451331352374,0.6388048076992693,0.5111981660289068,0.852852382898126,0.8434506560409414,0.1901741414080184,0.7794758392799865,0.6296753674128076,1.0517280644960094
25g,HIER_CW_SHARED_LAMBDA_CORRECTED,8.008652907527093,2.329467838057677,7.211193199790533,5.3886003862526515,10.62894733393563,4.521092862090997,0.44583213552387424,4.5013465371128145,3.872145356961947,5.039050461470422,0.19085009704113454,0.5847541916685494,0.5168797312925775,-0.5598065372949117,0.6715588045580465,11.030658392976019,2.6037426582303564,9.428123939913092,8.875625909689587,14.124504429713335,7.113326321128009,0.636417460944585,6.895009484352394,6.375998880816418,7.912006223134795,0.5303895131685155,0.20356764538896535,0.652634208015288,0.3033663531051193,0.6924343872919206,0.70874399221372,0.18679437150006753,0.6306533544398066,0.5065400927826594,0.9091435334745477,0.8677430409723261,0.23550089745811603,0.7685882371463578,0.6214768904079406,1.1261393440254825
25g,P0,7.278276395948441,1.2897742419108822,7.1801921123654235,5.660883268851748,9.073284608506825,4.397483203828008,0.34476282500013583,4.599079265060241,3.95977084883721,4.69111954054054,0.37712725231615163,0.3327663238579495,0.521024693018567,-0.13663046901032216,0.6375283310567367,10.89464701168197,2.167159763718405,9.679087927354267,9.036038138912584,13.496308049971372,6.891243018403974,0.49309675029421546,7.024569716216215,6.1262656162790705,7.401347072289157,0.5460236902592933,0.1681543452003438,0.6511084922937269,0.31508109123750216,0.6812164448257347,0.6663591840537612,0.11827271493479917,0.6251188828565306,0.5245971339161405,0.8190534104152245,0.8107079749120478,0.1455655677456881,0.7623540882599794,0.6449961624475092,1.0076405480556003
25g,P1,7.359090549835178,1.426310494783406,7.115001557648538,5.499042108424271,9.091965378073208,4.465860504793531,0.36668460740816894,4.619588040540541,3.8184682558139538,4.696949939759036,0.3582190283978464,0.35447910466742744,0.529682655825657,-0.14131564995317936,0.6579577466226524,10.707509668572806,2.2234088012035222,9.366704507263785,8.784122584335641,13.615793183736123,6.915764972390631,0.5888947393557344,7.206524878378378,5.983214197674418,7.4374145810810806,0.5599358498573643,0.17418661340910455,0.6700266890104974,0.30289999868765605,0.6987433969242245,0.6657138981187272,0.12832113646671797,0.6196614338452193,0.5097657886330845,0.8230918978194105,0.8115298538815722,0.1584879061176054,0.7556588240332522,0.6267301351404262,1.0120964505781316
25g,P2,7.137096831569534,1.038953562109126,7.286606604429956,5.56584134217413,8.397428819263176,4.45662747899972,0.45881549065810334,4.5116113918918925,3.8639237383720935,4.917118578313254,0.4178750981118302,0.2508325299962068,0.469961100564642,0.026394791980530408,0.6495974056007385,10.354648206071511,1.6419363345260576,9.669978019231934,8.544726747713755,12.319025294239633,6.917961050164706,0.5343851216934463,7.118416506024096,5.990952348837208,7.3551287702702695,0.5933716965961099,0.11779721417614576,0.6345840874915072,0.4293604280440497,0.7149400812573381,0.6455173908625833,0.09208913405008295,0.6559053175260706,0.5070741768754498,0.7536585034539557,0.786520542995033,0.11256977287698598,0.8002076195780282,0.6250738308840174,0.92814715342845
25g,P3,7.330284678168977,1.1196009867715437,7.310857797874259,5.7344400588042825,8.85483279397712,4.607023940503434,0.5671975378064189,4.707350421686747,3.878349918918919,5.189112307228917,0.37998904428893,0.2925265582504706,0.5034332121934549,-0.08255745597269915,0.6280473104869657,11.158181594514199,2.8199857058694695,9.396044582423402,8.566678017069423,14.506020992499568,7.124400042841131,0.6515818959836587,7.219609228915664,6.111623906976744,7.8424888783783775,0.5160844542936015,0.22953055849788206,0.6551043937417469,0.2087644448472512,0.7134735710084016,0.6774077305558567,0.12516749302626226,0.6356444252701746,0.516469145668613,0.8344615277938873,0.8223837330165585,0.1485039987763129,0.775345294453795,0.6377982007170104,1.0190679787494898
25g,paper_style_current_v2,7.408778452536362,1.415340283695535,7.101146141570601,5.660511443624723,9.110250888056642,4.461541322827197,0.3017352647788809,4.545999385542169,3.9586068895348827,4.7527877499999995,0.34896827044561574,0.35849981624678057,0.5315126196096889,-0.14591103147149287,0.6375759461294832,11.111435026814735,2.498624952380193,9.654902498891754,9.03777499935986,13.86206830590979,6.967134604367942,0.5869047086112987,7.042253756756756,6.132694337209302,7.608212445945945,0.5249340692568047,0.19708581605714637,0.6528498853688851,0.28264587777687766,0.6810938832002287,0.6787632658970104,0.13466863698864956,0.6188877342561596,0.5246231365446201,0.8291061979510014,0.8257145674304758,0.16447029740663682,0.7546365488755138,0.645016960807611,1.0185480329463346
40g,BALANCED_JOINT_FULL128,13.424520186269191,3.1865586417350986,15.584985004799243,8.961009332497559,15.80192125142754,8.16541452422462,1.1429891042942597,8.337554799053294,6.655142618771232,9.237203503317323,0.7030563937763268,0.12498682397632715,0.677634468411098,0.5409236266389148,0.8635441444945213,16.559184285711762,2.4750592697369176,16.665798719281067,13.380811790551693,19.78664185831884,11.444343748242797,1.595604483748959,10.804584249051846,9.620938896026264,13.377716589505397,0.7796651118437274,0.04189224690410709,0.773576653430319,0.7378267188679455,0.8425860077968692,0.4738358510932093,0.0963872216250235,0.5101942857179828,0.34547772668312543,0.567358693337549,1.4096288323379684,0.2949649302162224,1.5962941999365101,0.9965081429185637,1.6533076434849674
40g,HIER_CW_SHARED_LAMBDA_CORRECTED,14.347636790579804,2.9694740211792063,16.170994657022316,10.125387651738098,16.663705709577584,8.93790154292206,1.2418014172151346,9.49427669733067,7.286441157308428,10.194597136303463,0.6635666947102248,0.12469857240918718,0.6529362227292052,0.5006263018211123,0.825778545252948,17.43547005500208,2.345152284811271,16.957175281968734,14.704516936227316,20.513366759834412,12.555552825918983,1.7226787118161853,12.171558628939142,10.769356321751461,14.49594948934669,0.7566239823911433,0.03400365279644629,0.7465843975989692,0.7285791642471307,0.809900955994548,0.502962258988091,0.09086470430048965,0.5273794280929682,0.3846553007985539,0.5964720112433969,1.5003116926814053,0.27437533050224755,1.6563866939738776,1.1153101984535154,1.7464833233767285
40g,P0,15.533457967345786,1.801239488387439,16.59118717043451,12.84954950203557,17.10204254392049,10.831885958437741,0.6047603458931806,10.815297739583334,9.921538029999999,11.494042091954022,0.6125585112889926,0.08062798400354854,0.6118212235219707,0.49391894338212017,0.7194216732452339,18.356241113626304,2.3526216959294857,18.175633525181638,15.592831918235882,21.43465233361628,13.254001106563218,1.1126658337373416,13.285397333333334,11.632346039999998,14.569476791666666,0.7298419129382988,0.03868752847165649,0.721747219116606,0.6881718777065768,0.786239033720572,0.5374043060378774,0.07036696410916678,0.5433830282818045,0.44798258093810583,0.6076668675488911,1.6113729020702525,0.18670945280558582,1.6899146056555625,1.3416396919501208,1.766057176503337
40g,P1,13.944371812061409,2.212973048121139,15.211172834456011,10.905471101034028,15.921513491112808,8.94838627770594,0.5007518637633975,9.03734758888889,8.0931598,9.342566034482758,0.6857290793858704,0.09010518441568698,0.6929131470197955,0.5643117349362102,0.797899596877599,16.605513433306964,2.5585929437242405,16.89692387825023,14.132188848406013,20.248549674091834,11.325968241611111,1.30736046219463,11.453598298850574,9.760605139999997,13.040492479166666,0.7788611281547471,0.04244434180410189,0.8009840584821837,0.7305045360001736,0.822845621782848,0.4841440062488195,0.07991007610615795,0.5045541641554018,0.392415072036706,0.5784967408433951,1.4494696267806568,0.22368093826820776,1.5682715761318706,1.1608394838899598,1.6836165455670646
40g,P2,15.617440901066345,1.5583041252743124,15.739191189570311,13.103672206888648,16.98307483092809,10.159468579560345,0.7503756992008415,10.544991697916666,9.18199397,10.901958666666667,0.6098625300827849,0.06089954490094034,0.5934186050499382,0.5445612512390534,0.7082140618694608,18.712714182059585,2.2474550756645946,17.527616400044412,16.724393070471926,22.067696289257608,13.304714440229883,1.571207994716757,12.321409942528739,11.929430199999999,15.299769166666666,0.7198797126496576,0.029088675679892727,0.7100107595092756,0.6866428588825646,0.7540883287611315,0.5436479390928974,0.06462914772761666,0.5187796990087661,0.4672403127779162,0.6205081375180076,1.625991611700868,0.16273809882546328,1.6091087336536376,1.3870307080678823,1.7955537985319079
40g,P3,14.064402348310733,2.1580481914963645,13.653920620308906,10.90385923711161,16.198613422927732,8.878245806400383,1.046912914924576,9.538580310344827,7.652525639999999,9.818533444444446,0.6759627142593553,0.10960154581465781,0.6756674089685599,0.5175849610889983,0.7979593346498443,16.939538353970754,1.088211389753862,16.54157530973801,15.965771126172214,18.29050604082138,11.448437430139846,0.9280179572348078,11.323450729166666,10.439124119999999,12.96881064367816,0.7640187531470917,0.05716974263974999,0.7594351660054327,0.6842178283470466,0.8377086774439125,0.4902470207799398,0.05255396270799921,0.48055828223020575,0.4239924233990803,0.5494197454291782,1.4673205545869301,0.18324710491098214,1.4129958991469973,1.2193423023160532,1.6614013041851148
40g,paper_style_current_v2,13.109113220539323,2.5318741104342637,14.114413126354629,10.109055726062499,16.028232200156882,7.987240874441571,0.4773682695065744,7.819261609195403,7.548342322222221,8.767093364583333,0.7208965438625761,0.09526228761842112,0.7355999871697524,0.6147971867377771,0.8263401192293771,15.896779294423913,2.1965660558201576,15.961347115154641,12.964650574050788,19.06873193872977,10.642956748434866,0.8495092720608619,10.58797157,9.507497611111111,11.788728020833332,0.7971981107993977,0.034594517374202674,0.7968409113176415,0.7595220564007742,0.8325093248831462,0.4590760513933699,0.08013675780916178,0.4752701297112936,0.36826114559337775,0.5651142501922486,1.369921518333949,0.236785436601502,1.4551699947618149,1.1259601622489461,1.665017282696797
