epoch,train_loss,validation_selection_score,validation_V1_r2,validation_V1_rmse,validation_V1_mae,validation_V2_r2,validation_V2_rmse,validation_V2_mae,validation_combined_normalized_rmse,validation_all_outputs_finite
1,682.9658508300781,1.1677133548054792,-1.3203461170196533,10.345561981201172,7.90459680557251,-0.1555774211883545,16.102880477905273,9.015165328979492,1.1677133548054792,True
2,458.0040588378906,1.1563240621095057,-1.279916524887085,10.255035400390625,7.847258567810059,-0.12919867038726807,15.918025970458984,8.728606224060059,1.1563240621095057,True
3,269.0971908569336,1.0901206057554143,-0.8676778078079224,9.281723976135254,6.479077339172363,-0.13935136795043945,15.989425659179688,8.732110023498535,1.0901206057554143,True
4,225.00137329101562,1.0443881000063147,-0.6000257730484009,8.590950012207031,5.2921295166015625,-0.1435098648071289,16.018577575683594,8.764098167419434,1.0443881000063147,True
5,217.73944854736328,1.0875659387191754,-0.7791355848312378,9.059040069580078,6.259430885314941,-0.20230066776275635,16.425195693969727,8.803206443786621,1.0875659387191754,True
6,170.67957305908203,1.129162703360435,-0.8767101764678955,9.3041410446167,6.790170669555664,-0.33121824264526367,17.28337860107422,10.476243019104004,1.129162703360435,True
7,138.3853530883789,1.1374449341610324,-0.7053349018096924,8.869160652160645,6.236058235168457,-0.5211063623428345,18.474973678588867,12.829672813415527,1.1374449341610324,True
8,119.1284294128418,1.0232516903939102,-0.2711622714996338,7.657344341278076,4.715012550354004,-0.3242419958114624,17.238033294677734,11.742839813232422,1.0232516903939102,True
9,104.23611450195312,0.856808899394411,0.11965888738632202,6.372402191162109,3.4904937744140625,0.06218230724334717,14.50652027130127,8.394173622131348,0.856808899394411,True
10,90.46657180786133,0.8324516092225687,0.1594146490097046,6.226852893829346,3.381621837615967,0.12294679880142212,14.028685569763184,7.4701995849609375,0.8324516092225687,True
11,77.32431030273438,0.7728226843655298,0.25484031438827515,5.862763404846191,3.29121732711792,0.26179373264312744,12.8704252243042,6.638218402862549,0.7728226843655298,True
12,68.04571914672852,0.7194991707183098,0.33447015285491943,5.540659427642822,3.305370807647705,0.37696558237075806,11.823881149291992,6.704227924346924,0.7194991707183098,True
13,68.15256118774414,0.7378663894883097,0.3091440200805664,5.645097732543945,3.0348000526428223,0.3369749188423157,12.19744873046875,6.314778804779053,0.7378663894883097,True
14,58.59719276428223,0.8932834349825461,0.0023813247680664062,6.783596038818359,3.7520854473114014,0.015488386154174805,14.863272666931152,8.061875343322754,0.8932834349825461,True
15,51.351749420166016,0.8428614680765172,0.17208212614059448,6.179756164550781,3.173271417617798,0.0719333291053772,14.430906295776367,7.805448055267334,0.8428614680765172,True
16,59.67447853088379,0.748075730022061,0.33865344524383545,5.523219108581543,2.7916078567504883,0.276777446269989,12.739136695861816,6.876110553741455,0.748075730022061,True
17,51.86012268066406,0.7207339984539245,0.3733256459236145,5.376487731933594,2.7158918380737305,0.33962053060531616,12.173089027404785,6.209907531738281,0.7207339984539245,True
18,53.24419403076172,0.719126201406285,0.35225826501846313,5.466113567352295,2.8616647720336914,0.36298054456710815,11.95584774017334,6.26798677444458,0.719126201406285,True
19,43.85426139831543,0.6759942260597893,0.41286009550094604,5.204133987426758,2.7168655395507812,0.44974106550216675,11.1118803024292,5.722205638885498,0.6759942260597893,True
20,42.68790245056152,0.7356795716039145,0.27703922986984253,5.77477502822876,3.0940370559692383,0.37186968326568604,11.872137069702148,6.071367263793945,0.7356795716039145,True
21,40.34478759765625,0.7168221083511059,0.3235473036766052,5.585941791534424,2.833003520965576,0.3951696753501892,11.649862289428711,5.756745338439941,0.7168221083511059,True
22,39.845327377319336,0.5317755677127802,0.613649845123291,4.2215142250061035,2.379037618637085,0.6791739463806152,8.484745979309082,4.572442054748535,0.5317755677127802,True
23,39.77766418457031,0.6631209148110859,0.4135146141052246,5.20123291015625,2.5910263061523438,0.48889243602752686,10.709278106689453,5.1831536293029785,0.6631209148110859,True
24,39.88007736206055,0.7066172574357001,0.35775476694107056,5.442872524261475,2.805283784866333,0.3993607759475708,11.609429359436035,5.7916998863220215,0.7066172574357001,True
25,38.23134994506836,0.5489451997261132,0.5838078260421753,4.381518363952637,2.2831811904907227,0.6619648933410645,8.709333419799805,4.629337787628174,0.5489451997261132,True
26,37.36115837097168,0.5192533500110429,0.6677254438400269,3.914949893951416,2.0748512744903564,0.6632199883460999,8.69314956665039,4.426511764526367,0.5192533500110429,True
27,33.815425872802734,0.6470107633384764,0.4268004298210144,5.1419830322265625,2.5106637477874756,0.5261445045471191,10.311622619628906,5.082883358001709,0.6470107633384764,True
28,35.449026107788086,0.6275695607093269,0.49775588512420654,4.813213348388672,2.417436361312866,0.5225101709365845,10.351090431213379,5.158565998077393,0.6275695607093269,True
29,32.76848602294922,0.5434468227288058,0.6065804958343506,4.259961128234863,2.078010320663452,0.6563148498535156,8.781817436218262,4.371674060821533,0.5434468227288058,True
30,30.68942642211914,0.45754710837708357,0.6912736892700195,3.7736754417419434,1.95694100856781,0.7819184064865112,6.995416164398193,3.84856915473938,0.45754710837708357,True
31,35.00262641906738,0.587161121470188,0.5146679878234863,4.731482028961182,2.3370630741119385,0.6211113929748535,9.220613479614258,4.602878570556641,0.587161121470188,True
32,30.93350601196289,0.6439263060712782,0.4235036373138428,5.1567487716674805,2.6022348403930664,0.5381379127502441,10.180290222167969,5.138914108276367,0.6439263060712782,True
33,30.416834831237793,0.6121363963009604,0.48611778020858765,4.8686604499816895,2.3992557525634766,0.5765423774719238,9.74785327911377,4.870229721069336,0.6121363963009604,True
34,30.56040382385254,0.5965914070980812,0.4987247586250305,4.808568954467773,2.3268818855285645,0.6090385913848877,9.366363525390625,4.625166893005371,0.5965914070980812,True
35,28.41359233856201,0.5629430698155979,0.5873801112174988,4.362674236297607,2.1842904090881348,0.6230549216270447,9.19693374633789,4.751692771911621,0.5629430698155979,True
36,27.509459495544434,0.48614297057355776,0.6653085947036743,3.9291625022888184,1.9762858152389526,0.7419725656509399,7.609164714813232,3.999427318572998,0.48614297057355776,True
37,25.122329711914062,0.41009971905971127,0.7606548070907593,3.3226919174194336,1.8729451894760132,0.8173829913139343,6.401395320892334,3.784276247024536,0.41009971905971127,True
38,23.832629203796387,0.3361390037871019,0.8263907432556152,2.829854726791382,1.6082743406295776,0.888274073600769,5.007039546966553,2.8493802547454834,0.3361390037871019,True
39,22.862533569335938,0.4176866427525324,0.7526715993881226,3.377650499343872,1.8130743503570557,0.8097467422485352,6.533863544464111,3.5982909202575684,0.4176866427525324,True
40,21.889636993408203,0.37491913819484346,0.7924650311470032,3.0940213203430176,1.6670079231262207,0.8537825345993042,5.72800874710083,3.0908727645874023,0.37491913819484346,True
41,21.256601333618164,0.30923945354045584,0.8392199873924255,2.7232887744903564,1.540344476699829,0.9172874689102173,4.308139324188232,2.553938865661621,0.30923945354045584,True
42,22.529854774475098,0.3471434839454437,0.8233035206794739,2.854904890060425,1.6444308757781982,0.8735946416854858,5.325822830200195,3.051236391067505,0.3471434839454437,True
43,24.912561416625977,0.3485672639094361,0.8188385963439941,2.8907501697540283,1.6248767375946045,0.8751334547996521,5.293306350708008,3.0123684406280518,0.3485672639094361,True
44,26.475985527038574,0.48787172767866843,0.658575713634491,3.9684865474700928,2.0298409461975098,0.7438549399375916,7.581358432769775,3.8521728515625,0.48787172767866843,True
45,27.532108306884766,0.35299493276718774,0.8090912699699402,2.967499017715454,1.6606085300445557,0.8763185143470764,5.268128395080566,2.8907265663146973,0.35299493276718774,True
46,26.52353858947754,0.35475338631461356,0.7911363840103149,3.103909969329834,1.755332112312317,0.8888154625892639,4.994894027709961,2.7641427516937256,0.35475338631461356,True
47,23.18782329559326,0.33959415127105275,0.8138625025749207,2.9301822185516357,1.718047857284546,0.8936160206794739,4.885872840881348,2.8579518795013428,0.33959415127105275,True
48,22.39838218688965,0.40589606577638904,0.7661575078964233,3.2842743396759033,1.7010998725891113,0.8205760717391968,6.345183849334717,3.4526991844177246,0.40589606577638904,True
49,23.42094612121582,0.43278934692905935,0.7265233993530273,3.5517122745513916,1.8854097127914429,0.8025330305099487,6.656581878662109,3.7100749015808105,0.43278934692905935,True
50,21.970199584960938,0.33918412546178617,0.82036292552948,2.8785624504089355,1.6721247434616089,0.8886947631835938,4.997603416442871,2.9397993087768555,0.33918412546178617,True
51,21.238252639770508,0.3880091941614885,0.7559012770652771,3.355524778366089,1.7599537372589111,0.8620643019676208,5.563426494598389,3.0285754203796387,0.3880091941614885,True
52,20.212119102478027,0.39942796233819744,0.7332581877708435,3.5077064037323,1.8503602743148804,0.8607268333435059,5.590333461761475,3.0620265007019043,0.39942796233819744,True
53,20.370490074157715,0.41311374856778293,0.7460517883300781,3.4225540161132812,1.7694543600082397,0.8241629600524902,6.281439304351807,3.320773124694824,0.41311374856778293,True
54,29.253713607788086,0.4472299832843861,0.7142529487609863,3.6305177211761475,1.9339394569396973,0.7837585806846619,6.965839862823486,3.581796169281006,0.4472299832843861,True
55,27.21451187133789,0.36299966681237555,0.7819400429725647,3.171506881713867,1.9039180278778076,0.8830501437187195,5.122758388519287,2.9207582473754883,0.36299966681237555,True
56,22.37913227081299,0.3842899184516489,0.7460614442825317,3.4224886894226074,2.052558422088623,0.877100944519043,5.251438140869141,3.101945638656616,0.3842899184516489,True
57,23.957672119140625,0.3150858072240946,0.8365322947502136,2.7459566593170166,1.753855586051941,0.9111791253089905,4.464384078979492,2.9709396362304688,0.3150858072240946,True
58,22.74867057800293,0.40508136981590326,0.7205082178115845,3.590559959411621,2.0096261501312256,0.8611595630645752,5.581641674041748,3.0963845252990723,0.40508136981590326,True
59,22.9162015914917,0.357176345456521,0.7908364534378052,3.10613751411438,1.905531406402588,0.885098397731781,5.077700138092041,2.8202924728393555,0.357176345456521,True
60,20.643590927124023,0.31348802359375605,0.8412059545516968,2.7064177989959717,1.7430603504180908,0.9094935059547424,4.506546974182129,2.793911933898926,0.31348802359375605,True
61,20.62688446044922,0.32224200767896927,0.8195576667785645,2.885007381439209,1.7234666347503662,0.9151977896690369,4.36221981048584,2.7205793857574463,0.32224200767896927,True
62,18.499978065490723,0.385333830779576,0.7674304842948914,3.275322675704956,1.7841745615005493,0.8569649457931519,5.665330410003662,3.0703649520874023,0.385333830779576,True
63,19.62063980102539,0.49742224074353375,0.6686250567436218,3.90964674949646,2.00930118560791,0.7135788202285767,8.016901969909668,4.136750221252441,0.49742224074353375,True
64,18.86018180847168,0.46670483273096613,0.6804847121238708,3.83904767036438,1.8981108665466309,0.7716526389122009,7.158170223236084,3.762061834335327,0.46670483273096613,True
65,19.124845504760742,0.35765519960811093,0.8069871068000793,2.9838078022003174,1.7063953876495361,0.8704899549484253,5.390831470489502,3.1883585453033447,0.35765519960811093,True
66,21.689651489257812,0.35622940718223994,0.8048962354660034,2.9999260902404785,1.6332563161849976,0.8746238350868225,5.304097652435303,2.9958720207214355,0.35622940718223994,True
