repetition_seed,phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,checkpoint_sha256
4601,candidate,d67e364fd6830aa2bf6f,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,74,174,11.255182374967262,6d1e84ad9f5691c015266b2d99595fcd3840dc6d8b43bfd712cf4c51b2a2bf99
4601,candidate,3a02b99399bb0c3e9ff9,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,9.831075167050585,8aa515dcedd95f5afbe2045cdf017d24ed628afaf751fb1475efe93f85dbb78f
4601,candidate,3a02b99399bb0c3e9ff9,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.344425041927025,de9439cd3c9362ef933cb66df1514462115bc1e4aba58cdfeb165b9cf47b764c
4601,candidate,3a02b99399bb0c3e9ff9,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,11.254343958105892,868ef75ca7303167ad94a584034f4727a5c6e04ec87abdd48d1ff5f6120a21d4
4601,candidate,d31d42caff135d7154c4,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,99,199,12.731098500080407,df0657ec3c8e2683e6b75472bfdd96b338f77a93e430ec83e9b113a9177fcb67
4601,candidate,d31d42caff135d7154c4,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,70,170,10.4320751670748,3979e621dfef518175e85c850286108963a0244fd81de1545192803f8ff929f4
4601,candidate,d31d42caff135d7154c4,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,116,216,14.56728283292614,8a01707f29e2fbe693d3f74e3822d5c78abb71f39cecbd6d2643ccb9842b2d80
4601,candidate,c7bc53c45a1962a88ec3,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,83,183,11.103089458076283,35e99c955174172830e6c6dc56dad55f05c80862ebedc9a54183f0aab93bc075
4601,candidate,c7bc53c45a1962a88ec3,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,9.393507458968088,251a7f83a6a5651800b7eb61d4ebbf1239bfc1ab90cbc7461a6cec7b2a8357d6
4601,candidate,c7bc53c45a1962a88ec3,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,113,213,14.732205250067636,4789a8255cb5825cf698b427ba0c84c9b333d2aed65963096fc19641d5657ed7
4601,candidate,41a468134f078d2de17d,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,309,409,24.969543125014752,a35daec4f510fe04d467bb5a10845ab11aea13d44357d62ff0cfaf8d3b1ce1ae
4601,candidate,41a468134f078d2de17d,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,46,146,8.9763199579902,6104708d5fcb747c037f699720ce24fca212285a46c23e87d562b91bf72ada1e
4601,candidate,41a468134f078d2de17d,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,110,210,13.547204458154738,e38d2dbee640507830d9713bdf301333ac686761365cd472da648acec195f7f3
4601,candidate,31d92ca6486b229184cf,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,10.823432334000245,7c0eee8932c5696c68d3b094d700e7a0770dadee2bb4ca2a6deff553bfcb3143
4601,candidate,31d92ca6486b229184cf,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,9.385715707903728,b0980c10feb32109b8f17f0a48064cb59dabc2a9eeabe50e6b5aeb89b8b4b40a
4601,candidate,31d92ca6486b229184cf,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,11.272133167134598,8a9de0bdfca33d3dfe28522ac87fef4fc21077404ed24218c5e286e1ccb1078f
4601,candidate,640353c89b3ce64ee98b,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,83,183,11.50473599997349,ee14b75b90eb2be2bd02e035838c4f5bacc9633eb8acf7713570b97da789e523
4601,candidate,640353c89b3ce64ee98b,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,50,150,9.062721417052671,2a1d5802c67b47bade58b41dc8e1b1e1853a7083211f70859f31e21bf7069a4d
4601,candidate,640353c89b3ce64ee98b,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,75,175,11.468963667051867,5a2f7c80cc4fe04d274d829ed4075736928940ca95ca2de64bd8213d25838c92
4601,candidate,194278dd9ee3d2407ed5,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,109,209,13.967816208023578,12cedbe0d947de2c8994a5a40eef29bb919b9cc79133af25d3c12e28f79a69ee
4601,candidate,194278dd9ee3d2407ed5,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,9.628483125008643,a1e634294d7fa0389afb881870e43cf4f12fd4835ae290ba6fbc4b4b911b71ad
4601,candidate,194278dd9ee3d2407ed5,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,113,213,14.132701375056058,03a890e320a762f031773fea85b905e2275a68a1357a517d3ede12d6f197f6f4
4601,candidate,88f58ab7b7cf02f8f134,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,246,346,20.70382187492214,a9bc478215b7d39165456c17f35c35e1884b26c4c1f2909bacd79044ace621ff
4601,candidate,88f58ab7b7cf02f8f134,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,51,151,9.526927500031888,11ff88da689e49586d14f03b23801904b01f0dc2ea27e40431915586b14086bc
4601,candidate,88f58ab7b7cf02f8f134,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,11.700626499950886,e4aed3dfb99fac6f93a039b93a1df194a806c9bf4750ab1d794e19ebedde937c
4601,candidate,08820514e662ce6ea8f0,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,85,185,12.087859792169183,de4b153e0f5a9c2f0adbf9d7e97d7e815d1dcd19f866d9fc0f54137493066f13
4601,candidate,08820514e662ce6ea8f0,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.535496459109709,16149e1d2e79f64a7627272975e53406401da25e022540697ce1edb1ed8ae3cd
4601,candidate,08820514e662ce6ea8f0,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,94,194,12.711903041927144,b78a9a124cc28cf1ac34b56b499c45b994ed262ecc066897dbd2efe1667c106d
4601,candidate,0c0f89307cc4aff87ab6,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,84,184,12.004218624904752,5991fd583645f24bf25b129650cf05965f37077988cea04841d20639e7dca7bd
4601,candidate,0c0f89307cc4aff87ab6,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,9.550649457843974,a2bbf13ccb0189839d9d55a1d70dc848ba30bcfa4f9ec4b8d5751c6fc741ffed
4601,candidate,0c0f89307cc4aff87ab6,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,118,218,14.501315500121564,5ae0dd6ec289baa9455f2c9f81ff33cd98776fe16f51e89462ea368bce6bc013
4601,candidate,10d51839b15b94f0ae56,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,89,189,12.043398499954492,3e81e17a82f294292aff64658098a9846c1104eebd9d792e9ba5e521181c49e7
4601,candidate,10d51839b15b94f0ae56,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,60,160,9.938776792027056,71e70d1b41973ee087302b6b33e0c564e062a56454e26d1f516c253400e489a4
4601,candidate,10d51839b15b94f0ae56,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,90,190,12.080178499920294,86e585391e53708b659985d0133f5a8d91ab6a341770ac0f269fb690b29c617e
4601,candidate,5ac5df671efee45d3ddf,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,10.350064042024314,f3c36ead4e115d2241d8ebd7fa00d273659102430eafdc08396286863c9fcc95
4601,candidate,5ac5df671efee45d3ddf,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,9.094306000042707,529b71ac33999210565f26bacada3b2ffb55bc3c765d13f1160d48fdf21fe009
4601,candidate,5ac5df671efee45d3ddf,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,87,187,12.349251500098035,c0f3d90cd09503050a6d440ef9a9219f2b65c4be50b373f714b13f220940a25f
4602,baseline,__baseline__,42,46020042,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,80,180,10.93424666696228,16953ce4a785d1db09b443bf4b9320250c646a41cba44e91a1da7c7ba34db235
4602,baseline,__baseline__,525,46020525,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,8.801390249980614,97fa4aead73f76b046ab5638ee4a99804e4673a4a450d68807c4ddbfeba7f454
4602,baseline,__baseline__,1101,46021101,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,78,178,11.338056833017617,446f1a1aaccbe13af29ec94119f86e0adc78e2f7668e4ab8e3ced04d98295272
4602,candidate,c2bd8e8f13a96726e7fc,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,9.919138708850369,7eb72ddddce868c93c99bc53923b42e02c3c13c5873860f5111659d4e4d5f057
4602,candidate,c2bd8e8f13a96726e7fc,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,51,151,9.297265625093132,b2c27f8dcbe7f9663a01f058de0bd1124918a56117e0293255b3b210af9cd6ca
4602,candidate,c2bd8e8f13a96726e7fc,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,61,161,9.965209000045434,caa02c6b133ab7caac7d05d6935bb7387abb900ec16694ed3a33ae3237285cea
4602,candidate,826e9f40c328ce2478ec,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,81,181,10.916612666100264,dcd802435b1c3003b5067bb95aed1195892b9b2df5eaa531e28a4a134aad8e2f
4602,candidate,826e9f40c328ce2478ec,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,92,192,11.898894582875073,223f5ad198eb47ad19d81ba82b6ee6fccf247c4e22ecd5938c12f197376b05ff
4602,candidate,826e9f40c328ce2478ec,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,86,186,11.686168999876827,937cf52865b948e0754bab10e58520e7d6b3b2422e31433a600643f5ef01c52d
4602,candidate,135ac7deca522d1e7929,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,10.247749082976952,4a373ffb2a17e639bf9867bee7d40fbc156ccae8447cc2c2a9a6a27a1f193163
