sample_id,stratum,D45_oracle_utility_combined,mean_utility,absolute_difference,sign_agreement,D45_D46_spearman,D45_D46_MAE,D45_D46_sign_agreement
c2bd8e8f13a96726e7fc,high_positive,0.0518678713077116,0.051867871307711644,4.163336342344337e-17,True,1.0,4.905487787774172e-17,1.0
826e9f40c328ce2478ec,high_positive,0.036681875352997,0.03668187535299705,4.85722573273506e-17,True,1.0,4.905487787774172e-17,1.0
135ac7deca522d1e7929,high_positive,0.0361180579824342,0.03611805798243428,8.326672684688674e-17,True,1.0,4.905487787774172e-17,1.0
474238f822b0c38795c6,high_positive,0.0280631638911449,0.028063163891144938,3.8163916471489756e-17,True,1.0,4.905487787774172e-17,1.0
c883df6ea04f89f45f03,high_positive,0.0238008469367392,0.02380084693673923,2.7755575615628914e-17,True,1.0,4.905487787774172e-17,1.0
d67e364fd6830aa2bf6f,high_positive,0.0226716608349515,0.022671660834951535,3.469446951953614e-17,True,1.0,4.905487787774172e-17,1.0
3a02b99399bb0c3e9ff9,near_zero,0.0001125697481385,0.00011256974813855791,5.7909948537882e-17,True,1.0,4.905487787774172e-17,1.0
d31d42caff135d7154c4,near_zero,0.0008399450460907,0.0008399450460907509,5.095750210681871e-17,True,1.0,4.905487787774172e-17,1.0
c7bc53c45a1962a88ec3,near_zero,-0.0008497368919335,-0.0008497368919335724,7.24247051220317e-17,True,1.0,4.905487787774172e-17,1.0
41a468134f078d2de17d,near_zero,-0.0009902450924741,-0.0009902450924741402,4.0115480381963664e-17,True,1.0,4.905487787774172e-17,1.0
31d92ca6486b229184cf,near_zero,-0.0009936381148765,-0.000993638114876516,1.6046192152785466e-17,True,1.0,4.905487787774172e-17,1.0
640353c89b3ce64ee98b,near_zero,-0.0014894552850119,-0.0014894552850119869,8.695301423333746e-17,True,1.0,4.905487787774172e-17,1.0
194278dd9ee3d2407ed5,strongly_negative,-0.0361336538888023,-0.0361336538888023,0.0,True,1.0,4.905487787774172e-17,1.0
88f58ab7b7cf02f8f134,strongly_negative,-0.029482151263076,-0.029482151263076073,7.28583859910259e-17,True,1.0,4.905487787774172e-17,1.0
08820514e662ce6ea8f0,strongly_negative,-0.0181492102256168,-0.018149210225616885,8.673617379884035e-17,True,1.0,4.905487787774172e-17,1.0
0c0f89307cc4aff87ab6,strongly_negative,-0.0170665591969563,-0.01706655919695632,2.0816681711721685e-17,True,1.0,4.905487787774172e-17,1.0
10d51839b15b94f0ae56,strongly_negative,-0.0138168618885636,-0.01381686188856368,8.153200337090993e-17,True,1.0,4.905487787774172e-17,1.0
5ac5df671efee45d3ddf,strongly_negative,-0.0134817268099787,-0.013481726809978722,2.2551405187698492e-17,True,1.0,4.905487787774172e-17,1.0
