sample_id,stratum,D45_oracle_utility_combined,utility_rep1,utility_rep2,utility_rep3,mean_utility,std_utility,min_utility,max_utility,positive_repetitions,negative_repetitions,near_zero_repetitions,sign_consistency,epsilon,paired_test_row_mean_ci_lower,paired_test_row_mean_ci_upper,mean_bootstrap_CI_excludes_zero,mean_bootstrap_CI_direction
c2bd8e8f13a96726e7fc,high_positive,0.0518678713077116,0.051867871307711644,0.051867871307711644,0.051867871307711644,0.051867871307711644,0.0,0.051867871307711644,0.051867871307711644,3,0,0,1.0,1e-06,-0.029714842937016372,0.1293315052540133,False,crosses_zero
826e9f40c328ce2478ec,high_positive,0.036681875352997,0.03668187535299705,0.03668187535299705,0.03668187535299705,0.03668187535299705,0.0,0.03668187535299705,0.03668187535299705,3,0,0,1.0,1e-06,-0.0558148595144406,0.12945043024080402,False,crosses_zero
135ac7deca522d1e7929,high_positive,0.0361180579824342,0.03611805798243428,0.03611805798243428,0.03611805798243428,0.03611805798243428,0.0,0.03611805798243428,0.03611805798243428,3,0,0,1.0,1e-06,0.010510485752941076,0.07838803315952962,True,positive
474238f822b0c38795c6,high_positive,0.0280631638911449,0.028063163891144938,0.028063163891144938,0.028063163891144938,0.028063163891144938,0.0,0.028063163891144938,0.028063163891144938,3,0,0,1.0,1e-06,-0.015168591150016628,0.06309753137068762,False,crosses_zero
c883df6ea04f89f45f03,high_positive,0.0238008469367392,0.02380084693673923,0.02380084693673923,0.02380084693673923,0.02380084693673923,0.0,0.02380084693673923,0.02380084693673923,3,0,0,1.0,1e-06,-0.0005385328594528781,0.04679297937502864,False,crosses_zero
d67e364fd6830aa2bf6f,high_positive,0.0226716608349515,0.022671660834951535,0.022671660834951535,0.022671660834951535,0.022671660834951535,0.0,0.022671660834951535,0.022671660834951535,3,0,0,1.0,1e-06,-0.008785368621755375,0.05637456047287389,False,crosses_zero
3a02b99399bb0c3e9ff9,near_zero,0.0001125697481385,0.00011256974813855791,0.00011256974813855791,0.00011256974813855791,0.00011256974813855791,0.0,0.00011256974813855791,0.00011256974813855791,3,0,0,1.0,1e-06,-0.01161038005522413,0.008414539224186685,False,crosses_zero
d31d42caff135d7154c4,near_zero,0.0008399450460907,0.0008399450460907509,0.0008399450460907509,0.0008399450460907509,0.0008399450460907509,0.0,0.0008399450460907509,0.0008399450460907509,3,0,0,1.0,1e-06,-0.03695444385858739,0.03263033489068784,False,crosses_zero
c7bc53c45a1962a88ec3,near_zero,-0.0008497368919335,-0.0008497368919335724,-0.0008497368919335724,-0.0008497368919335724,-0.0008497368919335724,0.0,-0.0008497368919335724,-0.0008497368919335724,0,3,0,1.0,1e-06,-0.01959030173186467,0.014603359967032853,False,crosses_zero
41a468134f078d2de17d,near_zero,-0.0009902450924741,-0.0009902450924741402,-0.0009902450924741402,-0.0009902450924741402,-0.0009902450924741402,0.0,-0.0009902450924741402,-0.0009902450924741402,0,3,0,1.0,1e-06,-0.013542056728501794,0.008400338619985835,False,crosses_zero
31d92ca6486b229184cf,near_zero,-0.0009936381148765,-0.000993638114876516,-0.000993638114876516,-0.000993638114876516,-0.000993638114876516,0.0,-0.000993638114876516,-0.000993638114876516,0,3,0,1.0,1e-06,-0.009725464362143965,0.005203055350384999,False,crosses_zero
640353c89b3ce64ee98b,near_zero,-0.0014894552850119,-0.0014894552850119869,-0.0014894552850119869,-0.0014894552850119869,-0.0014894552850119869,0.0,-0.0014894552850119869,-0.0014894552850119869,0,3,0,1.0,1e-06,-0.02038398641863571,0.015245048096640833,False,crosses_zero
194278dd9ee3d2407ed5,strongly_negative,-0.0361336538888023,-0.0361336538888023,-0.0361336538888023,-0.0361336538888023,-0.0361336538888023,0.0,-0.0361336538888023,-0.0361336538888023,0,3,0,1.0,1e-06,-0.06487086465103997,-0.006414123505996715,True,negative
88f58ab7b7cf02f8f134,strongly_negative,-0.029482151263076,-0.029482151263076073,-0.029482151263076073,-0.029482151263076073,-0.029482151263076073,0.0,-0.029482151263076073,-0.029482151263076073,0,3,0,1.0,1e-06,-0.04983307524893907,-0.012406033030326686,True,negative
08820514e662ce6ea8f0,strongly_negative,-0.0181492102256168,-0.018149210225616885,-0.018149210225616885,-0.018149210225616885,-0.018149210225616885,0.0,-0.018149210225616885,-0.018149210225616885,0,3,0,1.0,1e-06,-0.04820549304166985,0.015166220905326148,False,crosses_zero
0c0f89307cc4aff87ab6,strongly_negative,-0.0170665591969563,-0.01706655919695632,-0.01706655919695632,-0.01706655919695632,-0.01706655919695632,0.0,-0.01706655919695632,-0.01706655919695632,0,3,0,1.0,1e-06,-0.03548880017479708,0.00499242655986947,False,crosses_zero
10d51839b15b94f0ae56,strongly_negative,-0.0138168618885636,-0.01381686188856368,-0.01381686188856368,-0.01381686188856368,-0.01381686188856368,0.0,-0.01381686188856368,-0.01381686188856368,0,3,0,1.0,1e-06,-0.031976840478650535,0.011335962872317976,False,crosses_zero
5ac5df671efee45d3ddf,strongly_negative,-0.0134817268099787,-0.013481726809978722,-0.013481726809978722,-0.013481726809978722,-0.013481726809978722,0.0,-0.013481726809978722,-0.013481726809978722,0,3,0,1.0,1e-06,-0.04686151376495735,0.014800185444929455,False,crosses_zero
