outer_seed,member_index,member_seed,fit_seconds_current_run,reused_completed_fit,max_epoch,early_stop_epoch,hit_max_epoch,best_epoch_ge_490,checkpoint,checkpoint_sha256,best_epoch,epochs_run,normalized_valid_score,train_rows,validation_rows,trainable_parameters,total_parameters,train_config_hash,labeled_ids_hash,validation_ids_hash,initialization_policy,trainable_scope,scaler_hash,strategy,round
42,0,4200,156.33375975000672,False,500,299,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_42/hybrid/round_6/checkpoints/member_0_seed_4200/best.pt,dc9e887c58b96523308055548f5108dca06fe0bcb2debe346b356fd3bbc28a6f,199,299,0.13845556737503553,468,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,8166c38088ccf17e4bd61f1d6a0a81566dce4a9f643bce0daa9ad06b1b61312d,a662a6a643614ec75e1cf33c79d9ed75ae400ab3f4c103150651ef1a5bfeada7,seeded_random,full_source_free,7c5b931c947120a97d9675bca200b8d9acee1bd1483c0ed3626aac365eb6d5c5,hybrid,6
42,1,4201,145.62974758306518,False,500,247,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_42/hybrid/round_6/checkpoints/member_1_seed_4201/best.pt,6a926487b01ec349afad8a76463ea47d6c6d11cd4fbf8af7913bb513a54bc5f6,147,247,0.09644275806726488,468,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,8166c38088ccf17e4bd61f1d6a0a81566dce4a9f643bce0daa9ad06b1b61312d,a662a6a643614ec75e1cf33c79d9ed75ae400ab3f4c103150651ef1a5bfeada7,seeded_random,full_source_free,7c5b931c947120a97d9675bca200b8d9acee1bd1483c0ed3626aac365eb6d5c5,hybrid,6
42,2,4202,198.17048504203558,False,500,308,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_42/hybrid/round_6/checkpoints/member_2_seed_4202/best.pt,ad4098adf61b2e83201aa257392952ade427dfa21ab910124d17326ba58642cd,208,308,0.10037886392087692,468,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,8166c38088ccf17e4bd61f1d6a0a81566dce4a9f643bce0daa9ad06b1b61312d,a662a6a643614ec75e1cf33c79d9ed75ae400ab3f4c103150651ef1a5bfeada7,seeded_random,full_source_free,7c5b931c947120a97d9675bca200b8d9acee1bd1483c0ed3626aac365eb6d5c5,hybrid,6
