strategy,outer_seed,round,labeled_total,row_weighted_nrmse,test_unique_compounds,compound_macro_V1_mae,compound_macro_V1_nrmse,compound_macro_V2_mae,compound_macro_V2_nrmse,compound_macro_mae,compound_macro_nrmse
coverage,42,0,375,0.5662266601847565,21,3.1482459239199443,0.5512271027062422,5.738244716511271,0.4766885102415314,4.443245320215608,0.5139578064738868
coverage,42,1,400,0.602583190697065,21,2.98372089973812,0.5334456609366263,5.550203249038636,0.45254130462479397,4.266962074388378,0.4929934827807101
coverage,42,2,425,0.6688276933390662,21,3.214959760826239,0.5604226328554894,5.807686123581038,0.4779174374071126,4.5113229422036385,0.519170035131301
coverage,42,3,450,0.7352118253761906,21,3.4516830646922303,0.5994338884194578,6.662946726434926,0.5364225225543512,5.057314895563579,0.5679282054869045
coverage,42,4,475,0.7097164659526884,21,3.316763688781948,0.578533610627219,6.315576722575169,0.4997645061626631,4.816170205678558,0.539149058394941
coverage,42,5,500,0.6666804504229722,21,3.234183881382346,0.5649044176287192,5.890620288673754,0.47131125825653486,4.56240208502805,0.518107837942627
coverage,42,6,525,0.6232843291551302,21,3.27397672097925,0.5677386147138879,5.857249215731418,0.46556166953648,4.5656129683553335,0.5166501421251839
coverage,42,7,550,0.747969627860633,21,3.651760341881366,0.6307919839934946,6.736950540540901,0.5459214397381066,5.194355441211133,0.5883567118658006
coverage,42,8,575,0.740653794499075,21,3.7379041714347547,0.6360400583202523,6.519743892621467,0.5276879134366503,5.128824032028111,0.5818639858784513
ensemble,42,0,375,0.5662266601847565,21,3.1482459239199443,0.5512271027062422,5.738244716511271,0.4766885102415314,4.443245320215608,0.5139578064738868
ensemble,42,1,400,0.5944422767845446,21,3.073982479195656,0.5431478210855741,5.67495484767317,0.4703424736467416,4.374468663434413,0.5067451473661578
ensemble,42,2,425,0.6299837500711304,21,3.3048380864962454,0.5735537683705657,5.59900154442516,0.4776196387920469,4.451919815460703,0.5255867035813063
ensemble,42,3,450,0.6500881578070811,21,3.1804506993235457,0.573988167434782,5.820890868785971,0.4918241879238006,4.500670784054758,0.5329061776792913
ensemble,42,4,475,0.6615269630494691,21,3.3271791153759542,0.5935309653599149,5.9696664372938955,0.4954255418422063,4.648422776334925,0.5444782536010606
ensemble,42,5,500,0.7245044732017085,21,3.6072120456227865,0.6409094462295983,6.637918932943653,0.5447250855093245,5.12256548928322,0.5928172658694615
ensemble,42,6,525,0.7251822231165044,21,3.629734732606583,0.6463742572178662,6.443074316011464,0.5410287009938246,5.036404524309024,0.5937014791058455
ensemble,42,7,550,0.8347548798995564,21,3.9434454617059953,0.7100708055831684,7.579061301434373,0.6334593475906121,5.761253381570184,0.6717650765868902
ensemble,42,8,575,0.8115241678428065,21,3.755439641971151,0.673673624427678,7.057558471124553,0.5932501192859201,5.406499056547852,0.633461871856799
hybrid,42,0,375,0.5662266601847565,21,3.1482459239199443,0.5512271027062422,5.738244716511271,0.4766885102415314,4.443245320215608,0.5139578064738868
hybrid,42,1,400,0.6237306102424706,21,3.077018138675341,0.5440157194533443,5.434882412141238,0.450481923611851,4.255950275408289,0.49724882153259764
hybrid,42,2,425,0.6658092533831674,21,3.3784831163420006,0.5827294434938335,6.037105720089824,0.4951015545326162,4.707794418215912,0.5389154990132248
hybrid,42,3,450,0.7502614686019415,21,3.384752954269473,0.5988401508692413,6.307425434787511,0.5195129203225574,4.846089194528492,0.5591765355958993
hybrid,42,4,475,0.7550240796355292,21,3.3732959008662085,0.599842349178308,6.152709560535699,0.5178071755569396,4.763002730700954,0.5588247623676238
hybrid,42,5,500,0.6796022234820909,21,3.1401216948282022,0.5610917752903517,6.050768719673327,0.48726350191130197,4.595445207250765,0.5241776386008268
hybrid,42,6,525,0.6949087153489502,21,3.196341809277049,0.5673471806410174,6.206870543088461,0.4953618498599973,4.701606176182755,0.5313545152505074
hybrid,42,7,550,0.6751439382907521,21,3.303281727425168,0.5863072712168309,6.31672156654062,0.5045716556414206,4.810001646982894,0.5454394634291257
hybrid,42,8,575,0.6881163289067829,21,3.421223117498426,0.6038096112876448,6.4456275151607105,0.5098001747505226,4.9334253163295685,0.5568048930190836
random,42,0,375,0.5662266601847565,21,3.1482459239199443,0.5512271027062422,5.738244716511271,0.4766885102415314,4.443245320215608,0.5139578064738868
random,42,1,400,0.6174167931682968,21,3.3249365794426637,0.5885510601209168,6.061769031023291,0.5127514284951467,4.693352805232977,0.5506512443080318
random,42,2,425,0.6184171708828452,21,3.3892348411416786,0.6017684846887807,6.299129857362952,0.5301537033087094,4.844182349252315,0.5659610939987451
random,42,3,450,0.5935233227606456,21,3.201991483793944,0.577668998613813,5.522317305065991,0.48227597116786197,4.362154394429968,0.5299724848908375
random,42,4,475,0.6100973110928716,21,3.1959388663981203,0.5795648977695679,6.526827578014591,0.5310563771075527,4.8613832222063555,0.5553106374385604
random,42,5,500,0.5986201547082317,21,3.1587251211389376,0.5625981439755191,5.947559364530567,0.49296716549557024,4.5531422428347526,0.5277826547355446
random,42,6,525,0.5730866631420322,21,3.0162583289537963,0.5423637375633467,5.632489795046754,0.4671742844637555,4.324374062000276,0.5047690110135511
random,42,7,550,0.5867420927723284,21,3.0627215075815117,0.5420599339187907,5.700922066557733,0.4708839716782722,4.381821787069622,0.5064719527985314
random,42,8,575,0.5764844760209249,21,2.964827231350309,0.5312226718793438,5.357399430803087,0.4520107579704663,4.161113331076698,0.49161671492490505
