signal,slice,n_samples,tail_rows,spearman,spearman_ci_low,spearman_ci_high,hard_error_auroc,top10_count,top10_overlap_count,top10_overlap_rate,enrichment,ause,mean_error,mean_signal,split_mode,outer_seed,evaluation_pool
ensemble,full,3375,0,0.6246300847269015,0.6020203502733453,0.6473372435180639,0.9023814765817249,338,208,0.6153846153846154,6.153846153846154,0.0569059644881772,0.3817355401965268,0.1403408071707348,compound,42,U0
latent_distance,full,3375,0,0.5496118253367932,0.5235145621726036,0.5761062753053279,0.8476311877378213,338,163,0.4822485207100592,4.822485207100591,0.0767983182629152,0.3817355401965268,5.074984990456537,compound,42,U0
quantile_width,full,3375,0,0.5487397716320896,0.5214472753887641,0.5730052778764964,0.9068091175307303,338,200,0.591715976331361,5.9171597633136095,0.065643367357138,0.3817355401965268,0.7345638749157941,compound,42,U0
random,full,3375,0,0.0080123566735432,-0.025284342695644,0.0422559632854997,0.4876308565171563,338,25,0.0739644970414201,0.7396449704142012,0.2229170126104046,0.3817355401965268,0.5064570817825942,compound,42,U0
ensemble,full,3372,0,0.4157885717191019,0.3871742900881585,0.4427279419559272,0.7610166632211661,338,128,0.378698224852071,3.78698224852071,0.1300748775680759,0.4610716359251711,0.1652203112835216,compound,525,U0
latent_distance,full,3372,0,0.446510240963903,0.4175985788227435,0.4754734217813468,0.788567341334696,338,123,0.363905325443787,3.63905325443787,0.1149554965544484,0.4610716359251711,6.050460506626646,compound,525,U0
quantile_width,full,3372,0,0.5883402550322079,0.5639499272640789,0.6131796948387034,0.8280459525769095,338,168,0.4970414201183432,4.970414201183432,0.0875831470511997,0.4610716359251711,0.7776350379873991,compound,525,U0
random,full,3372,0,0.0154346491130616,-0.0184710189102134,0.0475634735501622,0.4971750145296111,338,37,0.1094674556213017,1.0946745562130178,0.2831137083212209,0.4610716359251711,0.4986739253708161,compound,525,U0
ensemble,full,3366,0,0.4917590647426678,0.46434972685300707,0.5178855058920664,0.8174535376621443,337,147,0.4362017804154303,4.362017804154303,0.09623390145922683,0.42678503096407316,0.16750705194414445,compound,1101,U0
latent_distance,full,3366,0,0.5725467795084935,0.5456637507025881,0.5957323184614142,0.8988256938614168,337,167,0.49554896142433236,4.955489614243323,0.06986126464020896,0.42678503096407316,6.3255106719310135,compound,1101,U0
quantile_width,full,3366,0,0.6352723294223124,0.6128075333670808,0.6572825275482803,0.9245772566476582,337,197,0.5845697329376854,5.845697329376854,0.057428974199706634,0.42678503096407316,0.7817002575018898,compound,1101,U0
random,full,3366,0,0.00021411022197666719,-0.035257195111558476,0.03208649751485655,0.5134530400000784,337,25,0.07418397626112759,0.7418397626112758,0.25043420628082186,0.42678503096407316,0.5011392226812437,compound,1101,U0
