outer_seed,l0_train_rows,validation_rows,u0_rows,test_rows,l0_unique_compounds,u0_unique_compounds,test_unique_compounds,l0_train_test_compound_overlap,validation_test_compound_overlap,u0_test_compound_overlap,partition_sha256,scaler_hash
42,318,57,3375,413,168,196,21,0,0,0,14f391f8341e3b7ca22a9f81f9f0550cfecb352be5ac3087fa7af44b1a694a10,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72
525,318,57,3372,416,155,194,23,0,0,0,8af1c7c7ccf3e0feceab2d168c4892724ec322492ded86f0e63fd4d93fa8643f,217c9e3a855a4e705dc7dff480bc6d2f74fc40a4e5571021cd5a46483d00c866
1101,318,57,3366,422,164,192,25,0,0,0,8d0ea82be414b1d884de6bd843576907cd5c13f865a1ce5df951ddac3608aa87,22d485719f991ab9f3ea92bd7eda96c6a708c07e855e373c1c537a84cf3711d9
