outer_seed,member_index,member_seed,fit_seconds_current_run,reused_completed_fit,max_epoch,early_stop_epoch,hit_max_epoch,best_epoch_ge_490,checkpoint,checkpoint_sha256,best_epoch,epochs_run,normalized_valid_score,train_rows,validation_rows,trainable_parameters,total_parameters,train_config_hash,labeled_ids_hash,validation_ids_hash,initialization_policy,trainable_scope,scaler_hash,strategy,round
42,0,4200,0.0,True,500,223,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/shared_round_0/member_0_seed_4200/best.pt,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,123,223,2.2680937595011645,318,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,de51759fba5fd73f2fab9e358f944d700c0ace327b63db9af3a4c65782866469,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,0
42,1,4201,0.0,True,500,500,True,True,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/shared_round_0/member_1_seed_4201/best.pt,96dce890024f524f77dcb1568bda45b30a5f76fe2c022f480be07c80e95cf088,500,500,2.2997049763372592,318,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,de51759fba5fd73f2fab9e358f944d700c0ace327b63db9af3a4c65782866469,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,0
42,2,4202,0.0,True,500,400,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/shared_round_0/member_2_seed_4202/best.pt,fe8e21e1618a140239774f99a9c312791334457b03cfefce95d06b8efcee20e9,300,400,2.151035439835413,318,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,de51759fba5fd73f2fab9e358f944d700c0ace327b63db9af3a4c65782866469,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,0
42,0,4200,201.18808429094497,False,500,322,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/coverage/round_1/checkpoints/member_0_seed_4200/best.pt,9f8b8dc76a02adb35e76e4a9a48d399eeb5c27576ba28d9982cf0424e35cb894,222,322,1.474813125745777,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,28ab0c1f4c250c169094e4ab46c7a56cd8ff97d3d2ba31008c3c266ba6728136,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,1
42,1,4201,265.84560287499335,False,500,419,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/coverage/round_1/checkpoints/member_1_seed_4201/best.pt,4899b95f8931d3bb0cf1a517631e350e695569203f2dc221787ea6ba5ea80fa9,319,419,1.44828625574918,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,28ab0c1f4c250c169094e4ab46c7a56cd8ff97d3d2ba31008c3c266ba6728136,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,1
42,2,4202,227.08520329196472,False,500,334,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/coverage/round_1/checkpoints/member_2_seed_4202/best.pt,d1484e53500666f917b71abb0984a0d958e78492b8e45730983545c0b679ee0d,234,334,1.520502316864497,343,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,28ab0c1f4c250c169094e4ab46c7a56cd8ff97d3d2ba31008c3c266ba6728136,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,1
42,0,4200,230.1874609999359,False,500,326,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/coverage/round_2/checkpoints/member_0_seed_4200/best.pt,17d6e011952c0c71b7aaa3e25a48e6db9d6339d8e2a3b7022e29092890145d9e,226,326,1.3286269429710913,368,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,e288a30459e1b52e9e3e4f9f898e689e051a7982a2d41684301f753c0af193e7,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,2
42,1,4201,186.70068174996413,False,500,267,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/coverage/round_2/checkpoints/member_1_seed_4201/best.pt,53d049b3a4686b1fb50e0d2a5c1b37f40a7547a56ab40b63edf3f9f16a12e763,167,267,1.3684337897499723,368,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,e288a30459e1b52e9e3e4f9f898e689e051a7982a2d41684301f753c0af193e7,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,2
42,2,4202,187.3433024160331,False,500,274,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/coverage/round_2/checkpoints/member_2_seed_4202/best.pt,d0ebc5d7992f4442e6c1178432c22b5942b069c8208d7a4bd978c5ec4f697d69,174,274,1.4184410357319988,368,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,e288a30459e1b52e9e3e4f9f898e689e051a7982a2d41684301f753c0af193e7,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,2
42,0,4200,329.05062533309683,False,500,500,True,True,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_compound_active_learning/compound_seed_42/coverage/round_3/checkpoints/member_0_seed_4200/best.pt,1e5b0a706dac081515962ae661a5e8c6e65fc0a93c217ebc02a05a027c9f92b5,493,500,0.7463055008772677,393,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,f082f7a5a073df7921b4a1619c3944f74149ab28b887a8358e4c389e7ee7e5dc,5708a8e0d0b9a41a673559f0a1066a75ce8aeff9ba7cfea26ac821079d2c6f13,seeded_random,full_source_free,f3a3722de4c742078d66f0737df62a596163c65ecb59cb01e8ba866d95e63b72,coverage,3
