outer_seed,strategy,compound_macro_aulc,final_compound_macro_nrmse
42,coverage,0.5362832962379547,0.5818639858784513
42,ensemble,0.5677137428694194,0.633461871856799
42,hybrid,0.5363148231920364,0.5568048930190836
42,random,0.5304632924853997,0.49161671492490505
525,coverage,0.6174365311203576,0.6319485956510131
525,ensemble,0.6219190274182257,0.6038899279083961
525,hybrid,0.6051869286653763,0.5748096516969132
525,random,0.6626827581707287,0.7110248020718908
1101,coverage,0.6620948515691782,0.6264625458922211
1101,ensemble,0.7227200872726717,0.6888208351476239
1101,hybrid,0.6191263064093175,0.5668820874948066
1101,random,0.7308799492077347,0.6911463563241677
