round,strategy,seed,selected_total,selected_sample_ids,selected_unique_compounds,max_samples_per_compound,compound_hhi,selected_unique_condition_keys,selected_mean_true_error_after_reveal,selected_mean_ensemble_uncertainty,selected_mean_quantile_width,selected_mean_latent_distance,batch_mean_pairwise_latent_distance,batch_min_pairwise_latent_distance,condition_distribution,best_epoch,hit_max_epoch,best_epoch_ge_490,hybrid_prefilter_count,hybrid_prefilter_fraction,acquisition_seconds
3,ensemble,42,25,"[""0b9a59526d7d4ce5f872"", ""483022b02f8329c323ac"", ""e9a7d193dc3d83532c1f"", ""59b54ad3a60a52cc2b2c"", ""a1dc71bed9d8f372c9e5"", ""a738b1f204da6fcfd385"", ""302e458c5ed2285ca328"", ""4e417c41d918e49abba1"", ""741f33ecf2e66f9958fd"", ""fe212637596386c24049"", ""54d9921472c8d46b7b9a"", ""6d07662cb17b795ea5e2"", ""9c74e865c47b45a09229"", ""b0764b94416833704b53"", ""cbedf4ab0af735b39b3a"", ""8f5452ff0e84ab2e2057"", ""a19f98569910dc7fd6c4"", ""ff3b6b1069b7d66ad021"", ""08155ffdcb0d27576050"", ""2aa2754666d0f055cb00"", ""37c15d90032e66347ed6"", ""68ca46900cfea89e5164"", ""9c10e0827e86bb3c7681"", ""f7d57d8bb988f7016502"", ""5524670e4337370c2ef6""]",8,6,0.1584,25,1.874634128275663,1.102224523776411,1.9537283182144165,6.8303340275482425,12.4803058414768,0.0,"{""loading_solvent_counts"": {""DCM"": 11, ""PE"": 14}, ""pe_ea_top_counts"": {""50/1"": 18, ""20/1"": 4, ""10/1"": 3}, ""mass_mean"": 107.85, ""loading_volume_mean"": 276.0}","[151, 184, 212]",False,False,,,0.0016060000052675605
4,ensemble,42,25,"[""95d1d257dfea69f178f8"", ""486e498e45d084ced568"", ""76b4150b436d217e5b3e"", ""e009f41aa23d4c7b3fff"", ""d54c93a11164b4abac6e"", ""13bfaf03c35b4cff3bd5"", ""7c0c324643799c918828"", ""0007449b058916cdcad1"", ""6e800c2cd97dce7ae296"", ""b94677e12c4d6aa11d9b"", ""55200f8e501a16ffa0cf"", ""105457e008d11073c7b7"", ""13f4ada439a309a538b8"", ""c7e762106a9ec0d9ea75"", ""08ae0e5f727afabf1e71"", ""271f829efaeb0b6c03b9"", ""4e69d770ec2e35212ede"", ""aa65e86ee8638bded5d9"", ""ab66de7edad40236ffd5"", ""bb9d055d55ded1101079"", ""91b6bda771851a5c78ac"", ""c973d4c257be9ef08216"", ""5f81e2ff4fea8e839c4d"", ""6bebc41cc4f55da05d47"", ""9e971ba2075fa0b7d8fb""]",10,6,0.13279999999999997,25,1.3838933343468205,1.5694820305418933,0.35818687081336975,6.466863412368334,11.959492632668214,0.0,"{""loading_solvent_counts"": {""DCM"": 16, ""PE"": 9}, ""pe_ea_top_counts"": {""50/1"": 14, ""10/1"": 6, ""2/1"": 4, ""20/1"": 1}, ""mass_mean"": 129.9318, ""loading_volume_mean"": 300.0}","[410, 178, 410]",True,False,,,0.0014649999793618917
5,ensemble,42,25,"[""0fb4ba3b33f8740a6a8a"", ""19ac0f010c25e2c5360d"", ""6c387793968257d2f169"", ""812adebe27af25dc2242"", ""f159b69487cebc7dcf97"", ""ab49ee9538cdb7f47f70"", ""d15ae6c5a25f630d3055"", ""d9481b0f826e3bfbbb60"", ""e1b9d0166a4779c27067"", ""12aed585647de3f03908"", ""19e5d078bc0eb8a91e1e"", ""b6a2baaa0410b39ac474"", ""129036e0bccc4ff7e848"", ""a8313da6e9c9be0c1636"", ""2d178efe0181baca2bd5"", ""419f6eb4080dcb9d293b"", ""585d3167bdb0e8cd6b97"", ""b7e013953a302595b447"", ""b819ee3c169e34252d65"", ""51f4126a3aadb3239225"", ""53a9a2469f8d4ead8732"", ""b24f66ff77974f8ba6e1"", ""e6605c23fb1943a6b848"", ""0dccaa29989ef4956786"", ""351c17dfa8f46a8cb40a""]",8,12,0.2832,25,1.4872050406769706,1.2283786871391096,1.118403434753418,4.715900809241067,7.713756368351227,0.0,"{""loading_solvent_counts"": {""DCM"": 13, ""PE"": 12}, ""pe_ea_top_counts"": {""20/1"": 8, ""50/1"": 6, ""40/1"": 5, ""30/1"": 4, ""10/1"": 2}, ""mass_mean"": 113.01800000000001, ""loading_volume_mean"": 252.0}","[182, 174, 469]",True,False,,,0.0014583750162273645
6,ensemble,42,25,"[""b37608f8c4a8ee4b8696"", ""5e45395722fa0dcc1d00"", ""beda2205eedbe1688e1f"", ""c352863d9fa4a8645481"", ""1f40af3483bd97a7dfca"", ""8e330202a1983cbc02b5"", ""975d484a29fb5011f336"", ""60030aa5d07e476f04ec"", ""9bef8796fc48c4836e6b"", ""c060c367e4e5bf6955cb"", ""358461ff3742e78ea3b6"", ""73502a52708e4f9c2391"", ""1e775e7d8dcbf48fd6f8"", ""1e971da91b3a8229f0e0"", ""5cc67d02b8fad1c648d6"", ""d7bff2b52f60b5fad4bd"", ""fc47eff9bc6b7be6c207"", ""20a5a5008211ea15a65a"", ""93d0b949ca6dc0685979"", ""a31d24ee8162e1eca101"", ""0cf0d36290765378ae8d"", ""2d63ab3869184cde52bf"", ""c5a12771920c4410d921"", ""96710afeabc594baa359"", ""c76d0420b34df595c0c9""]",10,3,0.1072,23,1.2551226972460168,1.6776769316892632,0.5586320757865906,7.120102351744766,14.553493339084707,0.9325091844138786,"{""loading_solvent_counts"": {""DCM"": 19, ""PE"": 6}, ""pe_ea_top_counts"": {""50/1"": 12, ""10/1"": 8, ""5/1"": 5}, ""mass_mean"": 122.9752, ""loading_volume_mean"": 500.0}","[403, 139, 497]",True,True,,,0.001555625000037253
7,ensemble,42,25,"[""832eaa9c6b2f7a68f2a5"", ""a47a3987d45e7c542d38"", ""c6159dcb5802e62284d1"", ""1cc3b837c6561b1c0a23"", ""5d530b2f228ed39ff952"", ""a421784c91de559c18e0"", ""2dbfdf9c2d5defd09f7a"", ""6573d8f84faaf7ce4a78"", ""74ce463c8423fbd22dc4"", ""9aa141b690ed5878facd"", ""d83038f8278f7c0745ee"", ""e4202a81051e7245d311"", ""1934e3f2ee65da718096"", ""23dcf709250c2a40f363"", ""59bbda2fab97a5d45827"", ""2cfa393cb79664e100ce"", ""c6924324ddd95f249df6"", ""d1172a49fca1e196a59f"", ""52b9af4df1f1e7cd4d9b"", ""a3ae677aae8a8faf5786"", ""c82167c626a1495ef750"", ""b1801204c2c4a34a9278"", ""d9c8c8af50a10bf07765"", ""fe1a34b5975943e8f292"", ""050e2fab4b407ea058cb""]",7,6,0.17439999999999997,25,1.2771015711858578,1.4477235954903214,0.8784293532371521,6.36649557424013,14.852595702485354,0.8492090660533744,"{""loading_solvent_counts"": {""DCM"": 16, ""PE"": 9}, ""pe_ea_top_counts"": {""50/1"": 9, ""5/1"": 7, ""2/1"": 6, ""1/1"": 3}, ""mass_mean"": 108.6156, ""loading_volume_mean"": 348.0}","[315, 149, 351]",False,False,,,0.0016981669468805194
8,ensemble,42,25,"[""122fbec0df9ecf1c5d89"", ""24a9086a8e2c8015c232"", ""fc27fa779102c4aeb8ab"", ""3b2c663a28a9f32bd1d3"", ""606886b17304ec494aa0"", ""b6f1b33a5491968c645e"", ""30970941542856ce8eb1"", ""4ec77f604fa08f281ef7"", ""87d4aa727f2254c554ac"", ""13ba7659fc6b864608f8"", ""80f546c47198fa7c6dbf"", ""6e17f8e15aa8fdd6a9ea"", ""c5b88ffca991e883ab64"", ""f7f0c7d2b8250e0e304f"", ""e5c683a60b64d9cc299c"", ""e76b02e4aa682c4153d0"", ""ea9c116dcd66aca4039c"", ""660a7ad5a1b46e40ee6b"", ""815afa4c05f8c4e7ef9c"", ""8d48112406e3064efdbc"", ""38e6b8bf0f089fcadd80"", ""488727f2d41859d1ac45"", ""9ae9c8b491a04e429a11"", ""7954bf73f74c7fbcecb2"", ""e8f592c469b2f3c136d8""]",8,6,0.1648,25,1.0239351357525912,1.5107840347829815,0.5403698086738586,7.0198058153349265,15.47068762349473,0.8540006828620474,"{""loading_solvent_counts"": {""DCM"": 17, ""PE"": 8}, ""pe_ea_top_counts"": {""20/1"": 9, ""10/1"": 9, ""1/1"": 3, ""50/1"": 2, ""5/1"": 2}, ""mass_mean"": 113.98, ""loading_volume_mean"": 344.0}","[478, 100, 124]",True,False,,,0.0012810840271413326
1,hybrid,42,25,"[""70cba7a21b5a01fb8e73"", ""b7cf293311f83700cd9a"", ""d5234e966aa231be05e5"", ""35f2be5f5aa14265e8a4"", ""efd84dffe823b6298db6"", ""b514312eda7950cdcf1c"", ""0c5c35afb3a24375c153"", ""5e276c1730fc0a9deba7"", ""832eaa9c6b2f7a68f2a5"", ""1395836aef00d6a880b0"", ""d119d77f545c029deace"", ""fe1a34b5975943e8f292"", ""68c511d842fc030aa84b"", ""79cb1738d945317e5bfa"", ""855456da9ea892f7216b"", ""80f546c47198fa7c6dbf"", ""1e775e7d8dcbf48fd6f8"", ""c76d0420b34df595c0c9"", ""d1e922c04dbd0c9f6c06"", ""292e0342682192a69fce"", ""7c0c324643799c918828"", ""30970941542856ce8eb1"", ""a1dc71bed9d8f372c9e5"", ""8f5452ff0e84ab2e2057"", ""0054790b9c9f40026ebe""]",17,3,0.06880000000000001,25,1.538259150564386,2.154343037794855,2.6652462482452393,14.46645219743498,28.215308261449355,9.621529219610645,"{""loading_solvent_counts"": {""DCM"": 20, ""PE"": 5}, ""pe_ea_top_counts"": {""50/1"": 9, ""10/1"": 7, ""20/1"": 4, ""5/1"": 3, ""0/1"": 1, ""2/1"": 1}, ""mass_mean"": 113.03580000000002, ""loading_volume_mean"": 472.0}","[123, 500, 300]",True,True,844.0,0.25,0.025443208985961974
2,hybrid,42,25,"[""33fe75ab7a516644119f"", ""f90a5a5a54509c085ebd"", ""e9a7d193dc3d83532c1f"", ""434e465cfa7e0034f233"", ""9e6c69af6f5142faa049"", ""486e498e45d084ced568"", ""776ee2c1e85ebde75168"", ""66454b90cefcad2e4125"", ""ca467c94f14b2219503e"", ""18a189c89f59ac1d5a9f"", ""6998dee6f6e69401798a"", ""8e7636d7a60a6058305a"", ""e12edd0198c0d750ecd5"", ""5d450444eb031c873584"", ""51f4126a3aadb3239225"", ""9ddc2e8babb52ee8e772"", ""95d1d257dfea69f178f8"", ""8e330202a1983cbc02b5"", ""741f33ecf2e66f9958fd"", ""4e93e36ab850bab3d594"", ""3b2c663a28a9f32bd1d3"", ""c9e08e156472783dee4e"", ""d22eb7805d90b684e45f"", ""a0d6732883ffc7d063fb"", ""0296d31e8c2e55602a19""]",23,2,0.04639999999999998,24,1.053108318007388,0.5753030743504304,1.5836150646209717,8.793714835651308,16.777062820353503,7.1669961612012285,"{""loading_solvent_counts"": {""DCM"": 18, ""PE"": 7}, ""pe_ea_top_counts"": {""50/1"": 8, ""2/1"": 5, ""20/1"": 4, ""0/1"": 3, ""5/1"": 2, ""10/1"": 2, ""1/1"": 1}, ""mass_mean"": 115.54560000000001, ""loading_volume_mean"": 420.0}","[156, 322, 258]",False,False,838.0,0.25,0.0298902919748798
3,hybrid,42,25,"[""e4202a81051e7245d311"", ""5a7a5139767fda9f7e9a"", ""97318de99bab4460cf4e"", ""4466eabae9624380fbc6"", ""6f548d72f01fc85debdc"", ""129036e0bccc4ff7e848"", ""8db24ae10df4095ada47"", ""3f6b817d855e67b3b406"", ""e947f47c9e991c7add4c"", ""df6457ca86c98c073bf6"", ""3c1875eb669056c6c621"", ""b3d9bb5afa82b99f2a11"", ""f9a0fbbcf2f61d3843a5"", ""1c1d7ff3d6c495744916"", ""7bde1bbf34aba54ccfef"", ""3fe8b9db9fbe9d0dedc4"", ""e9e7a737df389d5fcc13"", ""bc62be727bf6ded3d86e"", ""a7e095123d7186e83bbb"", ""cb729a03dac0230812b1"", ""37c15d90032e66347ed6"", ""48679ae48dd485ffb7a6"", ""b37608f8c4a8ee4b8696"", ""19229d505f75d05a0bcb"", ""c9bef93a79964dc6ede1""]",19,5,0.08160000000000002,24,0.985701302881526,0.6296433483435248,1.616019606590271,7.702014789896197,17.374628275877093,6.280327480414601,"{""loading_solvent_counts"": {""DCM"": 21, ""PE"": 4}, ""pe_ea_top_counts"": {""0/1"": 6, ""10/1"": 6, ""50/1"": 5, ""1/1"": 4, ""2/1"": 2, ""20/1"": 1, ""5/1"": 1}, ""mass_mean"": 135.7924, ""loading_volume_mean"": 524.0}","[124, 212, 153]",False,False,832.0,0.25,0.019310791045427322
4,hybrid,42,25,"[""9a32b65bc21fdc5f7286"", ""1cc3b837c6561b1c0a23"", ""8ab554cd154e9749790b"", ""16cee53cbe16b60fb395"", ""f7f0c7d2b8250e0e304f"", ""3b54dfb5158b47f3c0f5"", ""034aaf7715b5ec8bd7ee"", ""29b39881584c4fec1c58"", ""a5446977630484ca5fe1"", ""74ce463c8423fbd22dc4"", ""44c8b389a6faf44f1f4c"", ""302e458c5ed2285ca328"", ""a7906197994af5c86745"", ""45a1b11ae63f2dab2e48"", ""baae4c016e087caeda81"", ""59192e4170140e48acdd"", ""cd7c523e3df961c83524"", ""cd33bc1895c4acb28189"", ""002ce3d7c637632f0ebe"", ""22f82413c75481d74e9b"", ""d2472f692763fd970d64"", ""5f81e2ff4fea8e839c4d"", ""cdf40bcb3f4392f8d7d1"", ""9f362bfe1dab6e9eac3d"", ""b7fffd840d208b29776c""]",22,2,0.049599999999999984,25,0.7670325399160967,0.26303478747090264,1.2663131952285767,7.133712763050443,15.135594628774392,6.055998597120997,"{""loading_solvent_counts"": {""DCM"": 17, ""PE"": 8}, ""pe_ea_top_counts"": {""5/1"": 7, ""50/1"": 6, ""2/1"": 4, ""20/1"": 4, ""1/1"": 3, ""0/1"": 1}, ""mass_mean"": 124.2588, ""loading_volume_mean"": 372.0}","[185, 445, 168]",True,False,825.0,0.25,0.022012832923792303
