outer_seed,strategy,aulc_raw,aulc_normalized,final_nrmse
42,coverage,135.19284525364154,0.6759642262682077,0.740653794499075
42,ensemble,137.7339534485944,0.688669767242972,0.8115241678428065
42,hybrid,136.7912945882668,0.683956472941334,0.6881163289067829
42,random,119.2314769157523,0.5961573845787614,0.5764844760209249
525,coverage,167.50141088328905,0.8375070544164452,0.8892572209814338
525,ensemble,161.65184065349078,0.8082592032674539,0.7989958362504078
525,hybrid,166.842004660956,0.83421002330478,0.811581146945487
525,random,177.4210477536548,0.887105238768274,0.9229830416407091
1101,coverage,163.57017526475045,0.8178508763237522,0.7853321959937554
1101,ensemble,181.90335300310846,0.9095167650155423,0.8821443942916438
1101,hybrid,153.08849959226146,0.7654424979613073,0.720167558120195
1101,random,176.58647781162875,0.8829323890581438,0.841689458344275
