outer_seed,strategy,round,reference_encoder,normalization_reference,fixed_mean_pairwise_distance,fixed_min_pairwise_distance,selected_unique_compounds,max_samples_per_compound,compound_hhi,selected_unique_condition_keys
525,ensemble,8,shared_round_0/member_0,fixed L0_train,21.097041370116482,0.910103395087704,10,3,0.1072,25
525,hybrid,1,shared_round_0/member_0,fixed L0_train,29.428070916260086,10.686267261814104,19,2,0.059199999999999996,25
525,hybrid,2,shared_round_0/member_0,fixed L0_train,19.542883271543474,5.88881201197241,20,3,0.05919999999999999,25
525,hybrid,3,shared_round_0/member_0,fixed L0_train,20.395868412974554,6.828733318765486,20,2,0.055999999999999994,25
525,hybrid,4,shared_round_0/member_0,fixed L0_train,16.34368350729056,5.497940758713535,24,2,0.0432,25
525,hybrid,5,shared_round_0/member_0,fixed L0_train,17.702985380926975,5.202415281787421,22,2,0.049599999999999984,25
525,hybrid,6,shared_round_0/member_0,fixed L0_train,18.434467541874497,5.383406176647139,25,1,0.04,25
525,hybrid,7,shared_round_0/member_0,fixed L0_train,14.838755213901926,5.1051125858233295,23,2,0.04639999999999998,25
525,hybrid,8,shared_round_0/member_0,fixed L0_train,15.797833239899507,4.990763062142682,21,2,0.052799999999999986,24
525,random,1,shared_round_0/member_0,fixed L0_train,14.406110435833977,3.2450695576336295,25,1,0.04,25
525,random,2,shared_round_0/member_0,fixed L0_train,15.371307537622206,4.368684268204759,24,2,0.0432,25
525,random,3,shared_round_0/member_0,fixed L0_train,16.18838977004505,4.091631515750735,23,2,0.04639999999999998,25
525,random,4,shared_round_0/member_0,fixed L0_train,12.475073355498592,5.008965467143979,22,2,0.049599999999999984,25
525,random,5,shared_round_0/member_0,fixed L0_train,16.134699816812297,4.669944137999949,23,2,0.04639999999999998,25
525,random,6,shared_round_0/member_0,fixed L0_train,13.553588025640108,4.461849314402205,23,2,0.04639999999999998,24
525,random,7,shared_round_0/member_0,fixed L0_train,12.773075814236496,2.380909628687849,24,2,0.0432,24
525,random,8,shared_round_0/member_0,fixed L0_train,15.775901654602622,4.7158586108658636,24,2,0.0432,25
1101,coverage,1,shared_round_0/member_0,fixed L0_train,27.459631802027143,11.202161445711301,18,3,0.06880000000000001,25
1101,coverage,2,shared_round_0/member_0,fixed L0_train,23.219385355088008,9.037989085509128,19,3,0.0656,25
1101,coverage,3,shared_round_0/member_0,fixed L0_train,19.589283481257503,7.874482947363188,22,2,0.049599999999999984,25
1101,coverage,4,shared_round_0/member_0,fixed L0_train,16.55828328732571,3.7114140059845346,24,2,0.0432,24
1101,coverage,5,shared_round_0/member_0,fixed L0_train,19.586380690799572,7.194150334358471,23,2,0.04639999999999998,25
1101,coverage,6,shared_round_0/member_0,fixed L0_train,15.252612916487415,4.214866581305028,20,2,0.055999999999999994,25
1101,coverage,7,shared_round_0/member_0,fixed L0_train,15.815462615863762,6.407242797781897,23,2,0.04639999999999998,24
1101,coverage,8,shared_round_0/member_0,fixed L0_train,14.663900297340952,6.192676558359864,23,2,0.04639999999999998,25
1101,ensemble,1,shared_round_0/member_0,fixed L0_train,18.415901917268087,0.0,6,6,0.19039999999999999,25
1101,ensemble,2,shared_round_0/member_0,fixed L0_train,19.555818285764364,0.890693384770882,6,9,0.21919999999999998,25
1101,ensemble,3,shared_round_0/member_0,fixed L0_train,20.673422245641433,0.9837213756146214,10,6,0.13279999999999997,25
1101,ensemble,4,shared_round_0/member_0,fixed L0_train,14.395285861746675,0.8748589263143052,6,8,0.23199999999999998,25
1101,ensemble,5,shared_round_0/member_0,fixed L0_train,15.666803278755161,0.0,8,5,0.136,25
1101,ensemble,6,shared_round_0/member_0,fixed L0_train,14.22378462851384,0.9896593164120912,10,3,0.1072,23
1101,ensemble,7,shared_round_0/member_0,fixed L0_train,13.636970200691257,0.9124658595299425,12,3,0.10080000000000001,25
1101,ensemble,8,shared_round_0/member_0,fixed L0_train,14.216822781969404,0.9104865710991239,9,7,0.1648,25
1101,hybrid,1,shared_round_0/member_0,fixed L0_train,26.567641448044565,11.37345617547017,19,3,0.0656,25
1101,hybrid,2,shared_round_0/member_0,fixed L0_train,22.500855666052463,9.426204794386042,22,2,0.049599999999999984,25
1101,hybrid,3,shared_round_0/member_0,fixed L0_train,19.02097829922254,7.723818180178899,25,1,0.04,25
1101,hybrid,4,shared_round_0/member_0,fixed L0_train,16.002736090114,2.3189027713605874,23,2,0.04639999999999998,25
1101,hybrid,5,shared_round_0/member_0,fixed L0_train,17.73484774176195,4.939399717081105,23,2,0.04639999999999998,25
1101,hybrid,6,shared_round_0/member_0,fixed L0_train,15.346404132710262,2.787355488704115,20,2,0.055999999999999994,24
1101,hybrid,7,shared_round_0/member_0,fixed L0_train,17.320826074689965,5.258064765713673,24,2,0.0432,24
1101,hybrid,8,shared_round_0/member_0,fixed L0_train,16.954596974281632,5.860016902437032,24,2,0.0432,25
1101,random,1,shared_round_0/member_0,fixed L0_train,13.613258560173742,3.879267895674376,24,2,0.0432,25
1101,random,2,shared_round_0/member_0,fixed L0_train,14.497886902076953,5.378638073872656,24,2,0.0432,24
1101,random,3,shared_round_0/member_0,fixed L0_train,14.707709921722465,5.0159310405125215,22,2,0.049599999999999984,25
1101,random,4,shared_round_0/member_0,fixed L0_train,13.576534145439037,1.3380195165971696,23,2,0.04639999999999998,24
1101,random,5,shared_round_0/member_0,fixed L0_train,17.476291014171043,3.657109858405036,22,2,0.049599999999999984,25
1101,random,6,shared_round_0/member_0,fixed L0_train,14.611265613441859,4.801389533179907,25,1,0.04,25
1101,random,7,shared_round_0/member_0,fixed L0_train,13.88139054595718,1.00846278301991,23,2,0.04639999999999998,25
1101,random,8,shared_round_0/member_0,fixed L0_train,14.431510864346352,4.043299828203095,24,2,0.0432,25
