outer_seed,strategy,round,query_rank,sample_id,canonical_smiles
42,coverage,1,1,70cba7a21b5a01fb8e73,c1ccc(CNCc2ccccc2)cc1
42,coverage,1,2,b7cf293311f83700cd9a,OCc1ccc2ccccc2c1
42,coverage,1,3,d5234e966aa231be05e5,c1ccc(CNCc2ccccc2)cc1
42,coverage,1,4,35f2be5f5aa14265e8a4,c1ccc(-c2ccccn2)cc1
42,coverage,1,5,efd84dffe823b6298db6,C/C(=N\O)c1ccccc1
42,coverage,1,6,b514312eda7950cdcf1c,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,coverage,1,7,0c5c35afb3a24375c153,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,coverage,1,8,5e276c1730fc0a9deba7,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,coverage,1,9,2928443b881ac6713786,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
42,coverage,1,10,f90a5a5a54509c085ebd,O=C(O)/C=C/c1ccccc1
42,coverage,1,11,832eaa9c6b2f7a68f2a5,COc1ccc(OC)cc1
42,coverage,1,12,1395836aef00d6a880b0,N#Cc1ccc(C(=O)c2ccccc2)cc1
42,coverage,1,13,d119d77f545c029deace,c1ccc(-c2ccccn2)cc1
42,coverage,1,14,fe1a34b5975943e8f292,COc1ccc(C=O)c(O)c1
42,coverage,1,15,68c511d842fc030aa84b,C=CC(=O)OCCCCCCCCCCCC
42,coverage,1,16,79cb1738d945317e5bfa,C/C(=N\O)c1ccccc1
42,coverage,1,17,855456da9ea892f7216b,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,coverage,1,18,80f546c47198fa7c6dbf,Oc1ccc(OC(F)(F)F)cc1
42,coverage,1,19,c76d0420b34df595c0c9,CCOC(=O)c1cccnc1
42,coverage,1,20,d1e922c04dbd0c9f6c06,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
42,coverage,1,21,292e0342682192a69fce,c1ccc(-c2ccccn2)cc1
42,coverage,1,22,7c0c324643799c918828,OCc1ccc2ccccc2c1
42,coverage,1,23,30970941542856ce8eb1,CC(C)=CCC/C(C)=C/C=O
