strategy,comparison,mean_paired_difference,standard_deviation,paired_ci_low,paired_ci_high,win_count,seeds,differences_by_seed
coverage,coverage-random,-0.011624285132257994,0.07955923314339762,-0.20927632785527506,0.18602775759075907,2,3,"{""42"": 0.0798068416894463, ""525"": -0.04959818435182872, ""1101"": -0.06508151273439156}"
ensemble,ensemble-random,0.013416907706929715,0.08643473569173855,-0.20131620869835262,0.22815002411221205,1,3,"{""42"": 0.09251238266421058, ""525"": -0.07884603550082003, ""1101"": 0.0265843759573986}"
hybrid,hybrid-random,-0.027528672732585968,0.1049689829876457,-0.28830712785759693,0.233249782392425,2,3,"{""42"": 0.08779908836257255, ""525"": -0.05289521546349396, ""1101"": -0.1174898910968365}"
