epoch,train_loss,normalized_valid_score,legacy_valid_score,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate,V1_quantile_crossing_rate,V2_quantile_crossing_rate
1,10583.009765625,9.736753431782933,6766.895331715044,50.650081634521484,56.754642486572266,-3.9165727702018733,23.13384246826172,0.0,7.338315963745117,75.88160705566406,84.21170806884766,-4.327093651629436,37.95402145385742,0.0,0.5720465779304504,0.0,0.0,0.0
2,10461.7421875,9.72864836082993,6761.376649500729,50.63919448852539,56.74626541137695,-3.9151216590789844,23.37466049194336,0.0,6.521678924560547,75.82579803466797,84.1574478149414,-4.320230766848213,37.923126220703125,0.0,0.6440256237983704,0.0,0.0,0.0
3,10336.416015625,9.719499186575103,6755.119083316429,50.62245559692383,56.73307418823242,-3.9128368745461968,23.607219696044922,0.0,5.727479457855225,75.76692962646484,84.10086059570312,-4.3130783638963015,37.88713073730469,0.0,0.7313159704208374,0.0,0.0,0.0
4,10216.72265625,9.710269431519357,6748.7641989386175,50.59926223754883,56.71412658691406,-3.9095557098413742,23.82273292541504,0.0,4.984583377838135,75.71122741699219,84.05084228515625,-4.30676008626859,37.847930908203125,0.0,0.8310319781303406,0.0,0.0,0.0
5,10103.2734375,9.702022346327642,6743.050832901645,50.57453918457031,56.6925048828125,-3.905813454312259,24.004531860351562,0.0,4.353831768035889,75.66954040527344,84.01203155517578,-4.301860186850072,37.80862808227539,0.0,0.9271509647369385,0.0,0.0,0.0
6,9995.5078125,9.694364094564662,6737.725568713184,50.549068450927734,56.669769287109375,-3.901879342601082,24.1534423828125,0.0,3.835543394088745,75.64192962646484,83.97931671142578,-4.297732335886723,37.766780853271484,0.0,1.0200116634368896,0.0,0.0,0.0
7,9893.6474609375,9.684543116633627,6730.977225921757,50.52882385253906,56.651405334472656,-3.8987025858185422,24.2618408203125,0.0,3.4610724449157715,75.60348510742188,83.92372131347656,-4.29071973630372,37.71478271484375,0.0,1.1364058256149292,0.0,0.0,0.0
8,9797.0517578125,9.668276547771079,6719.857912665582,50.506927490234375,56.62873840332031,-3.894783843801508,24.34415054321289,0.0,3.171142578125,75.53076934814453,83.82176208496094,-4.277872954340572,37.648719787597656,0.0,1.308505654335022,0.0,0.0,0.0
9,9704.552734375,9.643183735217246,6702.7031715268095,50.4734001159668,56.593475341796875,-3.8886894950790483,24.40467071533203,0.0,2.9400384426116943,75.41619110107422,83.66458892822266,-4.2580986024553615,37.56380081176758,0.0,1.5344105958938599,0.0,0.0,0.0
10,9614.3017578125,9.60652231006862,6677.5931265648105,50.41883087158203,56.53569793701172,-3.878712443622372,24.447978973388672,0.0,2.744455575942993,75.25151062011719,83.44229125976562,-4.230193745690238,37.45092010498047,0.0,1.8247109651565552,0.0,0.0,0.0
