selection_order,pool_position,selected_from_center,largest_cluster_score,nearest_center_sq_distance_before_selection
0,1907,7,795273.2598986045,66053.04709100345
1,2895,202,739178.5624735322,110138.35339806788
2,2789,113,647085.6255791011,67900.31713255275
3,2826,332,491814.2946694301,69579.77740540807
4,2856,202,435671.9100615413,43517.76120020522
5,1711,4,426651.6687144749,125389.87280739495
6,379,7,421428.6755267762,28580.82935672423
7,1834,145,415343.0405796348,88236.68702199467
8,262,20,413394.9486034058,40101.35260084717
9,1900,8,399795.88018030557,53900.224172012095
10,855,263,396319.2783062967,94867.68042369874
11,1547,251,379424.9826272564,103683.03237202915
12,11,57,377240.5574785784,39179.270135130966
13,2734,156,371416.0917776432,79562.66373597388
14,2896,205,361581.44658189034,94659.9974442748
15,1846,347,469829.94713927153,81950.40351838048
16,1360,150,358947.3812264343,92564.69230635173
17,822,86,350202.5003020696,51143.81297467474
18,2808,7,335686.2093989957,24594.207114267825
19,160,0,327961.2193997858,39587.71561725091
20,1833,145,327106.35355764005,48447.49372317176
21,1569,347,305929.3614684997,71075.62367206241
22,579,8,291995.4318435446,27738.608599329324
23,2569,36,278486.7061684802,26066.305667187633
24,1411,316,270065.93870634364,36857.22145721794
25,98,7,261903.9528330526,18267.174493405473
26,1086,120,255911.42804560595,30153.186489489322
27,1070,117,254214.3948686564,127107.3984609638
28,705,68,245263.23714999543,28712.535266732782
29,1436,176,243792.33885443019,35499.48922522327
30,2376,267,240749.29895807905,26838.764456761528
31,2584,345,239195.72331034375,55068.12804376031
32,2608,339,236542.43590763863,41064.42763278753
33,1356,156,228157.72217129526,39600.887721281135
34,2636,180,209152.6706774286,37974.89552561742
35,1926,209,208206.84230167395,89490.47535577463
36,1027,335,203393.3416480192,39919.32648275295
37,2602,36,200288.26370276883,19994.25329216256
38,2092,145,181764.54336418436,34495.271833990875
39,851,343,176490.85544378584,49009.508715569216
40,1692,187,164785.5736054295,82392.84202400217
41,2312,347,163778.1149649336,56768.77668833762
42,985,106,163154.4732026524,64076.772622923774
43,1792,267,152099.18928739856,14938.818238556843
44,1353,156,148956.04861971654,29475.380555214535
45,2420,276,145594.6946337533,17877.594088086662
46,817,115,144921.8733684975,23870.590109846427
47,2733,370,144542.99755439808,37285.94489023114
48,1307,202,141454.2429601205,36164.48017007377
49,194,36,140305.6530851587,15302.658090314333
50,1629,155,139415.85652923753,10168.914248641506
51,2881,318,138063.24920533365,46021.200956667075
52,1676,10,135704.54420422317,15416.095777297436
53,2702,299,134499.4713553687,16822.16330963326
54,2775,313,132183.84269313523,16539.20645224357
55,815,266,129183.89640567395,16358.77380860629
56,2872,335,123554.94224737404,27521.744140425
57,76,7,123311.72003615015,15997.4866677651
58,2891,191,122022.10955047717,25764.129073509306
59,907,230,119895.70157840344,26412.816085199018
60,2996,332,109695.6267499188,38082.372160455794
61,1350,155,108909.16268493726,6787.500220626718
62,1406,357,107332.16805859249,33855.72820148179
63,2851,267,107282.97143352634,11338.38819301076
64,2193,182,106611.28074320871,18447.062606158797
65,1542,157,105756.51516540095,26334.208229194366
66,2482,10,104872.43132753509,8934.986519086218
67,846,385,104289.99255957518,21692.716240127862
68,1665,361,103833.2795802753,22830.80213938991
69,691,86,102947.52304253075,34316.1037990707
70,1118,23,102764.53952602108,22556.72647167283
71,1566,155,102121.66246431055,6303.129875722148
72,511,49,99086.85397236643,9588.780284936758
73,2993,112,98106.59478957449,7971.541316343253
74,1612,96,97580.58276391945,21921.935667320155
75,84,190,97134.01114266562,8983.424492575454
76,1634,179,96451.41175867,96451.41136698303
77,1552,165,96118.0714780752,29811.616485927658
78,1227,130,95825.99312678709,31215.98030285949
79,2802,155,95818.5325885884,5285.727705580948
80,2308,334,95601.3206386739,31867.241388343915
81,2573,356,94348.75537982341,24308.28999102021
82,1747,8,94266.55293015005,15841.792173899565
83,1921,260,94257.02993578334,11512.73132835948
84,2914,337,90989.16803828167,26895.3809877788
85,866,350,90115.04416034318,45057.60846286954
86,128,345,90004.79439978539,18222.566085679064
