column,protocol,seed,planned_budget,actual_budget,portfolio_planned_budget,portfolio_actual_budget,train_rows,validation_rows,joint_train_rows,purged_donor_rows,test_rows,test_labels_used_for_fit_or_selection
25g,compound,1362771960,100,98,300,295,90,8,241,32,107,0
25g,compound,1362771960,30,32,90,88,24,8,59,7,107,0
25g,compound,1362771960,50,52,150,149,44,8,106,21,107,0
25g,compound,1362771960,70,70,210,211,62,8,157,32,107,0
25g,compound,1425370602,100,99,300,295,91,8,245,28,101,0
25g,compound,1425370602,30,33,90,93,25,8,64,7,101,0
25g,compound,1425370602,50,47,150,151,39,8,115,14,101,0
25g,compound,1425370602,70,72,210,207,64,8,171,14,101,0
25g,compound,2767143051,100,102,300,299,94,8,224,53,87,0
25g,compound,2767143051,30,30,90,88,22,8,60,6,87,0
25g,compound,2767143051,50,48,150,145,40,8,103,20,87,0
25g,compound,2767143051,70,69,210,211,61,8,163,26,87,0
25g,compound,536279090,100,98,300,295,91,7,267,7,106,0
25g,compound,536279090,30,33,90,92,26,7,71,0,106,0
25g,compound,536279090,50,48,150,153,41,7,125,7,106,0
25g,compound,536279090,70,71,210,210,64,7,182,7,106,0
25g,compound,769539383,100,98,300,290,90,8,239,29,111,0
25g,compound,769539383,30,30,90,89,22,8,63,4,111,0
25g,compound,769539383,50,52,150,152,44,8,126,4,111,0
25g,compound,769539383,70,70,210,211,62,8,178,11,111,0
25g,row,1362771960,100,100,300,300,92,8,276,0,98,0
25g,row,1362771960,30,30,90,90,22,8,66,0,98,0
25g,row,1362771960,50,50,150,150,42,8,126,0,98,0
25g,row,1362771960,70,70,210,210,62,8,186,0,98,0
25g,row,1425370602,100,100,300,300,92,8,276,0,98,0
25g,row,1425370602,30,30,90,90,22,8,66,0,98,0
25g,row,1425370602,50,50,150,150,42,8,126,0,98,0
25g,row,1425370602,70,70,210,210,62,8,186,0,98,0
25g,row,2767143051,100,100,300,300,92,8,276,0,98,0
25g,row,2767143051,30,30,90,90,22,8,66,0,98,0
25g,row,2767143051,50,50,150,150,42,8,126,0,98,0
25g,row,2767143051,70,70,210,210,62,8,186,0,98,0
25g,row,536279090,100,100,300,300,92,8,276,0,98,0
25g,row,536279090,30,30,90,90,22,8,66,0,98,0
25g,row,536279090,50,50,150,150,42,8,126,0,98,0
25g,row,536279090,70,70,210,210,62,8,186,0,98,0
25g,row,769539383,100,100,300,300,92,8,276,0,98,0
25g,row,769539383,30,30,90,90,22,8,66,0,98,0
25g,row,769539383,50,50,150,150,42,8,126,0,98,0
25g,row,769539383,70,70,210,210,62,8,186,0,98,0
40g,compound,1362771960,100,100,300,295,93,7,255,18,109,0
40g,compound,1362771960,30,28,90,88,21,7,61,5,109,0
40g,compound,1362771960,50,49,150,149,42,7,116,11,109,0
40g,compound,1362771960,70,72,210,211,65,7,171,18,109,0
40g,compound,1425370602,100,99,300,295,92,7,245,28,100,0
40g,compound,1425370602,30,29,90,93,22,7,57,14,100,0
40g,compound,1425370602,50,52,150,151,45,7,115,14,100,0
40g,compound,1425370602,70,72,210,207,65,7,171,14,100,0
40g,compound,2767143051,100,99,300,299,92,7,264,13,99,0
40g,compound,2767143051,30,31,90,88,24,7,59,7,99,0
40g,compound,2767143051,50,50,150,145,43,7,116,7,99,0
40g,compound,2767143051,70,71,210,211,64,7,182,7,99,0
40g,compound,536279090,100,100,300,295,93,7,260,14,105,0
40g,compound,536279090,30,31,90,92,24,7,64,7,105,0
40g,compound,536279090,50,52,150,153,45,7,125,7,105,0
40g,compound,536279090,70,72,210,210,65,7,175,14,105,0
40g,compound,769539383,100,93,300,290,86,7,250,18,96,0
40g,compound,769539383,30,28,90,89,21,7,67,0,96,0
40g,compound,769539383,50,49,150,152,42,7,124,6,96,0
40g,compound,769539383,70,69,210,211,62,7,183,6,96,0
40g,row,1362771960,100,100,300,300,92,8,276,0,106,0
40g,row,1362771960,30,30,90,90,22,8,66,0,106,0
40g,row,1362771960,50,50,150,150,42,8,126,0,106,0
40g,row,1362771960,70,70,210,210,62,8,186,0,106,0
40g,row,1425370602,100,100,300,300,92,8,276,0,106,0
40g,row,1425370602,30,30,90,90,22,8,66,0,106,0
40g,row,1425370602,50,50,150,150,42,8,126,0,106,0
40g,row,1425370602,70,70,210,210,62,8,186,0,106,0
40g,row,2767143051,100,100,300,300,92,8,276,0,106,0
40g,row,2767143051,30,30,90,90,22,8,66,0,106,0
40g,row,2767143051,50,50,150,150,42,8,126,0,106,0
40g,row,2767143051,70,70,210,210,62,8,186,0,106,0
40g,row,536279090,100,100,300,300,92,8,276,0,106,0
40g,row,536279090,30,30,90,90,22,8,66,0,106,0
40g,row,536279090,50,50,150,150,42,8,126,0,106,0
40g,row,536279090,70,70,210,210,62,8,186,0,106,0
40g,row,769539383,100,100,300,300,92,8,276,0,106,0
40g,row,769539383,30,30,90,90,22,8,66,0,106,0
40g,row,769539383,50,50,150,150,42,8,126,0,106,0
40g,row,769539383,70,70,210,210,62,8,186,0,106,0
8g,compound,1362771960,100,97,300,295,90,7,273,0,115,0
8g,compound,1362771960,30,28,90,88,21,7,66,0,115,0
8g,compound,1362771960,50,48,150,149,41,7,127,0,115,0
8g,compound,1362771960,70,69,210,211,62,7,189,0,115,0
8g,compound,1425370602,100,97,300,295,90,7,260,13,117,0
8g,compound,1425370602,30,31,90,93,24,7,71,0,117,0
8g,compound,1425370602,50,52,150,151,45,7,129,0,117,0
8g,compound,1425370602,70,63,210,207,56,7,172,13,117,0
8g,compound,2767143051,100,98,300,299,91,7,253,24,109,0
8g,compound,2767143051,30,27,90,88,20,7,55,11,109,0
8g,compound,2767143051,50,47,150,145,40,7,112,11,109,0
8g,compound,2767143051,70,71,210,211,64,7,171,18,109,0
8g,compound,536279090,100,97,300,295,90,7,263,11,121,0
8g,compound,536279090,30,28,90,92,21,7,71,0,121,0
8g,compound,536279090,50,53,150,153,46,7,128,4,121,0
8g,compound,536279090,70,67,210,210,60,7,185,4,121,0
8g,compound,769539383,100,99,300,290,92,7,241,27,114,0
8g,compound,769539383,30,31,90,89,24,7,63,4,114,0
8g,compound,769539383,50,51,150,152,44,7,117,13,114,0
8g,compound,769539383,70,72,210,211,65,7,176,13,114,0
8g,row,1362771960,100,100,300,300,92,8,276,0,115,0
8g,row,1362771960,30,30,90,90,22,8,66,0,115,0
8g,row,1362771960,50,50,150,150,42,8,126,0,115,0
8g,row,1362771960,70,70,210,210,62,8,186,0,115,0
8g,row,1425370602,100,100,300,300,92,8,276,0,115,0
8g,row,1425370602,30,30,90,90,22,8,66,0,115,0
8g,row,1425370602,50,50,150,150,42,8,126,0,115,0
8g,row,1425370602,70,70,210,210,62,8,186,0,115,0
8g,row,2767143051,100,100,300,300,92,8,276,0,115,0
8g,row,2767143051,30,30,90,90,22,8,66,0,115,0
8g,row,2767143051,50,50,150,150,42,8,126,0,115,0
8g,row,2767143051,70,70,210,210,62,8,186,0,115,0
8g,row,536279090,100,100,300,300,92,8,276,0,115,0
8g,row,536279090,30,30,90,90,22,8,66,0,115,0
8g,row,536279090,50,50,150,150,42,8,126,0,115,0
8g,row,536279090,70,70,210,210,62,8,186,0,115,0
8g,row,769539383,100,100,300,300,92,8,276,0,115,0
8g,row,769539383,30,30,90,90,22,8,66,0,115,0
8g,row,769539383,50,50,150,150,42,8,126,0,115,0
8g,row,769539383,70,70,210,210,62,8,186,0,115,0
