column,protocol,method,reference,mean_delta,median_delta,std_delta,min_delta,max_delta,wins,seeds,relative_mean_gain,mean_paired_relative_gain,stable_material
25g,compound,monotone_spline,scale_only,0.07265106006217881,-0.11318094118690847,0.385015258788632,-0.13620085423862505,0.7563011712561221,4,5,-0.04519691459189643,-0.026521916429285603,False
25g,compound,monotone_spline,affine,0.0047721353783121145,-0.0007803700249375822,0.013200170361564567,-0.005600660957594039,0.027637431427175674,3,5,-0.0028485037799508514,-0.0011785451470877957,False
25g,compound,monotone_spline,target_head_only,-1.369925810369408,-1.5153712770167442,0.5408942867722408,-1.8516144776792498,-0.5851583613262785,5,5,0.44915439328663614,0.45299600163669645,True
25g,compound,monotone_spline,linear_policy,0.1186763915254071,-0.005600675150203682,0.36034196176661176,-0.1295227948977471,0.7563011681912528,3,5,-0.0760059740416349,-0.06113502200908268,False
25g,compound,monotone_spline,local_identity_shrinkage,0.15630620099552983,0.006086555277499128,0.32342831570302494,-0.0007803480153651954,0.734209301984013,1,5,-0.10257800440824752,-0.08339620614280613,False
25g,compound,nonlinear_policy,scale_only,-0.052611472124369896,-0.018605458135712682,0.061270813132591605,-0.12505861738398183,3.0648692472823313e-09,4,5,0.032730096575658604,0.03946458250494923,False
25g,compound,nonlinear_policy,affine,-0.12049039680823659,-0.0007803700249375822,0.34461713039584463,-0.7286637367640771,0.12897970136203551,3,5,0.07192112619349758,0.041233036722518816,False
25g,compound,nonlinear_policy,target_head_only,-1.4951883425559567,-1.5153712770167442,0.30587939126105956,-1.8516144776792498,-1.0688422640269954,5,5,0.49022392874609694,0.4924922533481517,True
25g,compound,nonlinear_policy,linear_policy,-0.006586140661141604,0.0,0.014341642120075689,-0.03151131119907702,0.003715570682810476,2,5,0.004218075976957184,0.004800367759715322,False
25g,compound,nonlinear_policy,local_identity_shrinkage,0.03104366880898113,0.003715570682810254,0.07758096912668247,-0.022091866207239796,0.1683909137927564,2,5,-0.020372816789443384,-0.019872604864486186,False
25g,compound,linear_policy,scale_only,-0.04602533146322829,-0.02232102881852316,0.05068476412482844,-0.10758026603670479,3.0648692472823313e-09,4,5,0.028632795907270997,0.03501540466641095,False
25g,compound,linear_policy,affine,-0.11390425614709498,1.4192609643082221e-08,0.3476758006537057,-0.7286637367640771,0.12841150751571817,2,5,0.06798983651261149,0.0363521419428288,False
25g,compound,linear_policy,target_head_only,-1.4886022018948153,-1.4838599658176672,0.3088456181155072,-1.8553300483620603,-1.0631391073912368,5,5,0.4880645461062752,0.4900796228898517,True
25g,compound,linear_policy,local_identity_shrinkage,0.03762980947012273,0.01168723042770281,0.07525537610732484,-0.022091866207239796,0.16782271994643905,2,5,-0.024695058398982873,-0.024766249439216494,False
25g,compound,shared_column_affine,scale_only,-0.06323679762346561,-0.11928322176235251,0.10015552897777623,-0.14490477451455686,0.09460330634672087,4,5,0.03934021250077682,0.046218354956457694,False
25g,compound,shared_column_affine,affine,-0.13111572230733232,-0.009815207657960734,0.28120689326041404,-0.6340604334822255,-6.853864809031052e-09,5,5,0.07826341899284549,0.05214971258430935,True
25g,compound,shared_column_affine,target_head_only,-1.5058136680550525,-1.514590929001379,0.34821554514882974,-1.85533004836206,-1.0748420631168845,5,5,0.49370762953623865,0.4953008533268002,True
25g,compound,shared_column_affine,linear_policy,-0.01721146616023732,-0.011702955725647723,0.08315135027997667,-0.1382267151736789,0.09460330328185163,3,5,0.011023036961091052,0.011734997611683475,False
25g,compound,shared_column_affine,local_identity_shrinkage,0.02041834330988541,0.0,0.03181701013144508,-1.5725297944912953e-05,0.07251143707461183,1,5,-0.01339980689640353,-0.011229103570418685,False
25g,compound,local_identity_shrinkage,scale_only,-0.08365514093335102,-0.1192674964644076,0.08080178202642875,-0.174500779287317,0.022091869272109044,4,5,0.05204265783185786,0.05718828804881446,True
25g,compound,local_identity_shrinkage,affine,-0.15153406561721772,-0.011687216235093167,0.3106930872011629,-0.7065718705568373,-6.853864809031052e-09,5,5,0.09045119731172342,0.061233704800955545,True
25g,compound,local_identity_shrinkage,target_head_only,-1.5262320113649381,-1.514590929001379,0.34320348190798317,-1.8670450783320198,-1.0748263378189395,5,5,0.5004021443280995,0.501487183861687,True
25g,compound,local_identity_shrinkage,linear_policy,-0.03762980947012273,-0.01168723042770281,0.07525537610732484,-0.16782271994643905,0.022091866207239796,3,5,0.02409990972101226,0.022716714789994725,False
25g,row,monotone_spline,scale_only,0.03382229915022865,-0.07910250663265161,0.27782224776879866,-0.12480684996589853,0.5291862181338889,4,5,-0.016417634786738283,-0.006006995355045163,False
25g,row,monotone_spline,affine,0.005659530106117616,-0.00470502242483084,0.022540668167465888,-0.006061633090699292,0.04580493272890074,4,5,-0.002710135793534816,-0.001263025172669038,False
25g,row,monotone_spline,target_head_only,-1.2821837247715877,-1.3645792264224195,0.21403507479133038,-1.4810714955617583,-0.9606306853886077,5,5,0.37977957099857196,0.3863567317752542,True
25g,row,monotone_spline,linear_policy,0.08486449055620202,-0.0058989325215683674,0.24965113225922206,-0.09213124882333967,0.5260679110261499,3,5,-0.04224051784339471,-0.033042670235520155,False
25g,row,monotone_spline,local_identity_shrinkage,0.07303972473658171,0.02245732879797946,0.18133847983216794,-0.08314260070530688,0.38548138877111926,2,5,-0.036142129085268,-0.029678339390711968,False
25g,row,nonlinear_policy,scale_only,-0.054075019344029675,-0.07043933177834316,0.05510095577854674,-0.12462626906340413,0.0037930117995030876,4,5,0.026248479286780993,0.028727924108743225,False
25g,row,nonlinear_policy,affine,-0.0822377883881407,-0.006061633090699292,0.2262279298710983,-0.47958827360548506,0.09128954901228825,4,5,0.039380579255321346,0.02580021924835659,False
25g,row,nonlinear_policy,target_head_only,-1.3700810432658461,-1.364398645519925,0.1251201855545033,-1.4860238917229935,-1.1808733162840077,5,5,0.40581453405788004,0.4080806380784344,True
25g,row,nonlinear_policy,linear_policy,-0.0030328279380563037,-0.004058863781057687,0.0031773521310495927,-0.00606162898191398,0.0006747046917641164,3,5,0.0015095621477698362,0.0016580923588464813,False
25g,row,nonlinear_policy,local_identity_shrinkage,-0.014857593757676613,0.008988648118032794,0.07249571590697276,-0.13991181756326654,0.0466447167035251,2,5,0.007351959134882569,0.0026055318750811823,False
25g,row,linear_policy,scale_only,-0.05104219140597337,-0.06638046799728547,0.05211436100556729,-0.11890791744433016,0.0031183071077389712,4,5,0.024776318531627588,0.027154317580214943,False
