column,protocol,seed,planned_budget,actual_budget,portfolio_planned_budget,portfolio_actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
25g,compound,1362771960,100,98,300,295,scale_only,0.7869804552851881,16.79466594853359,13.033490769118075,0.8406533548486296,24.052244787004227,17.746228467080318,1.8413572693162534,True,1.8137530673771884
25g,compound,1362771960,100,98,300,295,affine,0.7664772741650998,17.584345960727298,11.36004394384387,0.8043108764469673,26.654313228406316,16.12423315560887,1.9658264489566344,True,1.9447894904489225
25g,compound,1362771960,100,98,300,295,target_head_only,0.49971084653238684,25.737845381966146,14.123777084112147,0.3300034566276657,49.31970088474939,30.13796591588785,3.168644040841455,True,3.1670884338645964
25g,compound,1362771960,100,98,300,295,monotone_spline,0.7667835361048977,17.57281136003942,11.35852887336862,0.8017753321932295,26.82643745669674,16.009660140322904,1.969521872893113,True,1.9494108514229147
25g,compound,1362771960,100,98,300,295,nonlinear_policy,0.786980454082095,16.794665995960102,13.03349083999094,0.8406533534688787,24.052244891136027,17.74622870654055,1.8413572754311072,True,1.8137530736252474
25g,compound,1362771960,100,98,300,295,linear_policy,0.786980454082095,16.794665995960102,13.03349083999094,0.8406533534688787,24.052244891136027,17.74622870654055,1.8413572754311072,True,1.8137530736252474
25g,compound,1362771960,100,98,300,295,shared_column_affine,0.7648596833649557,17.645143444753295,11.375760825470218,0.8247854709644901,25.2214012120953,15.60836409617421,1.9333696616371667,True,1.9040819701532763
25g,compound,1362771960,100,98,300,295,local_identity_shrinkage,0.7912683985945643,16.624773859315116,11.680611447467685,0.8306424479893258,24.796274573164688,15.53432566545085,1.8480222276374212,True,1.8261129235602396
25g,compound,1362771960,30,32,90,88,scale_only,0.7757826659903622,17.230434775656178,10.207481303018362,0.7990432461414191,27.010676178502862,14.770513169656896,1.9499353217277362,True,1.9334155685977852
25g,compound,1362771960,30,32,90,88,affine,0.8090238681346862,15.901979537010277,9.580745123833843,0.8523809963696124,23.15022880942182,14.089702230374474,1.7530484557904606,True,1.7290542274844047
25g,compound,1362771960,30,32,90,88,target_head_only,0.4306292050905215,27.457389048777635,15.48265055140187,0.3074036263901818,50.14461019241759,30.573906364485985,3.306909630536195,True,3.301856989898652
25g,compound,1362771960,30,32,90,88,monotone_spline,0.8089663231204197,15.90437515238827,9.585093499240173,0.8532209839015619,23.08426966787525,14.02591913098799,1.751540128221328,True,1.72715482648682
25g,compound,1362771960,30,32,90,88,nonlinear_policy,0.7757826619881956,17.230434929433475,10.207481294823442,0.7990432445375578,27.01067628629067,14.770513172232814,1.9499353355589024,True,1.933415581707989
25g,compound,1362771960,30,32,90,88,linear_policy,0.7757826619881956,17.230434929433475,10.207481294823442,0.7990432445375578,27.01067628629067,14.770513172232814,1.9499353355589024,True,1.933415581707989
25g,compound,1362771960,30,32,90,88,shared_column_affine,0.8090238652854764,15.901979655632624,9.580745142428613,0.8523809953772837,23.150228887232377,14.089702232223818,1.7530484664435304,True,1.7290542374315372
25g,compound,1362771960,30,32,90,88,local_identity_shrinkage,0.8090238652854764,15.901979655632624,9.580745142428613,0.8523809953772837,23.150228887232377,14.089702232223818,1.7530484664435304,True,1.7290542374315372
25g,compound,1362771960,50,52,150,149,scale_only,0.7559995391065522,17.974506162734205,14.58646330883113,0.8399531473754607,24.105032533496423,17.865044817138436,1.9302495401471136,True,1.8902610309721606
25g,compound,1362771960,50,52,150,149,affine,0.22594292442530328,32.014604154895785,15.827658694786894,0.6185533489691567,37.213546095208166,20.963735977091634,3.306486072814717,True,3.1888602724785446
25g,compound,1362771960,50,52,150,149,target_head_only,0.46540589952134803,26.6056408861386,14.454764771028039,0.31675096378555345,49.805082845217406,29.990944654205602,3.240243360110422,True,3.237249982546933
25g,compound,1362771960,50,52,150,149,monotone_spline,0.22082739715768163,32.12021774330061,15.826978351781872,0.5905955179150274,38.55320161101828,20.692592979526903,3.3442128017445687,True,3.23722693149361
25g,compound,1362771960,50,52,150,149,nonlinear_policy,0.7559995421698477,17.974506049904047,14.586463181461484,0.839953146659558,24.105032587408317,17.86504493499405,1.9302495329885343,True,1.8902610254893057
