protocol,seed,planned_budget,portfolio_planned_budget,portfolio_actual_budget,method,normalized_rmse
compound,536279090,30,90,92,affine,2.0051408022433335
compound,536279090,30,90,92,linear_policy,2.0051408204904813
compound,536279090,30,90,92,local_identity_shrinkage,1.9965269310945655
compound,536279090,30,90,92,monotone_spline,1.9847460601146134
compound,536279090,30,90,92,nonlinear_policy,1.9847460601146134
compound,536279090,30,90,92,scale_only,1.8768657698810953
compound,536279090,30,90,92,shared_column_affine,1.9929689940989401
compound,536279090,30,90,92,target_head_only,3.718627239463679
compound,536279090,50,150,153,affine,1.8510835489806503
compound,536279090,50,150,153,linear_policy,1.8344766646030604
compound,536279090,50,150,153,local_identity_shrinkage,1.8124828512227902
compound,536279090,50,150,153,monotone_spline,1.8509717456301804
compound,536279090,50,150,153,nonlinear_policy,1.8360297216012471
compound,536279090,50,150,153,scale_only,1.8683943771127598
compound,536279090,50,150,153,shared_column_affine,1.8212684927058078
compound,536279090,50,150,153,target_head_only,3.593782568557723
compound,536279090,70,210,210,affine,1.8174983822490234
compound,536279090,70,210,210,linear_policy,1.7947169437634336
compound,536279090,70,210,210,local_identity_shrinkage,1.7867667939671057
compound,536279090,70,210,210,monotone_spline,1.8115480752793278
compound,536279090,70,210,210,nonlinear_policy,1.7887356389649867
compound,536279090,70,210,210,scale_only,1.8780029975585146
compound,536279090,70,210,210,shared_column_affine,1.820168687955639
compound,536279090,70,210,210,target_head_only,3.5776768583351686
compound,536279090,100,300,295,affine,1.7934512250855337
compound,536279090,100,300,295,linear_policy,1.7939365318602096
compound,536279090,100,300,295,local_identity_shrinkage,1.7916141514337502
compound,536279090,100,300,295,monotone_spline,1.784913107820919
compound,536279090,100,300,295,nonlinear_policy,1.7865110112392613
compound,536279090,100,300,295,scale_only,1.8732011154366843
compound,536279090,100,300,295,shared_column_affine,1.7879556798874845
compound,536279090,100,300,295,target_head_only,3.5513951176838607
compound,769539383,30,90,89,affine,2.4199356997970276
compound,769539383,30,90,89,linear_policy,2.0640244268388632
compound,769539383,30,90,89,local_identity_shrinkage,2.099705511345897
compound,769539383,30,90,89,monotone_spline,2.571215934404926
compound,769539383,30,90,89,nonlinear_policy,2.571215934404926
compound,769539383,30,90,89,scale_only,2.1386546047946404
compound,769539383,30,90,89,shared_column_affine,2.1346059360213268
compound,769539383,30,90,89,target_head_only,4.076090826663855
compound,769539383,50,150,152,affine,2.153911144351405
compound,769539383,50,150,152,linear_policy,2.1798486785408664
compound,769539383,50,150,152,local_identity_shrinkage,2.0339510276370887
compound,769539383,50,150,152,monotone_spline,2.150176785848458
compound,769539383,50,150,152,nonlinear_policy,2.1798486785408664
compound,769539383,50,150,152,scale_only,1.9036757733401943
compound,769539383,50,150,152,shared_column_affine,2.1781764712654716
compound,769539383,50,150,152,target_head_only,4.090611005745205
compound,769539383,70,210,211,affine,2.0332968214973044
compound,769539383,70,210,211,linear_policy,2.099489909633029
compound,769539383,70,210,211,local_identity_shrinkage,1.9965697542335796
compound,769539383,70,210,211,monotone_spline,2.0302426331052845
compound,769539383,70,210,211,nonlinear_policy,2.099707841079148
compound,769539383,70,210,211,scale_only,2.024341612391849
compound,769539383,70,210,211,shared_column_affine,2.0005566124665104
compound,769539383,70,210,211,target_head_only,4.091915716823381
compound,769539383,100,300,290,affine,1.8037140047275135
compound,769539383,100,300,290,linear_policy,1.7885191890003103
compound,769539383,100,300,290,local_identity_shrinkage,1.6826776791630547
compound,769539383,100,300,290,monotone_spline,1.8017289217023909
compound,769539383,100,300,290,nonlinear_policy,1.7850640681259116
compound,769539383,100,300,290,scale_only,1.8683753334707671
compound,769539383,100,300,290,shared_column_affine,1.7550461480841923
compound,769539383,100,300,290,target_head_only,4.079853196855881
compound,1362771960,30,90,88,affine,4.217999060949262
compound,1362771960,30,90,88,linear_policy,4.286119318861819
compound,1362771960,30,90,88,local_identity_shrinkage,2.1005984748130384
compound,1362771960,30,90,88,monotone_spline,4.3639601122303295
compound,1362771960,30,90,88,nonlinear_policy,4.432713697304052
compound,1362771960,30,90,88,scale_only,2.324100212688989
compound,1362771960,30,90,88,shared_column_affine,2.154778834565376
compound,1362771960,30,90,88,target_head_only,3.853242539369393
compound,1362771960,50,150,149,affine,3.5068624784926485
compound,1362771960,50,150,149,linear_policy,3.0791186213934463
compound,1362771960,50,150,149,local_identity_shrinkage,3.1029165383732846
compound,1362771960,50,150,149,monotone_spline,3.6535299237822247
compound,1362771960,50,150,149,nonlinear_policy,3.2105397537576668
compound,1362771960,50,150,149,scale_only,2.068806767577493
compound,1362771960,50,150,149,shared_column_affine,2.1402145076405983
compound,1362771960,50,150,149,target_head_only,3.7860057713824276
compound,1362771960,70,210,211,affine,2.3626421360173144
compound,1362771960,70,210,211,linear_policy,2.036177358071345
compound,1362771960,70,210,211,local_identity_shrinkage,2.0669964797229565
compound,1362771960,70,210,211,monotone_spline,2.376054434028403
compound,1362771960,70,210,211,nonlinear_policy,2.0384582639062585
compound,1362771960,70,210,211,scale_only,2.0525994623059254
compound,1362771960,70,210,211,shared_column_affine,2.0372653439068045
compound,1362771960,70,210,211,target_head_only,3.730281561550772
compound,1362771960,100,300,295,affine,2.0383038514877065
compound,1362771960,100,300,295,linear_policy,2.0018076890080256
compound,1362771960,100,300,295,local_identity_shrinkage,2.009176421810053
compound,1362771960,100,300,295,monotone_spline,2.0412037922425683
compound,1362771960,100,300,295,nonlinear_policy,2.004138792669264
compound,1362771960,100,300,295,scale_only,2.0202672757833824
compound,1362771960,100,300,295,shared_column_affine,2.0247346772609105
compound,1362771960,100,300,295,target_head_only,3.7090938157082163
compound,1425370602,30,90,93,affine,2.3319585047621287
compound,1425370602,30,90,93,linear_policy,2.2328145781633437
compound,1425370602,30,90,93,local_identity_shrinkage,2.0671862715294815
compound,1425370602,30,90,93,monotone_spline,2.3325179104713305
compound,1425370602,30,90,93,nonlinear_policy,2.234444617529223
compound,1425370602,30,90,93,scale_only,2.2253243080607064
compound,1425370602,30,90,93,shared_column_affine,2.1338501782078443
compound,1425370602,30,90,93,target_head_only,3.93041901579045
compound,1425370602,50,150,151,affine,2.0980350963893097
compound,1425370602,50,150,151,linear_policy,2.058685831813436
compound,1425370602,50,150,151,local_identity_shrinkage,1.9594332667776395
