column,protocol,seed,planned_budget,actual_budget,portfolio_planned_budget,portfolio_actual_budget,linear_policy,nonlinear_policy,spline_strength,shared_strength,local_strength,V1_test_outside_train_fraction,V2_test_outside_train_fraction
25g,compound,1362771960,100,98,300,295,scale_only,scale_only,1.0,0.1,0.1,0.028037383177570093,0.056074766355140186
25g,compound,1362771960,30,32,90,88,scale_only,scale_only,1.0,0.0,0.0,0.09345794392523364,0.2803738317757009
25g,compound,1362771960,50,52,150,149,scale_only,scale_only,1.0,1.0,1.0,0.09345794392523364,0.21495327102803738
25g,compound,1362771960,70,70,210,211,scale_only,scale_only,1.0,1.0,1.0,0.08411214953271028,0.21495327102803738
25g,compound,1425370602,100,99,300,295,scale_only,monotone_spline,0.1,0.0,0.0,0.009900990099009901,0.0
25g,compound,1425370602,30,33,90,93,affine,monotone_spline,0.1,0.0,0.0,0.07920792079207921,0.0
25g,compound,1425370602,50,47,150,151,affine,monotone_spline,0.1,0.0,0.0,0.04950495049504951,0.0
25g,compound,1425370602,70,72,210,207,affine,monotone_spline,0.1,0.0,0.0,0.009900990099009901,0.0
25g,compound,2767143051,100,102,300,299,affine,monotone_spline,0.1,0.0,0.0,0.04597701149425287,0.0
25g,compound,2767143051,30,30,90,88,affine,monotone_spline,0.1,0.0,0.0,0.12643678160919541,0.22988505747126436
25g,compound,2767143051,50,48,150,145,affine,monotone_spline,0.1,0.0,0.0,0.08045977011494253,0.0
25g,compound,2767143051,70,69,210,211,affine,monotone_spline,0.1,0.0,0.0,0.08045977011494253,0.0
25g,compound,536279090,100,98,300,295,affine,monotone_spline,0.1,0.0,0.0,0.07547169811320754,0.05660377358490566
25g,compound,536279090,30,33,90,92,affine,monotone_spline,0.1,0.0,0.0,0.19811320754716982,0.14150943396226415
25g,compound,536279090,50,48,150,153,affine,affine,1.0,0.1,0.1,0.18867924528301888,0.05660377358490566
25g,compound,536279090,70,71,210,210,affine,monotone_spline,0.1,0.1,0.0,0.16037735849056603,0.05660377358490566
25g,compound,769539383,100,98,300,290,scale_only,scale_only,0.1,0.0,0.0,0.02702702702702703,0.009009009009009009
25g,compound,769539383,30,30,90,89,affine,monotone_spline,0.1,0.0,0.1,0.0990990990990991,0.018018018018018018
25g,compound,769539383,50,52,150,152,scale_only,scale_only,0.1,0.1,0.1,0.036036036036036036,0.018018018018018018
25g,compound,769539383,70,70,210,211,scale_only,scale_only,0.1,0.0,0.0,0.036036036036036036,0.018018018018018018
25g,row,1362771960,100,100,300,300,affine,affine,1.0,0.0,0.1,0.01020408163265306,0.02040816326530612
25g,row,1362771960,30,30,90,90,affine,monotone_spline,1.0,0.1,0.1,0.14285714285714285,0.08163265306122448
25g,row,1362771960,50,50,150,150,affine,monotone_spline,0.1,1.0,0.1,0.02040816326530612,0.04081632653061224
25g,row,1362771960,70,70,210,210,affine,monotone_spline,1.0,1.0,0.1,0.02040816326530612,0.04081632653061224
25g,row,1425370602,100,100,300,300,affine,monotone_spline,0.1,0.0,0.0,0.01020408163265306,0.030612244897959183
