column,protocol,seed,planned_budget,actual_budget,portfolio_planned_budget,portfolio_actual_budget,max_baseline_reproduction_error_ml
8g,row,2767143051,100,100,300,300,2.1525587214910047e-06
8g,row,2767143051,30,30,90,90,1.3798270970255544e-06
8g,row,2767143051,50,50,150,150,1.3537303971133952e-06
8g,row,2767143051,70,70,210,210,2.0719478470709873e-06
8g,row,536279090,100,100,300,300,1.3257535442789958e-06
8g,row,536279090,30,30,90,90,4.604470262847826e-06
8g,row,536279090,50,50,150,150,1.3766081394805951e-06
8g,row,536279090,70,70,210,210,1.2713279318177229e-06
8g,row,769539383,100,100,300,300,4.010467506532223e-06
8g,row,769539383,30,30,90,90,2.446834594138636e-05
8g,row,769539383,50,50,150,150,6.53754261747963e-06
8g,row,769539383,70,70,210,210,4.175981615617275e-06
