outer_seed,method,V1_RMSE,V1_MAE,V1_R2,V2_RMSE,V2_MAE,V2_R2,combined_normalized_RMSE
73,L0,6.869652107484623,3.279981340435769,0.3279395460734935,12.503379329350373,6.330409720075502,0.3725504920386342,0.9060071987044153
73,Raw,6.935953335146724,3.1998100320784024,0.31490440066547276,12.301626307121778,6.022852919370436,0.39263602444733703,0.906475433621448
73,CW,6.794370560955829,3.543716986402333,0.3425884779350642,11.755323569397321,6.017705869903382,0.44538304207487556,0.8805194305077372
311,L0,6.469330785087148,3.3858482351691888,0.37751036624150947,11.864428696591041,5.7502816106489805,0.48548869211970824,0.8370259008474962
311,Raw,5.927337884816355,2.9496589072888417,0.4774440736692315,11.199240368777705,5.5551301306671945,0.541564337500149,0.7767010621398616
311,CW,6.2086546086419885,3.2026802710206104,0.42666506030327933,12.330630027344888,5.958804809789863,0.4442598201859783,0.831850931995777
1297,L0,5.490817152378823,2.530792692010637,0.5820922318335682,9.991931123840061,4.857471271670407,0.6101069922560987,0.7085251894017569
1297,Raw,4.5911753080934385,2.281785523576988,0.7078174784464477,8.57306103481333,4.450457959438114,0.7129758664587822,0.5994367361905717
1297,CW,5.465262818848486,2.571476591576775,0.5859730762581765,9.608976951290929,4.626149211856101,0.6394206208521895,0.6946148916928684
4093,L0,5.714700122262904,2.8140652654268186,0.4065562177515336,9.693934738680358,4.758533634727807,0.5436500829946211,0.6538488839229488
4093,Raw,4.928818822279807,2.466091986182782,0.5585531716974919,8.439184325926902,4.296668865983721,0.6541412735065566,0.5661539806539373
4093,CW,4.778590744356405,2.4336180955671862,0.5850532499534096,7.869982515417535,4.021992240020697,0.6992225122344744,0.5401259973082637
8191,L0,5.976647377703816,3.10904754608941,0.29915532170519543,11.86743445922267,6.185445946183422,0.37338173412980247,0.7743949296661449
8191,Raw,5.288675565324348,2.739118952259457,0.45121735886098147,10.804565778451838,4.957731693482799,0.48059753995339316,0.6950351758644515
8191,CW,5.328251524192267,2.867241630451285,0.44297338142475395,10.783674426625925,5.408837226940859,0.4826041969848238,0.6969384213250477
