epoch,train_loss,valid_score,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate
1,403.19276428222656,231.66536599808774,3.964468240737915,7.966738224029541,-0.15393592033332282,2.9325151443481445,0.0,-2.790729284286499,10.360881805419922,18.34101676940918,-0.4389940292054224,6.639577865600586,0.0,2.5811643600463867,1.0
2,270.41249084472656,271.54192690644504,6.709939956665039,9.766860008239746,-0.7343249613679406,3.251434326171875,0.004807692307692308,0.22832219302654266,11.447198867797852,18.769676208496094,-0.5070433974570681,7.382313251495361,0.0,-0.2288760095834732,1.0
3,189.0070037841797,284.60618661665285,6.3151326179504395,9.74616813659668,-0.726984123190324,2.7513251304626465,0.18509615384615385,3.601101875305176,12.766005516052246,19.474002838134766,-0.622268172490835,7.674249172210693,0.0,0.32384639978408813,1.0
4,148.95063018798828,253.23984674750227,5.707577228546143,9.436104774475098,-0.6188481598523468,2.3941736221313477,0.4807692307692308,5.821926593780518,10.12166690826416,18.121797561645508,-0.40480072032254477,7.110789775848389,0.0,0.9520781636238098,1.0
5,121.21770858764648,235.99995357410899,6.588766098022461,9.713507652282715,-0.7154290337414109,2.4205639362335205,0.5649038461538461,7.4933390617370605,9.759400367736816,16.831382751464844,-0.21185832917528846,6.537293910980225,0.0,2.4035532474517822,1.0
6,112.77086639404297,242.8006085546449,7.336125373840332,10.10417652130127,-0.8561899771156851,2.5222814083099365,0.59375,7.8293352127075195,10.129658699035645,16.775352478027344,-0.20380330367953037,5.959442615509033,0.0,4.291194438934326,1.0
7,100.29769515991211,217.14415257749852,6.635843276977539,9.56264591217041,-0.6625577218834877,2.3699827194213867,0.5817307692307693,8.25791072845459,8.535736083984375,15.855595588684082,-0.07541800502692975,5.172767639160156,0.026442307692307692,6.032963275909424,1.0
8,79.26832580566406,185.19903736384413,4.709745407104492,8.432571411132812,-0.2928277233371783,1.8574132919311523,0.6802884615384616,9.051706314086914,7.442508220672607,15.105679512023926,0.023903583593413602,4.420767784118652,0.1201923076923077,8.10587215423584,0.9350961538461539
9,70.21763610839844,199.45329169492743,4.192469120025635,8.248894691467285,-0.23712064803012134,1.7015743255615234,0.7283653846153846,9.329296112060547,9.297139167785645,16.2116641998291,-0.12426166416969742,4.484180927276611,0.21153846153846154,9.298321723937988,0.31009615384615385
10,61.77572441101074,191.18158096184334,4.122318744659424,8.069876670837402,-0.18400725359967662,1.58401358127594,0.8269230769230769,10.203821182250977,8.896685600280762,15.878203392028809,-0.07848699167247553,4.008885860443115,0.40625,11.158198356628418,0.0889423076923077
11,59.918052673339844,186.333373445706,4.057888507843018,8.096278190612793,-0.191767212169071,1.5074151754379272,0.8413461538461539,10.143808364868164,8.74050235748291,15.542435646057129,-0.03335693330131684,3.7794501781463623,0.4831730769230769,12.230193138122559,0.002403846153846154
12,53.926597595214844,148.07674663105854,3.822446346282959,7.585732460021973,-0.04620226135511096,1.335550308227539,0.8846153846153846,10.553696632385254,6.71359920501709,13.456107139587402,0.2254471227225917,3.023026943206787,0.6009615384615384,14.234130859375,0.0
13,54.29505920410156,141.44797394565467,4.117568016052246,7.649991989135742,-0.06400224464151161,1.3468579053878784,0.8942307692307693,9.90407657623291,6.273038387298584,12.87832260131836,0.2905353149165749,2.836127758026123,0.6346153846153846,14.528024673461914,0.10336538461538461
14,50.01438903808594,154.79818772098315,4.452629566192627,7.903704643249512,-0.13574797326267984,1.4212576150894165,0.8798076923076923,9.312308311462402,6.763145923614502,13.588939666748047,0.2100796151467288,2.961212158203125,0.6394230769230769,14.190831184387207,0.10096153846153846
15,46.27025604248047,136.36577413087684,4.005058765411377,7.333899021148682,0.022108984788832053,1.3036407232284546,0.8918269230769231,9.680099487304688,6.4228105545043945,12.851435661315918,0.2934945629160338,2.6841375827789307,0.6875,15.11408805847168,0.06009615384615385
16,45.411190032958984,145.1775453105081,3.9709601402282715,7.414680004119873,0.0004478869033925914,1.327012300491333,0.8846153846153846,9.66867446899414,6.860048770904541,13.43131160736084,0.228299042148718,2.807068347930908,0.7163461538461539,14.84304141998291,0.06009615384615385
17,40.84808921813965,121.58350487596272,3.3354976177215576,6.836422920227051,0.15027489090705937,1.1753524541854858,0.8966346153846154,10.405848503112793,5.78803825378418,12.234935760498047,0.35965262657360675,2.3950703144073486,0.7980769230769231,15.670194625854492,0.036057692307692304
18,33.19174766540527,91.8521719763562,2.836190938949585,5.988491058349609,0.34798832028412097,1.0367116928100586,0.90625,11.553585052490234,5.03216552734375,10.582074165344238,0.5209798038313248,1.9647504091262817,0.8725961538461539,17.391937255859375,0.007211538461538462
19,35.62090492248535,111.13662895556831,3.3444607257843018,6.550253391265869,0.21992424932422172,1.1235904693603516,0.8966346153846154,9.844273567199707,5.8685221672058105,11.681678771972656,0.41625567562091703,2.219426155090332,0.8269230769230769,15.337794303894043,0.04567307692307692
20,37.030324935913086,118.33744302933474,3.2894129753112793,6.733672142028809,0.17562561400923993,1.1218810081481934,0.84375,9.317171096801758,5.754626750946045,12.082640647888184,0.3754949988178593,2.2098381519317627,0.8365384615384616,14.887418746948242,0.10096153846153846
21,35.54580307006836,70.72790068375093,2.678452968597412,5.307082653045654,0.4879264731377546,0.9489232301712036,0.8052884615384616,10.617834091186523,4.610232353210449,9.226350784301758,0.6358568455345007,1.6778900623321533,0.8918269230769231,16.75053596496582,0.10576923076923077
22,31.93223762512207,75.64078673971994,2.9503705501556396,5.495339870452881,0.4509527989346318,1.03494393825531,0.7403846153846154,10.365553855895996,4.9560112953186035,9.533312797546387,0.6112236124146704,1.7315411567687988,0.8653846153846154,15.94541072845459,0.11538461538461539
23,32.97470664978027,103.3511959624359,3.0085628032684326,6.33356237411499,0.2706824603066954,1.0754092931747437,0.7884615384615384,9.263871192932129,5.2509942054748535,11.246082305908203,0.4589782721497536,1.9679540395736694,0.84375,13.593564987182617,0.12740384615384615
24,30.755081176757812,123.99738500896183,3.261730670928955,6.805886268615723,0.15784901951863295,1.1340992450714111,0.8557692307692307,8.03734016418457,6.042512893676758,12.464132308959961,0.33543673771909266,2.199209451675415,0.8100961538461539,11.946962356567383,0.055288461538461536
25,27.779913902282715,112.8978101332691,2.990949869155884,6.492847442626953,0.2335373820818435,1.079393982887268,0.8629807692307693,8.47500991821289,5.628139972686768,11.894598960876465,0.39478204788220084,2.051185131072998,0.7548076923076923,11.838639259338379,0.026442307692307692
26,25.22333335876465,118.49975372993049,3.0540518760681152,6.629132270812988,0.2010235415058509,1.1322968006134033,0.8677884615384616,8.647403717041016,5.72678804397583,12.211008071899414,0.36215488461093837,2.1761560440063477,0.6346153846153846,11.417658805847168,0.026442307692307692
27,23.61832046508789,118.10028588240675,3.0189123153686523,6.589267730712891,0.21060407028213635,1.1227539777755737,0.875,8.07371997833252,5.7343268394470215,12.221443176269531,0.36106432668953936,2.1440582275390625,0.6995192307692307,11.002729415893555,0.028846153846153848
28,23.075257301330566,93.59767911141739,2.6878912448883057,5.794609546661377,0.3895234925515648,0.9624131917953491,0.8894230769230769,7.7996745109558105,5.335500240325928,10.956293106079102,0.48650114233431774,1.8473232984542847,0.8052884615384616,11.38048267364502,0.026442307692307692
29,21.801706314086914,78.91736364874487,2.598877429962158,5.356225967407227,0.47839903863513233,0.8921338319778442,0.8725961538461539,7.348749160766602,4.99151611328125,10.022794723510742,0.5702757532943485,1.694848895072937,0.8413461538461539,11.311639785766602,0.014423076923076924
30,19.609567642211914,70.34909549340841,2.4882454872131348,5.104902744293213,0.5261994632356726,0.8661474585533142,0.8701923076923077,7.020249366760254,4.644199848175049,9.411595344543457,0.6210877188556942,1.587329626083374,0.8341346153846154,11.221181869506836,0.009615384615384616
31,19.2728328704834,60.75005111255541,2.4498343467712402,4.899247169494629,0.5636054460384203,0.8469325304031372,0.8605769230769231,6.706894874572754,4.245169639587402,8.572914123535156,0.6856097247078329,1.4559969902038574,0.8533653846153846,11.438322067260742,0.007211538461538462
32,18.46927547454834,55.2850337728828,2.38930082321167,4.624659538269043,0.6111517949065519,0.8213983178138733,0.8365384615384616,6.487829208374023,4.294350624084473,8.233778953552246,0.7099915872393717,1.4659162759780884,0.8677884615384616,11.623861312866211,0.004807692307692308
33,17.797397136688232,74.73646760350857,2.780656576156616,5.459224700927734,0.45814570724688175,0.9843249917030334,0.7764423076923077,5.630913257598877,4.704297065734863,9.479803085327148,0.6155757217946976,1.6531342267990112,0.8341346153846154,10.651508331298828,0.014423076923076924
34,16.897619247436523,48.579260931705676,2.2543253898620605,4.4778876304626465,0.6354417422228626,0.8088477849960327,0.8028846153846154,5.830963134765625,3.8857040405273438,7.553513526916504,0.755932353917256,1.3333823680877686,0.8485576923076923,10.963704109191895,0.02403846153846154
35,15.994885444641113,51.281414087619964,2.2365565299987793,4.489682197570801,0.6335186966533792,0.8107555508613586,0.7572115384615384,5.612457752227783,3.984226703643799,7.889761447906494,0.7337191351020107,1.4036171436309814,0.8389423076923077,10.821518898010254,0.019230769230769232
