canonical_smiles,strategy,random_error,active_error,delta_vs_random,compound_rows,random_normalized_RMSE,active_normalized_RMSE,random_normalized_MAE,active_normalized_MAE
BrCCCc1ccccc1,coverage,0.07231112779437171,0.07783838493379847,0.0055272571394267556,21,0.0793129219277239,0.08719961999977136,0.06530933366101951,0.06847714986782556
C=C(c1ccccc1)c1ccccc1,coverage,0.1568084544812147,0.18011673497376174,0.023308280492547045,21,0.17505860232094966,0.19370797753306324,0.13855830664147972,0.1665254924144602
C=CC(=O)OCCOC,coverage,0.4072673715598578,0.519731866621616,0.11246449506175815,15,0.454037676454346,0.5748906346426316,0.36049706666536957,0.4645730986006005
CC(C)=CCBr,coverage,0.22130847745152427,0.1861705361404888,-0.03513794131103545,21,0.2466872315153697,0.19472551918250736,0.19592972338767883,0.17761555309847027
CCCCCCCCCCCCc1cc(Br)sc1Br,coverage,0.3563862142622463,0.38702337846404516,0.03063716420179885,21,0.39173160626639847,0.4119861324913914,0.32104082225809416,0.36206062443669895
CCOC(=O)C(Br)C(=O)OCC,coverage,0.3736115521156382,0.27775699684613553,-0.09585455526950265,35,0.4887054080265793,0.3361695200978245,0.25851769620469706,0.2193444735944466
CCOC(=O)c1ccc(OC)cc1,coverage,0.24140649243148607,0.5667904248138221,0.3253839323823361,21,0.27181689692276745,0.6499088082211469,0.2109960879402047,0.48367204140649733
COC(=O)C(=O)c1ccccc1,coverage,0.7337104170688823,0.7734101891566043,0.03969977208772202,34,0.8419178833103461,0.8580240916574233,0.6255029508274185,0.6887962866557853
COC(=O)[C@H](O)c1ccccc1,coverage,1.2687928348894093,1.2026605802972,-0.0661322545922094,15,1.53412378958072,1.4252182610226503,1.0034618801980986,0.9801028995717493
COC(=O)c1ccc(Cl)cc1,coverage,0.16428230680465045,0.22547926001223395,0.061196953207583504,21,0.1718463787961974,0.23910344695126123,0.1567182348131035,0.21185507307320667
COC(=O)c1ccc(I)cc1,coverage,0.26704705575869847,0.24729741968239619,-0.019749636076302285,20,0.3031074173065151,0.27214757654142663,0.23098669421088192,0.22244726282336574
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,coverage,1.325702529573333,1.2139795682151286,-0.11172296135820425,6,1.6494657539077702,1.4856953449740662,1.0019393052388958,0.9422637914561911
COc1ccc(C)cc1OC,coverage,0.5231665567022881,0.8136205309842399,0.29045397428195185,21,0.6612664790559619,1.0118119612362977,0.3850666343486142,0.6154291007321822
COc1ccc(Cl)cc1,coverage,0.12949896221403187,0.1266959380149894,-0.0028030241990424642,21,0.15076487137052164,0.142134705870154,0.1082330530575421,0.11125717015982484
Cc1cc(C)cc(C#N)c1,coverage,0.6843956675022663,1.8215327084753876,1.1371370409731214,21,0.7205267548867695,2.0522851329814964,0.6482645801177631,1.5907802839692788
Clc1ccc(I)c(Br)c1,coverage,0.11924314743141859,0.1399331224815196,0.020689975050101006,21,0.13355496426704075,0.15175919947907945,0.10493133059579643,0.12810704548395974
Clc1ccccc1I,coverage,0.11472787066171829,0.20190862380995098,0.08718075314823269,21,0.12736455362073584,0.21789849251338056,0.10209118770270073,0.1859187551065214
O=C1CCCCc2ccccc21,coverage,0.3612639738158391,0.4701786731562279,0.10891469934038883,7,0.4171742239757096,0.5399132308606428,0.3053537236559686,0.400444115451813
O=Cc1cc(Cl)ccc1Br,coverage,0.11937229323350751,0.12591883401801668,0.006546540784509169,21,0.1301355684553536,0.1424882162851362,0.10860901801166144,0.10934945175089719
O=[P+](Oc1ccccc1)Oc1ccccc1,coverage,0.647026809478806,0.6539223416134547,0.006895532134648774,14,0.8509230534546561,0.8745337608524046,0.4431305655029558,0.43331092237450497
c1ccc2ncccc2c1,coverage,0.44598601554985046,0.32764341305485223,-0.11834260249499823,15,0.5244289780005735,0.3575420700537222,0.3675430530991274,0.2977447560559822
BrCCCc1ccccc1,ensemble,0.07231112779437171,0.07919004456275813,0.006878916768386423,21,0.0793129219277239,0.08630689625460491,0.06530933366101951,0.07207319287091135
C=C(c1ccccc1)c1ccccc1,ensemble,0.1568084544812147,0.13605962789545678,-0.020748826585757912,21,0.17505860232094966,0.15575293102054896,0.13855830664147972,0.11636632477036463
C=CC(=O)OCCOC,ensemble,0.4072673715598578,0.8026863622804964,0.3954189907206386,15,0.454037676454346,0.8973209417827404,0.36049706666536957,0.7080517827782524
CC(C)=CCBr,ensemble,0.22130847745152427,0.35114420423443443,0.12983572678291017,21,0.2466872315153697,0.38683772359658997,0.19592972338767883,0.3154506848722789
CCCCCCCCCCCCc1cc(Br)sc1Br,ensemble,0.3563862142622463,0.5320012809717249,0.17561506670947863,21,0.39173160626639847,0.5483729620729395,0.32104082225809416,0.5156295998705103
CCOC(=O)C(Br)C(=O)OCC,ensemble,0.3736115521156382,0.4099376018312705,0.0363260497156323,35,0.4887054080265793,0.5436756382028385,0.25851769620469706,0.2761995654597025
CCOC(=O)c1ccc(OC)cc1,ensemble,0.24140649243148607,0.6261857629916878,0.3847792705602018,21,0.27181689692276745,0.7039814839212533,0.2109960879402047,0.5483900420621224
COC(=O)C(=O)c1ccccc1,ensemble,0.7337104170688823,0.6574706027203528,-0.07623981434852944,34,0.8419178833103461,0.7571104812012168,0.6255029508274185,0.5578307242394889
COC(=O)[C@H](O)c1ccccc1,ensemble,1.2687928348894093,1.127716957485434,-0.1410758774039753,15,1.53412378958072,1.3752678137675973,1.0034618801980986,0.8801661012032705
COC(=O)c1ccc(Cl)cc1,ensemble,0.16428230680465045,0.1151237307937594,-0.04915857601089105,21,0.1718463787961974,0.12039619623170938,0.1567182348131035,0.1098512653558094
COC(=O)c1ccc(I)cc1,ensemble,0.26704705575869847,0.6460141147260476,0.37896705896734917,20,0.3031074173065151,0.7565403457233444,0.23098669421088192,0.535487883728751
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,ensemble,1.325702529573333,1.1729068489890275,-0.15279568058430537,6,1.6494657539077702,1.4970527069380972,1.0019393052388958,0.8487609910399577
COc1ccc(C)cc1OC,ensemble,0.5231665567022881,0.8316505243964103,0.30848396769412223,21,0.6612664790559619,1.030139349946718,0.3850666343486142,0.6331616988461026
