seed,round,group,a,b,lcmd_overlap,ivr_overlap
12203,1,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.4375,0.53125
12203,1,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.3125,0.40625
12203,1,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.59375,0.65625
12203,1,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.25,0.5
12203,1,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.5625,0.59375
12203,1,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.65625,0.5
12203,5,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.34375,0.625
12203,5,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.34375,0.59375
12203,5,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.5,0.6875
12203,5,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.28125,0.59375
12203,5,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.34375,0.65625
12203,5,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.6875,0.8125
12203,10,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.3125,0.625
12203,10,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.4375,0.75
12203,10,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.5,0.84375
12203,10,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.375,0.71875
12203,10,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.4375,0.75
12203,10,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.59375,0.9375
12203,15,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.375,0.59375
12203,15,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.3125,0.625
12203,15,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.59375,0.71875
12203,15,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.21875,0.625
12203,15,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.5,0.6875
12203,15,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.46875,0.65625
12203,20,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.4375,0.5625
12203,20,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.28125,0.59375
12203,20,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.3125,0.78125
12203,20,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.3125,0.46875
12203,20,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.5,0.65625
12203,20,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.5,0.78125
157,1,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.5,0.53125
157,1,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.4375,0.5625
157,1,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.6875,0.5625
157,1,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.5625,0.53125
157,1,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.4375,0.59375
157,1,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.5,0.65625
157,5,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.3125,0.5625
157,5,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.40625,0.625
157,5,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.59375,0.75
157,5,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.34375,0.46875
157,5,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.34375,0.6875
157,5,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.40625,0.625
157,10,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.28125,0.46875
157,10,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.3125,0.65625
157,10,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.5625,0.65625
157,10,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.25,0.53125
157,10,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.40625,0.5625
157,10,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.53125,0.625
157,15,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.34375,0.5
157,15,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.25,0.46875
157,15,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.4375,0.65625
157,15,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.3125,0.5
157,15,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.5,0.53125
157,15,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.34375,0.625
157,20,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.15625,0.59375
157,20,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.15625,0.59375
157,20,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.40625,0.71875
157,20,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.1875,0.5625
157,20,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.375,0.65625
