seed,round,representation,group,a,b,score_spearman,top32_overlap,batch_overlap,transferred_batch_relative_regret
157,1,scalar,other,scalar_d256_s0,scalar_d256_s1,0.9857953004025196,0.90625,0.5,0.0166140088618026
157,1,scalar,other,scalar_d256_s0,scalar_d256_s2,0.9869172926000565,0.90625,0.53125,0.0136843413448446
157,1,scalar,other,scalar_d256_s0,scalar_d512_s0,0.9952208452054871,0.96875,0.65625,0.0037652616625011
157,1,scalar,other,scalar_d256_s0,scalar_d1024_s0,0.9931913367064644,0.9375,0.65625,0.0029477508657292
157,1,scalar,other,scalar_d256_s0,scalar_d2048_s0,0.9915419397834854,0.96875,0.53125,0.013618301653812
157,1,scalar,other,scalar_d256_s1,scalar_d256_s2,0.9871562173772744,0.9375,0.5,0.0075735355186746
157,1,scalar,other,scalar_d256_s1,scalar_d512_s1,0.9952124314793832,0.9375,0.625,0.0032751646607903
157,1,scalar,other,scalar_d256_s1,scalar_d1024_s1,0.9934662674988024,0.9375,0.5625,0.005509320997731
157,1,scalar,other,scalar_d256_s1,scalar_d2048_s1,0.9926081466198564,0.90625,0.53125,0.0056354847312977
157,1,scalar,other,scalar_d256_s2,scalar_d512_s2,0.9962011405139964,0.90625,0.6875,0.0018914980427312
157,1,scalar,other,scalar_d256_s2,scalar_d1024_s2,0.9947411550909196,0.9375,0.65625,0.002654138132802
157,1,scalar,other,scalar_d256_s2,scalar_d2048_s2,0.9937896619243592,0.9375,0.65625,0.0026562423851634
157,1,scalar,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.993942803156636,0.96875,0.53125,0.0086300046501266
157,1,scalar,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.992878154213083,0.90625,0.5625,0.0077257748694583
157,1,scalar,other,scalar_d512_s0,scalar_d1024_s0,0.9980870135050038,0.96875,0.8125,0.0005009844746012
157,1,scalar,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.9968337025442636,1.0,0.5625,0.0084514506127229
157,1,scalar,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.9927714721620958,0.90625,0.53125,0.0048111359875424
157,1,scalar,other,scalar_d512_s1,scalar_d1024_s1,0.9980256986371494,1.0,0.625,0.0029532492114941
157,1,scalar,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.9971707598371504,0.96875,0.59375,0.004296084886388
157,1,scalar,other,scalar_d512_s2,scalar_d1024_s2,0.997734051802196,0.90625,0.6875,0.0010023454897653
157,1,scalar,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.9965596377083056,0.90625,0.65625,0.0010020706787192
157,1,scalar,other,scalar_d1024_s0,scalar_d1024_s1,0.9964175909379122,0.96875,0.5,0.0054841876362008
157,1,scalar,other,scalar_d1024_s0,scalar_d1024_s2,0.9964177124756498,0.96875,0.53125,0.0064997022438169
157,1,scalar,other,scalar_d1024_s0,scalar_d2048_s0,0.9988359967182197,0.96875,0.71875,0.005469975027813
157,1,scalar,other,scalar_d1024_s1,scalar_d1024_s2,0.9960731953437504,1.0,0.625,0.003559449444443
157,1,scalar,other,scalar_d1024_s1,scalar_d2048_s1,0.9988958655632194,0.96875,0.78125,0.0006784649163711
157,1,scalar,other,scalar_d1024_s2,scalar_d2048_s2,0.9988949015479828,1.0,0.65625,8.999359015615215e-07
157,1,scalar,other,scalar_d2048_s0,scalar_d2048_s1,0.9980060219536618,1.0,0.4375,0.0003365330500586
157,1,scalar,other,scalar_d2048_s0,scalar_d2048_s2,0.9982033541231644,0.96875,0.59375,0.0009665340600544
157,1,scalar,other,scalar_d2048_s1,scalar_d2048_s2,0.998009111958565,0.96875,0.53125,0.00245303877051
157,1,block,cross_seed_512,block_d512_s0,block_d512_s1,0.9957060201708322,0.84375,0.4375,0.0063046503371737
157,1,block,cross_seed_512,block_d512_s0,block_d512_s2,0.9950368674552684,0.9375,0.53125,0.0076009471689919
157,1,block,cross_seed_512,block_d512_s1,block_d512_s2,0.9959349889817156,0.90625,0.625,0.0048868664716058
157,5,scalar,other,scalar_d256_s0,scalar_d256_s1,0.9807559653305616,0.8125,0.5,0.0083293275501096
157,5,scalar,other,scalar_d256_s0,scalar_d256_s2,0.9805942423493316,0.90625,0.40625,0.0159867489291669
157,5,scalar,other,scalar_d256_s0,scalar_d512_s0,0.993271237906024,0.90625,0.78125,0.0043447054126401
157,5,scalar,other,scalar_d256_s0,scalar_d1024_s0,0.9891066282098614,0.875,0.78125,0.0087290709350701
157,5,scalar,other,scalar_d256_s0,scalar_d2048_s0,0.987651424088113,0.875,0.6875,0.0128569996193967
157,5,scalar,other,scalar_d256_s1,scalar_d256_s2,0.982945157576267,0.8125,0.59375,0.0113320316409002
157,5,scalar,other,scalar_d256_s1,scalar_d512_s1,0.9939827687820976,0.875,0.65625,0.0107984028307191
157,5,scalar,other,scalar_d256_s1,scalar_d1024_s1,0.9914695004550464,0.875,0.625,0.0104367728179976
157,5,scalar,other,scalar_d256_s1,scalar_d2048_s1,0.9896665579476852,0.875,0.65625,0.0078728591165756
