seed,round,representation,dimension,map_index,effective_rank,participation_rank,numerical_rank,top_eigenvalue_fraction,positive_spectrum_condition,raw_rank_deficient,precision_condition,reference_rows,outputs,feature_dimension,raw_mean_squared_norm,initial_risk,final_risk,endpoint_final_risk,direct_factor_max_error,elapsed_seconds,lcmd_overlap,lcmd_risk_same_surrogate
157,1,scalar,256,0,21.454475406684455,7.6397668928111155,256,0.3152284220173622,10380.635605721149,False,195.13902952998225,3330,1,256,35690.66815128788,0.1499104326031881,0.121859595570102,[0.12185959557010202],2.2690183065776637e-15,0.3427136250538751,0.375,0.1256013037258761
157,1,scalar,256,1,19.121430316471383,6.6542179256030405,256,0.3497363301771563,12830.011253144285,False,199.58023275042012,3330,1,256,39087.69822769709,0.142626117750933,0.1155488642884096,[0.11554886428840962],2.1371793224034263e-15,0.3406212090048939,0.28125,0.119784361445114
157,1,scalar,256,2,18.11428365732468,6.086241398123107,256,0.3710365819425941,12997.874126884168,False,215.99604175061327,3330,1,256,39767.99059656806,0.1419165633166561,0.1156688314852648,[0.11566883148526484],2.9108659926890827e-15,0.3487069580005482,0.28125,0.1191828029214721
157,1,scalar,512,0,22.361233722695495,7.452551000850361,512,0.3226933499095357,97009.5282672122,False,194.36579106394004,3330,1,512,36721.70294224969,0.1593296894316462,0.1311575502078734,[0.13115755020787345],2.2343238370581275e-15,0.8896120419958606,0.3125,0.1352921250913637
157,1,scalar,512,1,20.548783864283404,6.62293829240659,512,0.3532487606071955,101787.71479343064,False,205.71586612629568,3330,1,512,38907.42018277045,0.154039227254171,0.1266881369957321,[0.12668813699573211],2.409530908131785e-15,0.8801835840567946,0.28125,0.1300593200675614
157,1,scalar,512,2,20.07562847824518,6.379840903933171,512,0.3617571680344059,112433.38319466732,False,212.11400909828825,3330,1,512,39001.5188928916,0.1534943774735455,0.1266458666091195,[0.12664586660911958],2.905661822261152e-15,0.9001920419977978,0.28125,0.1313176926715941
157,1,scalar,1024,0,22.9181677405898,7.292912732099066,1024,0.3292316115233882,3869889.66935968,False,198.09454862848497,3330,1,1024,37181.399132950006,0.1642868282444428,0.1359443782207278,[0.13594437822072789],1.8735013540549517e-15,2.4456269999500364,0.34375,0.1398566109327759
157,1,scalar,1024,1,21.914425360873597,6.790482776644657,1024,0.3482987128365711,3747894.356277608,False,204.94984911353697,3330,1,1024,38013.53572678169,0.1616837733057411,0.1339537122596137,[0.13395371225961375],2.8596916501477665e-15,2.3043040829943493,0.28125,0.1377532484218203
157,1,scalar,1024,2,22.074172367032293,6.921794642482513,1024,0.342531068604568,3848027.05853018,False,204.6445647816061,3330,1,1024,38066.65239367774,0.1615661904764893,0.1338830178323858,[0.13388301783238582],2.2100377083944522e-15,2.3158339590299875,0.28125,0.1383740171305855
157,1,scalar,2048,0,22.94045319612562,7.225785991754273,1388,0.3303195169170913,587790296714.5415,True,197.8514305446082,3330,1,2048,37733.631235896595,0.1655149397427203,0.1374650494925919,[0.13746504949259197],1.205632815803881e-15,9.568855000077749,0.3125,0.1410707145859701
157,1,scalar,2048,1,22.9529287559267,7.103542127984756,1388,0.3365300766371397,613782310721.6157,True,199.88998971453609,3330,1,2048,37679.20556835017,0.1659025732717849,0.1376605148670451,[0.13766051486704514],1.5369649997154509e-15,9.570191291975789,0.21875,0.142626265887749
157,1,scalar,2048,2,23.178746010298077,7.170772219477441,1388,0.3348066357886259,671152516628.4576,True,201.0473080425901,3330,1,2048,37504.53477854666,0.1661703529798417,0.1381918303292834,[0.13819183032928345],1.321859288694327e-15,10.190018708002754,0.25,0.142572717621446
157,1,block,512,0,23.750911248178134,7.816109430799479,512,0.3161510523652905,58532.62438868565,False,195.35829978099665,3330,2,512,37158.33476444368,0.1575038823518812,0.1311935649648417,"[0.07676195914100742, 0.0544316058238342]",1.7110878686166229e-15,2.2331054160604253,0.25,0.1353679425395207
157,1,block,512,1,24.486792790763552,7.935958640743551,512,0.3161676525268478,60014.68985393546,False,184.44474218126135,3330,2,512,36938.18459617616,0.1595025871324634,0.1323060779954698,"[0.07723917763931014, 0.0550669003561599]",1.5508427875232657e-15,2.131310167023912,0.28125,0.1357293029474954
157,1,block,512,2,22.48326183145181,6.915863296169227,512,0.3475954471342743,66628.89273437776,False,203.77650938063215,3330,2,512,37862.39682926377,0.1567094917895519,0.1302913878527788,"[0.07608108757610432, 0.05421030027667437]",1.8318679906315083e-15,2.1556953749386594,0.21875,0.1349988068640222
157,5,scalar,256,0,29.614588718532893,9.908219732288208,256,0.2738706424865085,6221.094384097563,False,383.3426314524544,3330,1,256,48435.08247182035,0.1160360103603958,0.107400245493632,[0.107400245493632],2.706168622523819e-15,0.3399127920856699,0.0625,0.1107978682254601
