seed,round,median_endpoint_cosine,median_block_effective_rank,median_second_eigen_fraction
12203,1,0.8110976662005902,1.176170910106722,0.08154057976167119
12203,5,0.716164044474426,1.2822510253628217,0.1259154540082524
12203,10,0.816606351242785,1.1837009417775597,0.08478440618582546
12203,15,0.6788814100630631,1.3200768901868292,0.14116045977758024
12203,20,0.6511423470266292,1.3487262522001289,0.1525519123028366
157,1,0.5544640891154646,1.4491590213069587,0.19173437233238239
157,5,0.42017083262831656,1.5912762757527648,0.24659678935542406
157,10,0.4397826163164688,1.5758925070567686,0.24061510502560185
157,15,0.26352657107326716,1.5220198839726433,0.21980217718953426
157,20,0.5639041266395022,1.4689928065820732,0.1993851871375402
2357,1,0.4346479233558542,1.4470775232799509,0.19093044436716683
2357,5,0.5949568106454906,1.365417921403227,0.15913602328927368
2357,10,0.48379505435437065,1.4200410308973426,0.18046517864996306
2357,15,0.6821356438995874,1.2698544811953005,0.12086162826190028
2357,20,0.6747581152944231,1.2902282823630356,0.12915188955199094
6101,1,0.41843356390704733,1.5402496351704291,0.22682843653508616
6101,5,0.6178175119095142,1.3650214025669114,0.15898002555485702
6101,10,0.6909659669502497,1.3023064773153847,0.13402977783519082
6101,15,0.759802990494876,1.2347756269460388,0.10638614474502926
6101,20,0.7169532366144289,1.2706401356146353,0.12118283442049158
887,1,0.7849956848487822,1.2100989941696831,0.09603300117029363
887,5,0.7532182762514126,1.251176135029883,0.11318739604206107
887,10,0.6827775874415108,1.2991671468087755,0.13276445045732999
887,15,0.7444122561518984,1.2358894169759072,0.10684997733629702
887,20,0.7777399276603614,1.211536248745867,0.09664015263475524
