seed,round,fb_relative_batch_gain,multioutput_risk_gain_over_lcmd,multioutput_scalar_overlap,historical_relative_feature_error,historical_score_spearman,scalar_block_kernel_cosine
157,1,0.0013093455715746428,0.004174377574678978,0.5625,5.124209073099661e-07,0.9999999990792596,0.9943738363344188
157,5,-1.6028791067779963e-15,0.0032065807186056616,0.5,5.141923405832323e-07,0.999999999474463,0.9920398815910798
157,10,-0.00016785188118345019,0.0020973550790785167,0.625,5.151876728305588e-07,0.9999999968724357,0.9943913101912794
157,15,-0.00020919886961206772,0.0017432417378191178,0.625,5.107292285795502e-07,1.0,0.9899688462897914
157,20,0.0,0.0013590713008928557,0.53125,5.177968105475032e-07,0.999999997250689,0.9929116034621353
887,1,8.276887868879829e-16,0.0032235746286953665,0.53125,5.030049011857513e-07,0.9999999990792595,0.9979703796892204
887,5,0.0,0.0026979665879250797,0.59375,5.238292651635666e-07,0.999999999474463,0.9963088621525407
887,10,0.0,0.0015021022595482353,0.5625,5.00406198780097e-07,0.9999999987489744,0.9948000392837091
887,15,-0.0001872298696605975,0.001111573013680714,0.625,5.170220692616029e-07,0.9999999984949127,0.9951399723554541
887,20,3.51338529383415e-08,0.0009192813899991867,0.6875,5.068260446434536e-07,0.999999998167126,0.9931965327411747
2357,1,0.0,0.004182717560187135,0.625,5.176837308858195e-07,0.99999999953963,0.9961701762731974
2357,5,0.0,0.002370540946067326,0.65625,5.202941375570527e-07,1.0,0.9945891935439735
2357,10,-0.0007237597589990606,0.0019632552752568005,0.53125,5.134713992629146e-07,0.999999999374487,0.9927955674683437
2357,15,1.9814739054741088e-08,0.0011338036722139955,0.5,5.157521579786189e-07,0.9999999984949126,0.9887315930319329
2357,20,0.0006388895497521437,0.0008596813111803256,0.8125,5.263337458205481e-07,1.0,0.9947682814931129
6101,1,0.0,0.0051402442974398665,0.53125,4.922231450263964e-07,0.9999999995396299,0.9954644276325033
6101,5,-1.6538450481008063e-15,0.0034639152964897474,0.625,4.980113762813367e-07,0.999999998948926,0.9962408680466799
6101,10,-0.00011509600012136297,0.0016156705912169361,0.59375,5.066348556260256e-07,0.9999999993744872,0.9945199876731592
6101,15,0.0,0.0012666857330382308,0.65625,5.132079422638982e-07,0.9999999992474564,0.994318533203948
6101,20,0.0,0.0008061447805923772,0.8125,5.175708815278268e-07,0.9999999990835631,0.9957141395711776
12203,1,5.794821264888243e-08,0.0032332309708172774,0.78125,5.012777235269094e-07,0.9999999995396297,0.9960547747580708
12203,5,8.994491355032963e-08,0.0024228723291185444,0.71875,5.076534309951366e-07,0.9999999994744629,0.9915615127682085
12203,10,0.00022695193980440902,0.001727645795581323,0.75,5.194565945431289e-07,0.9999999981234614,0.9917171381646747
12203,15,0.0,0.0013854689172009271,0.53125,5.123878848168636e-07,1.0,0.9911357350300932
12203,20,0.0,0.0010937047819253726,0.59375,5.151956087810999e-07,1.0,0.9848484510345423
