canonical_smiles,loading solvent,V/ul,Volume of loading solvent/ul,Flow mL/min,column_specs,left_ea_fraction,right_ea_fraction,delta_ea_fraction,group_unique_ea,left_n,right_n,V1_abs_gradient,V2_abs_gradient,V1_signed_gradient,V2_signed_gradient
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.028011204481792715,7,1,1,8.330000000000004,17.85,8.330000000000004,-17.85
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.043290043290043295,7,1,1,29.837500000000002,23.292499999999944,29.837500000000002,23.292499999999944
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.07575757575757575,7,1,1,2.4200000000000035,9.679999999999968,-2.4200000000000035,-9.679999999999968
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.16666666666666666,7,1,1,1.799999999999999,3.250000000000007,-1.799999999999999,-3.250000000000007
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.3333333333333333,0.5,0.16666666666666669,7,1,1,1.7500000000000016,3.7999999999999967,-1.7500000000000016,-3.7999999999999967
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.5,1.0,0.5,7,1,1,0.23333333333333428,2.083333333333332,0.23333333333333428,2.083333333333332
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.028011204481792715,7,1,1,4.4625,59.79750000000009,-4.4625,-59.79750000000009
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.043290043290043295,7,1,1,2.8874999999999997,6.929999999999975,2.8874999999999997,-6.929999999999975
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.07575757575757575,7,1,1,2.4200000000000035,8.579999999999982,-2.4200000000000035,-8.579999999999982
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.16666666666666666,7,1,1,1.6499999999999968,5.150000000000016,-1.6499999999999968,-5.150000000000016
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.3333333333333333,0.5,0.16666666666666669,7,1,1,0.9500000000000018,1.9999999999999927,-0.9500000000000018,-1.9999999999999927
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.5,1.0,0.5,7,1,1,0.3333333333333339,0.5500000000000007,-0.3333333333333339,-0.5500000000000007
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.028011204481792715,7,1,1,33.31999999999999,134.46999999999997,-33.31999999999999,-134.46999999999997
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.043290043290043295,7,1,1,25.41,53.70749999999994,25.41,53.70749999999994
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.07575757575757575,7,1,1,2.7500000000000084,9.789999999999985,-2.7500000000000084,-9.789999999999985
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.16666666666666666,7,1,1,1.5,1.5999999999999943,-1.5,-1.5999999999999943
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.3333333333333333,0.5,0.16666666666666669,7,1,1,1.3999999999999975,5.550000000000003,-1.3999999999999975,-5.550000000000003
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.5,1.0,0.5,7,1,1,0.36666666666666714,0.8000000000000007,-0.36666666666666714,-0.8000000000000007
BrCCCc1ccccc1,PE,50.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.028011204481792715,7,1,1,8.03250000000002,11.00750000000001,-8.03250000000002,-11.00750000000001
