canonical_smiles,loading solvent,V/ul,Volume of loading solvent/ul,Flow mL/min,column_specs,previous_ea_fraction,center_ea_fraction,following_ea_fraction,group_unique_ea,V1_abs_curvature,V2_abs_curvature,V1_monotonicity_violation,V2_monotonicity_violation
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,21.5075,41.14249999999994,False,True
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,32.25750000000001,32.97249999999991,True,True
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,0.6200000000000045,6.429999999999961,False,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.04999999999999738,0.5499999999999896,False,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,50.0,500,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,1.9833333333333358,5.883333333333329,True,True
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,7.35,52.86750000000012,True,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,5.307500000000003,1.6500000000000075,True,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,0.7700000000000067,3.429999999999966,False,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.699999999999995,3.1500000000000234,False,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,100.0,500,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.6166666666666679,1.449999999999992,False,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,58.72999999999999,188.1774999999999,True,True
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,28.160000000000007,63.497499999999924,True,True
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,1.2500000000000084,8.18999999999999,False,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.10000000000000253,3.950000000000009,False,False
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,DCM,150.0,500,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,1.0333333333333303,4.750000000000003,False,False
BrCCCc1ccccc1,PE,50.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,3.797500000000036,6.964999999999994,False,False
BrCCCc1ccccc1,PE,50.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,0.9349999999999836,0.3025000000000282,False,False
BrCCCc1ccccc1,PE,50.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,2.4999999999999982,0.28999999999998627,False,False
BrCCCc1ccccc1,PE,50.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.1499999999999967,7.349999999999998,False,True
BrCCCc1ccccc1,PE,50.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,1.3333333333333321,4.716666666666663,True,True
BrCCCc1ccccc1,PE,100.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,2.362500000000015,8.049999999999958,False,False
BrCCCc1ccccc1,PE,100.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,2.0074999999999785,2.9975000000000067,False,False
BrCCCc1ccccc1,PE,100.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,2.9100000000000112,8.820000000000011,False,False
BrCCCc1ccccc1,PE,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.2500000000000019,2.8499999999999917,False,False
BrCCCc1ccccc1,PE,100.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,2.56666666666667,2.6999999999999913,False,False
BrCCCc1ccccc1,PE,150.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,3.6924999999999626,32.46249999999998,False,False
BrCCCc1ccccc1,PE,150.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,4.895000000000023,9.184999999999974,False,False
BrCCCc1ccccc1,PE,150.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,1.0699999999999887,10.089999999999987,False,False
BrCCCc1ccccc1,PE,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.4499999999999955,2.3999999999999964,False,False
BrCCCc1ccccc1,PE,150.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,1.7166666666666648,3.3333333333333317,False,True
BrCc1ccccc1CBr,DCM,50.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,4.077499999999955,38.09749999999998,False,False
BrCc1ccccc1CBr,DCM,50.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,1.4575000000000249,2.722500000000032,False,False
BrCc1ccccc1CBr,DCM,50.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,0.30000000000000915,12.990000000000055,False,False
BrCc1ccccc1CBr,DCM,50.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.8499999999999999,0.5500000000000322,False,False
BrCc1ccccc1CBr,DCM,50.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,1.5166666666666642,3.7666666666666795,False,False
BrCc1ccccc1CBr,DCM,100.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,4.427500000000006,35.43750000000011,False,False
BrCc1ccccc1CBr,DCM,100.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,2.722499999999993,6.242499999999946,False,False
BrCc1ccccc1CBr,DCM,100.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,2.389999999999996,11.269999999999996,False,False
BrCc1ccccc1CBr,DCM,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,1.9499999999999957,4.7499999999999964,False,False
BrCc1ccccc1CBr,DCM,100.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.033333333333328885,0.2833333333333383,False,False
BrCc1ccccc1CBr,DCM,150.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,22.942500000000003,28.19250000000006,True,False
BrCc1ccccc1CBr,DCM,150.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,17.957499999999992,55.13750000000004,True,False
BrCc1ccccc1CBr,DCM,150.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,4.649999999999995,2.7999999999999847,True,False
BrCc1ccccc1CBr,DCM,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.44999999999999596,3.6499999999999955,False,False
BrCc1ccccc1CBr,DCM,150.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.9833333333333358,1.850000000000008,False,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,50.0,600,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,127.41749999999998,173.07500000000005,True,True
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,50.0,600,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,91.76749999999998,195.3875,True,True
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,50.0,600,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,21.210000000000008,76.84,False,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,50.0,600,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.7500000000000049,5.900000000000005,False,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,50.0,600,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.8833333333333306,13.800000000000004,False,True
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,100.0,600,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,4.637500000000033,148.73250000000002,False,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,100.0,600,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,12.457500000000024,11.74249999999995,True,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,100.0,600,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,2.720000000000016,11.50999999999997,True,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,100.0,600,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.5499999999999898,4.350000000000019,False,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,100.0,600,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.8666666666666598,2.2833333333333243,False,True
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,150.0,600,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,13.737500000000027,40.67000000000013,False,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,150.0,600,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,17.49000000000001,114.7575,True,True
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,150.0,600,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,4.010000000000001,91.54000000000003,True,True
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,150.0,600,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,1.049999999999999,31.100000000000012,False,False
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,DCM,150.0,600,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.8166666666666673,0.08333333333333193,False,False
Brc1cc2ccccc2c2ccccc12,DCM,50.0,400,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,3.8675000000000086,11.024999999999967,False,False
Brc1cc2ccccc2c2ccccc12,DCM,50.0,400,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,1.1824999999999992,1.0449999999999555,False,False
Brc1cc2ccccc2c2ccccc12,DCM,50.0,400,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,0.29000000000000004,18.240000000000013,False,False
Brc1cc2ccccc2c2ccccc12,DCM,50.0,400,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.29999999999999916,6.949999999999987,False,False
Brc1cc2ccccc2c2ccccc12,DCM,50.0,400,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,1.8333333333333341,10.76666666666666,False,False
Brc1cc2ccccc2c2ccccc12,DCM,100.0,400,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,1.8025000000000104,30.48499999999987,False,False
