mode,seed,split,kind,signal,error,n,spearman
row,42,train,gradient,V1_abs_gradient,mean_V1_endpoint_error,2192,0.4624355010760962
row,42,train,gradient,V1_abs_gradient,mean_V2_endpoint_error,2192,0.36828487941346316
row,42,train,gradient,V1_abs_gradient,mean_combined_endpoint_error,2192,0.498597967076836
row,42,train,gradient,V2_abs_gradient,mean_V1_endpoint_error,2192,0.4159640013915551
row,42,train,gradient,V2_abs_gradient,mean_V2_endpoint_error,2192,0.39826734562858035
row,42,train,gradient,V2_abs_gradient,mean_combined_endpoint_error,2192,0.493181611684422
row,42,validation,gradient,V1_abs_gradient,mean_V1_endpoint_error,32,0.34347507331378296
row,42,validation,gradient,V1_abs_gradient,mean_V2_endpoint_error,32,0.20197947214076245
row,42,validation,gradient,V1_abs_gradient,mean_combined_endpoint_error,32,0.29325513196480935
row,42,validation,gradient,V2_abs_gradient,mean_V1_endpoint_error,32,0.3779325513196481
row,42,validation,gradient,V2_abs_gradient,mean_V2_endpoint_error,32,0.18475073313782991
row,42,validation,gradient,V2_abs_gradient,mean_combined_endpoint_error,32,0.33321114369501464
row,42,test,gradient,V1_abs_gradient,mean_V1_endpoint_error,34,0.2663101604278075
row,42,test,gradient,V1_abs_gradient,mean_V2_endpoint_error,34,0.3912910618792972
row,42,test,gradient,V1_abs_gradient,mean_combined_endpoint_error,34,0.26692131398013746
row,42,test,gradient,V2_abs_gradient,mean_V1_endpoint_error,34,0.16485867074102367
row,42,test,gradient,V2_abs_gradient,mean_V2_endpoint_error,34,0.3946524064171123
row,42,test,gradient,V2_abs_gradient,mean_combined_endpoint_error,34,0.16455309396485868
row,525,train,gradient,V1_abs_gradient,mean_V1_endpoint_error,2148,0.36161140328611224
row,525,train,gradient,V1_abs_gradient,mean_V2_endpoint_error,2148,0.2801487239472297
row,525,train,gradient,V1_abs_gradient,mean_combined_endpoint_error,2148,0.38836002209354215
row,525,train,gradient,V2_abs_gradient,mean_V1_endpoint_error,2148,0.2974615799931238
row,525,train,gradient,V2_abs_gradient,mean_V2_endpoint_error,2148,0.28060884246490353
row,525,train,gradient,V2_abs_gradient,mean_combined_endpoint_error,2148,0.3569465814457775
row,525,validation,gradient,V1_abs_gradient,mean_V1_endpoint_error,37,0.6332760369135311
row,525,validation,gradient,V1_abs_gradient,mean_V2_endpoint_error,37,0.262936400201088
row,525,validation,gradient,V1_abs_gradient,mean_combined_endpoint_error,37,0.5869243090151427
row,525,validation,gradient,V2_abs_gradient,mean_V1_endpoint_error,37,0.5967283072546229
row,525,validation,gradient,V2_abs_gradient,mean_V2_endpoint_error,37,0.4065908013276434
row,525,validation,gradient,V2_abs_gradient,mean_combined_endpoint_error,37,0.5889046941678521
row,525,test,gradient,V1_abs_gradient,mean_V1_endpoint_error,39,-0.01710612887458218
row,525,test,gradient,V1_abs_gradient,mean_V2_endpoint_error,39,0.18928083429271406
row,525,test,gradient,V1_abs_gradient,mean_combined_endpoint_error,39,0.14120147798841504
row,525,test,gradient,V2_abs_gradient,mean_V1_endpoint_error,39,-0.026923076923076925
row,525,test,gradient,V2_abs_gradient,mean_V2_endpoint_error,39,0.2425101214574899
row,525,test,gradient,V2_abs_gradient,mean_combined_endpoint_error,39,0.15829959514170042
row,1101,train,gradient,V1_abs_gradient,mean_V1_endpoint_error,2187,0.48654546732985726
row,1101,train,gradient,V1_abs_gradient,mean_V2_endpoint_error,2187,0.40435147036501695
row,1101,train,gradient,V1_abs_gradient,mean_combined_endpoint_error,2187,0.5250838249322229
row,1101,train,gradient,V2_abs_gradient,mean_V1_endpoint_error,2187,0.44306596862457837
row,1101,train,gradient,V2_abs_gradient,mean_V2_endpoint_error,2187,0.47300016375780507
row,1101,train,gradient,V2_abs_gradient,mean_combined_endpoint_error,2187,0.5539133235599946
row,1101,validation,gradient,V1_abs_gradient,mean_V1_endpoint_error,42,0.49015476865732116
row,1101,validation,gradient,V1_abs_gradient,mean_V2_endpoint_error,42,0.4642249412527349
row,1101,validation,gradient,V1_abs_gradient,mean_combined_endpoint_error,42,0.5857710072117333
row,1101,validation,gradient,V2_abs_gradient,mean_V1_endpoint_error,42,0.502795559517057
row,1101,validation,gradient,V2_abs_gradient,mean_V2_endpoint_error,42,0.4658455554655214
row,1101,validation,gradient,V2_abs_gradient,mean_combined_endpoint_error,42,0.6136455716716637
row,1101,test,gradient,V1_abs_gradient,mean_V1_endpoint_error,35,0.2941176470588236
row,1101,test,gradient,V1_abs_gradient,mean_V2_endpoint_error,35,0.4554621848739496
row,1101,test,gradient,V1_abs_gradient,mean_combined_endpoint_error,35,0.4554621848739496
row,1101,test,gradient,V2_abs_gradient,mean_V1_endpoint_error,35,0.1285714285714286
row,1101,test,gradient,V2_abs_gradient,mean_V2_endpoint_error,35,0.28767507002801124
row,1101,test,gradient,V2_abs_gradient,mean_combined_endpoint_error,35,0.32492997198879553
compound,42,train,gradient,V1_abs_gradient,mean_V1_endpoint_error,2754,0.46221261333818014
compound,42,train,gradient,V1_abs_gradient,mean_V2_endpoint_error,2754,0.3650923426611945
