mode,seed,split,left,right,left_bin,right_bin,n,mean_combined_error,mean_V1_abs_error,mean_V2_abs_error,mean_V1_width,mean_V2_width
compound,42,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(5.346, 6.172]",21,0.1604033805888981,1.0602162000000004,2.513462142857143,2.664276880952381,4.757290071428573
compound,42,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(6.172, 9.189]",23,0.23081847003324046,2.077302395652174,2.343669108695652,3.1136444521739124,4.981754413043478
compound,42,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(9.189, 63.756]",38,1.153257736694566,9.67841469736842,15.98383747368421,10.94142085,11.859092881578945
compound,42,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(0.598, 4.724]",2,0.6919916140935156,6.79617775,6.7179405,1.8734338000000001,3.6217575
compound,42,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(4.724, 5.346]",4,0.08260782853147677,0.6620113249999999,0.8412058750000004,2.55775075,3.269217875
compound,42,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(5.346, 6.172]",36,0.20052089343704046,1.7020201833333337,2.452018736111111,2.043328672222222,3.2865811388888893
compound,42,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(6.172, 9.189]",30,0.2688281953149111,2.48704544,2.964848783333333,2.7108565799999997,3.9423550833333336
compound,42,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(9.189, 63.756]",31,1.3373706048001615,10.270117838709675,20.91644319354839,6.999751780645162,8.627231451612904
compound,42,test,ea_fraction,V1_q50,"(0.167, 0.333]","(0.598, 4.724]",9,0.23275158491830292,2.2104927444444447,2.3232825555555556,2.1760216444444445,3.8869970111111107
compound,42,test,ea_fraction,V1_q50,"(0.167, 0.333]","(4.724, 5.346]",12,0.131013699341855,1.1224546416666665,1.3979069166666669,2.3079537166666664,3.0890334999999998
compound,42,test,ea_fraction,V1_q50,"(0.167, 0.333]","(5.346, 6.172]",21,0.1658717882646936,0.7541540666666667,3.2286331190476187,2.866842666666667,3.333115833333333
compound,42,test,ea_fraction,V1_q50,"(0.167, 0.333]","(6.172, 9.189]",9,0.5905222412553566,4.234978744444444,9.968823333333333,3.4648371,4.272799777777778
compound,42,test,ea_fraction,V1_q50,"(0.167, 0.333]","(9.189, 63.756]",11,1.058907159197619,8.919682281818181,15.043429727272729,5.086784227272727,6.603779318181818
compound,42,test,ea_fraction,V1_q50,"(0.333, 0.5]","(0.598, 4.724]",15,0.1676646419748354,1.2809866933333338,2.12116512,2.0253081666666666,3.6762643199999996
compound,42,test,ea_fraction,V1_q50,"(0.333, 0.5]","(4.724, 5.346]",21,0.09172271752749601,0.5605755571428572,1.5052393666666666,2.2509999809523813,3.38514680952381
compound,42,test,ea_fraction,V1_q50,"(0.333, 0.5]","(5.346, 6.172]",12,0.478774293276169,2.901141175,8.481656458333331,3.0238115750000003,4.423388691666666
compound,42,test,ea_fraction,V1_q50,"(0.333, 0.5]","(6.172, 9.189]",15,0.40783693476678934,2.912163393333333,6.682669100000002,4.3592405266666665,5.165486400000002
