mode,seed,split,signal,error,n,spearman
row,42,train,V1_interval_width_clipped,V1_abs_error,3330,0.3887272303822174
row,42,train,V1_interval_width_clipped,V2_abs_error,3330,0.4102462789758264
row,42,train,V1_interval_width_clipped,combined_normalized_error,3330,0.5158267757382297
row,42,train,V2_interval_width_clipped,V1_abs_error,3330,0.320709277901644
row,42,train,V2_interval_width_clipped,V2_abs_error,3330,0.39990603659995383
row,42,train,V2_interval_width_clipped,combined_normalized_error,3330,0.4519808664083129
row,42,train,descriptor_nn_distance,V1_abs_error,3330,
row,42,train,descriptor_nn_distance,V2_abs_error,3330,
row,42,train,descriptor_nn_distance,combined_normalized_error,3330,
row,42,train,condition_nn_distance,V1_abs_error,3330,
row,42,train,condition_nn_distance,V2_abs_error,3330,
row,42,train,condition_nn_distance,combined_normalized_error,3330,
row,42,train,ea_fraction,V1_abs_error,3330,-0.19878309807246267
row,42,train,ea_fraction,V2_abs_error,3330,-0.1574737869020207
row,42,train,ea_fraction,combined_normalized_error,3330,-0.24072880071053587
row,42,train,V1_q50,V1_abs_error,3330,0.3928820184056317
row,42,train,V1_q50,V2_abs_error,3330,0.3544426088818876
row,42,train,V1_q50,combined_normalized_error,3330,0.46747355117789385
row,42,train,V2_q50,V1_abs_error,3330,0.37667608220180127
row,42,train,V2_q50,V2_abs_error,3330,0.4410320299274964
row,42,train,V2_q50,combined_normalized_error,3330,0.525431446487121
row,42,train,true_retention_magnitude,V1_abs_error,3330,0.4228995603580389
row,42,train,true_retention_magnitude,V2_abs_error,3330,0.4056488975872191
row,42,train,true_retention_magnitude,combined_normalized_error,3330,0.5452866193562139
row,42,train,predicted_retention_magnitude,V1_abs_error,3330,0.3866621147972436
row,42,train,predicted_retention_magnitude,V2_abs_error,3330,0.4335555681351541
row,42,train,predicted_retention_magnitude,combined_normalized_error,3330,0.5245058910097962
row,42,validation,V1_interval_width_clipped,V1_abs_error,416,0.36839895991812915
row,42,validation,V1_interval_width_clipped,V2_abs_error,416,0.3529095793270816
row,42,validation,V1_interval_width_clipped,combined_normalized_error,416,0.45652346670455285
row,42,validation,V2_interval_width_clipped,V1_abs_error,416,0.2606239616131349
row,42,validation,V2_interval_width_clipped,V2_abs_error,416,0.3440701252246301
row,42,validation,V2_interval_width_clipped,combined_normalized_error,416,0.39255202232516706
row,42,validation,descriptor_nn_distance,V1_abs_error,416,
row,42,validation,descriptor_nn_distance,V2_abs_error,416,
row,42,validation,descriptor_nn_distance,combined_normalized_error,416,
row,42,validation,condition_nn_distance,V1_abs_error,416,0.07302599200775856
