mode,seed,split,target,slice_signal,slice,n,coverage_80,mean_width,crossing_rate,mean_abs_error,width_error_spearman
compound,42,test,V1,overall,overall,373,0.6058981233243967,3.9011502000000005,0.00804289544235925,3.3582401689008043,0.5456406914734948
compound,42,train,V1,overall,overall,3401,0.8132902087621288,4.176111017024405,0.001470155836518671,1.304885774642752,0.44098976267782075
compound,42,validation,V1,overall,overall,389,0.6349614395886889,3.8981255146529565,0.015424164524421594,2.185470583033419,0.6007898111962092
compound,525,test,V1,overall,overall,414,0.7053140096618358,4.194186874637682,0.15217391304347827,2.462589393961353,0.35051990628471197
compound,525,train,V1,overall,overall,3321,0.7467630231857875,4.711680980304125,0.03462812405901837,2.2557118929418847,0.45459040637908316
compound,525,validation,V1,overall,overall,428,0.6448598130841121,5.034675884345795,0.12383177570093458,3.353600788785047,0.5315827415788011
compound,1101,test,V1,overall,overall,458,0.6026200873362445,4.0748283054585155,0.0,2.7842862866812226,0.4773445043007766
compound,1101,train,V1,overall,overall,3275,0.736793893129771,3.92216132448855,0.02198473282442748,1.3592615426748094,0.4685748974653537
compound,1101,validation,V1,overall,overall,430,0.6325581395348837,3.651659314883721,0.020930232558139535,2.350896424186047,0.4610696056878731
row,42,test,V1,overall,overall,417,0.7841726618705036,3.8003783573141487,0.009592326139088728,1.3641936676258994,0.3843086780003513
row,42,train,V1,overall,overall,3330,0.8144144144144144,4.047319579099099,0.005405405405405406,1.1762499512492492,0.3887272303822174
row,42,validation,V1,overall,overall,416,0.7644230769230769,3.8844718781250003,0.004807692307692308,1.3811172276442307,0.36839895991812915
row,525,test,V1,overall,overall,417,0.6402877697841727,2.747481146282974,0.03836930455635491,1.34991435323741,0.3376390904092326
row,525,train,V1,overall,overall,3330,0.7801801801801802,2.8309132054774775,0.016516516516516516,0.8896902652732732,0.34426203546771
row,525,validation,V1,overall,overall,416,0.71875,2.8926232987980764,0.026442307692307692,1.276479259375,0.43642800210043636
row,1101,test,V1,overall,overall,417,0.7410071942446043,4.066729747721823,0.023980815347721823,1.5384822115107912,0.42250690523474776
row,1101,train,V1,overall,overall,3330,0.7654654654654655,4.17195820072072,0.022822822822822823,1.367139323783784,0.427327722786143
row,1101,validation,V1,overall,overall,416,0.7259615384615384,3.810849890625,0.028846153846153848,1.636050458557692,0.3843013095368747
compound,42,test,V1,ea_fraction,"(0.008900000000000002, 0.0476]",82,0.6463414634146342,6.626068648780488,0.0,5.339295778048781,0.7120188069350573
compound,42,test,V1,ea_fraction,"(0.0476, 0.167]",103,0.49514563106796117,3.7461718970873785,0.009708737864077669,4.567943141747573,0.5321903966963933
compound,42,test,V1,ea_fraction,"(0.167, 0.333]",62,0.4838709677419355,3.1390563838709675,0.03225806451612903,2.9908458,0.5036136083201128
compound,42,test,V1,ea_fraction,"(0.333, 0.5]",63,0.6031746031746031,2.8464280777777784,0.0,1.7378259063492063,0.48372695852534564
