epoch,train_loss,normalized_valid_score,legacy_valid_score,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate,V1_quantile_crossing_rate,V2_quantile_crossing_rate
1,1161.376708984375,11.184579866895568,1364.5071962361326,21.86163330078125,24.096004486083984,-3.332153329084747,10.572772026062012,0.0,7.681460380554199,35.26987838745117,39.59519577026367,-1.7192332245858792,16.991342544555664,0.0,4.694161891937256,0.0,0.0,0.0
2,1108.005126953125,10.203841358192618,1243.2146797674359,20.955076217651367,23.09380340576172,-2.9792818128668768,10.145856857299805,0.0,8.321602821350098,33.7041130065918,37.67999267578125,-1.4625390399182372,16.23978614807129,0.0,4.806632041931152,0.0,0.0,0.0
3,1058.03564453125,9.232827735619892,1123.0053922301595,20.00055503845215,22.062686920166016,-2.6318718276209525,9.695385932922363,0.025,9.004364967346191,32.0374870300293,35.67192840576172,-1.2070625263703119,15.436737060546875,0.0,4.9366350173950195,0.0,0.0,0.0
4,1011.385986328125,8.30423016720328,1007.921156869299,19.04621696472168,21.035964965820312,-2.301707689324467,9.254132270812988,0.025,9.698301315307617,30.308605194091797,33.627647399902344,-0.9613471992124518,14.603668212890625,0.0,5.076016902923584,0.0,0.0,0.0
5,967.974609375,7.438193782204265,900.5106484906155,18.175230026245117,20.035423278808594,-1.9950959707137197,8.824540138244629,0.025,10.392511367797852,28.554113388061523,31.594064712524414,-0.7313006858356004,13.75999641418457,0.0,5.221495151519775,0.0,0.0,0.0
6,927.273193359375,6.659042937162036,803.7841795276636,17.32784652709961,19.095806121826172,-1.7207568688789006,8.405664443969727,0.05,11.062429428100586,26.826086044311523,29.63559913635254,-0.5233121602982982,12.930973052978516,0.0,5.365670204162598,0.0,0.0,0.0
7,888.8955688476562,5.976339619440597,719.0103186465312,16.516551971435547,18.233991622924805,-1.4807172817962901,8.018580436706543,0.05,11.688275337219238,25.16497039794922,27.80402374267578,-0.340839510472158,12.13467025756836,0.0,5.504209041595459,0.0,0.0,0.0
8,852.507568359375,5.391047002973166,646.2709719231643,15.758970260620117,17.465179443359375,-1.2759348263133146,7.655345439910889,0.05,12.261160850524902,23.596858978271484,26.12425994873047,-0.18372131744257558,11.383386611938477,0.0,5.635200500488281,0.0,0.0,0.0
9,817.8804931640625,4.898908177970567,585.0821626504221,15.130574226379395,16.793245315551758,-1.1041804064889518,7.331596851348877,0.05,12.772405624389648,22.150487899780273,24.619873046875,-0.05131563190593047,10.691023826599121,0.0,5.754005432128906,0.0,0.0,0.0
10,784.8355102539062,4.491325095360862,534.39913769958,14.568522453308105,16.216184616088867,-0.9620549105916121,7.041801929473877,0.075,13.216221809387207,20.847558975219727,23.299549102783203,0.058421621123553535,10.081567764282227,0.05,5.85671329498291,0.0,0.0,0.0
11,753.2486572265625,4.158901518884748,493.10085392590827,14.067937850952148,15.727164268493652,-0.8455023567447912,6.792463302612305,0.075,13.588635444641113,19.796527862548828,22.170122146606445,0.14749352672888894,9.58246898651123,0.05,5.941640853881836,0.0,0.0,0.0
12,722.8861083984375,3.893383585188219,460.1732635579474,13.632377624511719,15.321141242980957,-0.7514429602729271,6.575436115264893,0.075,13.8859224319458,18.99312400817871,21.233741760253906,0.21798591200755157,9.191079139709473,0.075,6.006948947906494,0.0,0.0,0.0
13,693.6365356445312,3.682154107775078,434.0337135333839,13.258626937866211,14.986199378967285,-0.6757019707652709,6.388433456420898,0.075,14.116665840148926,18.367013931274414,20.46692657470703,0.27344787583379304,8.86892032623291,0.075,6.055695533752441,0.0,0.0,0.0
14,665.3800659179688,3.515637685651236,413.4860816909959,12.979866027832031,14.712393760681152,-0.6150294657993527,6.2431111335754395,0.1,14.290176391601562,17.874767303466797,19.851022720336914,0.31651776209358806,8.607446670532227,0.025,6.086122989654541,0.0,0.0,0.0
15,638.04345703125,3.385113656842985,397.443251140724,12.747105598449707,14.489335060119629,-0.5664289079697784,6.119499206542969,0.1,14.412753105163574,17.466022491455078,19.365041732788086,0.349573281561844,8.404644012451172,0.025,6.100456714630127,0.0,0.0,0.0
16,611.6356811523438,3.281894799060561,384.81952929614636,12.559926986694336,14.30562973022461,-0.5269602295730189,6.014654636383057,0.1,14.495063781738281,17.12333869934082,18.9825439453125,0.3750139526580173,8.235228538513184,0.025,6.101675510406494,0.0,0.0,0.0
17,586.12158203125,3.197001861000026,374.492890531752,12.416807174682617,14.14841079711914,-0.49358189960251697,5.924644470214844,0.1,14.548149108886719,16.825227737426758,18.671655654907227,0.39531788601182305,8.088802337646484,0.025,6.093111515045166,0.0,0.0,0.0
18,561.5059204101562,3.124187958592734,365.67071807006323,12.287542343139648,14.009395599365234,-0.46437576979816364,5.841404438018799,0.1,14.582606315612793,16.554031372070312,18.406930923461914,0.41234250010967344,7.95542573928833,0.025,6.079865455627441,0.0,0.0,0.0
19,537.7617797851562,3.0575865519879106,357.6360812166058,12.162521362304688,13.878259658813477,-0.43708924553654827,5.7598724365234375,0.1,14.609071731567383,16.2960205078125,18.167552947998047,0.42752781935580475,7.8279290199279785,0.025,6.0641913414001465,0.0,0.0,0.0
20,514.7854614257812,2.9938916201121994,349.9573410531375,12.03882122039795,13.75125503540039,-0.4109071593472067,5.678308010101318,0.1,14.631631851196289,16.040069580078125,17.936573028564453,0.44199196191394385,7.700465679168701,0.025,6.048388957977295,0.0,0.0,0.0
21,492.5576171875,2.9280292103028,341.99644532901584,11.91052532196045,13.620368957519531,-0.38417658840846425,5.59330940246582,0.1,14.659319877624512,15.77209186553955,17.69078826904297,0.45718003358123194,7.565867900848389,0.025,6.033161163330078,0.0,0.0,0.0
22,471.0548095703125,2.8610842025794914,333.8803842027628,11.779836654663086,13.488014221191406,-0.35740603327759524,5.507441997528076,0.125,14.689969062805176,15.495577812194824,17.43294906616211,0.4728876353280793,7.425527095794678,0.025,6.0198493003845215,0.0,0.0,0.0
23,450.25164794921875,2.793086740258077,325.59531672486264,11.648422241210938,13.355649948120117,-0.33089505661497465,5.421855449676514,0.15,14.724609375,15.210210800170898,17.159366607666016,0.4893022282077266,7.279595851898193,0.05,6.0079145431518555,0.0,0.0,0.0
24,430.109130859375,2.724126615721539,317.1344023242291,11.51637077331543,13.224933624267578,-0.3049706362104312,5.335366249084473,0.15,14.763618469238281,14.91382122039795,16.866270065307617,0.5065995437247931,7.128427982330322,0.05,5.995637893676758,0.0,0.0,0.0
25,410.60821533203125,2.6546044584613093,308.54936869786707,11.383995056152344,13.096468925476074,-0.27974124853964333,5.247343063354492,0.15,14.806146621704102,14.606155395507812,16.55487060546875,0.5246505144995006,6.971215724945068,0.05,5.984580993652344,0.0,0.0,0.0
26,391.70654296875,2.58549656264627,299.9885766736461,11.248270988464355,12.969793319702148,-0.25510433733761206,5.15735387802124,0.15,14.852289199829102,14.293350219726562,16.234102249145508,0.5428928844069498,6.811524868011475,0.05,5.97334623336792,0.0,0.0,0.0
27,373.4299621582031,2.5178613710316693,291.5931291875945,11.110107421875,12.84607219696045,-0.23127321234912235,5.065832138061523,0.15,14.900239944458008,13.978286743164062,15.91047191619873,0.5609362330923002,6.650923728942871,0.05,5.960104465484619,0.0,0.0,0.0
28,355.806884765625,2.4520957795193747,283.4338918424937,10.968092918395996,12.724259376525879,-0.20803283330626732,4.972967624664307,0.15,14.948507308959961,13.665781021118164,15.59019660949707,0.5784348988032134,6.491421222686768,0.05,5.945613384246826,0.0,0.0,0.0
29,338.78094482421875,2.38981277661988,275.70394007101686,10.824203491210938,12.608055114746094,-0.18606894276604447,4.879728317260742,0.15,14.996917724609375,13.369308471679688,15.280110359191895,0.5950377996349189,6.336286544799805,0.05,5.929520606994629,0.0,0.0,0.0
30,322.3885803222656,2.330856608084644,268.4062657166951,10.690385818481445,12.495354652404785,-0.1649597484875911,4.787752151489258,0.15,15.044668197631836,13.091259956359863,14.984817504882812,0.6105386310354879,6.186941623687744,0.05,5.9114179611206055,0.0,0.0,0.0
31,306.63470458984375,2.274833854710579,261.484747987809,10.565485954284668,12.386151313781738,-0.14468639687689766,4.697274208068848,0.175,15.093035697937012,12.819952011108398,14.70156478881836,0.6251231602605264,6.04050350189209,0.05,5.891617774963379,0.0,0.0,0.0
32,291.5105285644531,2.2226267720516004,255.0663298712866,10.44226360321045,12.280672073364258,-0.12527338849816005,4.609241962432861,0.175,15.138101577758789,12.559331893920898,14.439627647399902,0.638362517748882,5.8995208740234375,0.05,5.87044095993042,0.0,0.0,0.0
33,276.9659423828125,2.1740023806630075,249.12184756346096,10.32972240447998,12.178584098815918,-0.1066423944100825,4.523192405700684,0.175,15.179621696472168,12.308988571166992,14.198868751525879,0.6503214912600889,5.763352394104004,0.05,5.8485846519470215,0.0,0.0,0.0
