method,bn_buffer_drift,bn_affine_parameter_drift,crossing_count
P0,40.14940658620113,0.06046011981289185,5
P1,40.15142035626344,0.05908842091648199,5
P2,0.0,0.041751319773693216,5
P3,0.0,0.038243149251772565,0
