method,stage,epoch,reported_step_loss,post_step_train_loss,train_loss,validation_score
P1,A,36.0,1569.2412109375,1565.3460693359375,1565.3460693359375,2.1557238111986
P1,A,37.0,1565.34619140625,1561.45947265625,1561.45947265625,2.152019291284145
P1,A,38.0,1561.45947265625,1557.5810546875,1557.5810546875,2.148318246377375
P1,A,39.0,1557.5810546875,1553.7109375,1553.7109375,2.144620575425803
P1,A,40.0,1553.7108154296875,1549.8489990234375,1549.8489990234375,2.140926782828947
P1,B,1.0,868.186279296875,1481.247314453125,1481.247314453125,2.098097314862448
P1,B,2.0,842.016845703125,1413.6004638671875,1413.6004638671875,2.053712417660897
P1,B,3.0,816.202880859375,1347.29833984375,1347.29833984375,2.008023503009554
P1,B,4.0,790.761474609375,1282.5579833984375,1282.5579833984375,1.9616407716998603
P1,B,5.0,765.7008666992188,1219.6873779296875,1219.6873779296875,1.9151066410855055
P1,B,6.0,741.0424194335938,1158.852294921875,1158.852294921875,1.868435236771085
P1,B,7.0,716.798828125,1100.22509765625,1100.22509765625,1.8218088221103612
P1,B,8.0,692.989501953125,1043.9283447265625,1043.9283447265625,1.7751685259091645
P1,B,9.0,669.6265869140625,990.0122680664062,990.0122680664062,1.728514320190959
P1,B,10.0,646.7216186523438,938.5423583984375,938.5423583984375,1.6821835401255738
P1,B,11.0,624.2859497070312,889.5548095703125,889.5548095703125,1.6362725154481044
P1,B,12.0,602.3359985351562,843.0377197265625,843.0377197265625,1.5908960830795174
P1,B,13.0,580.884765625,798.972900390625,798.972900390625,1.5460200724758557
P1,B,14.0,559.945068359375,757.3355102539062,757.3355102539062,1.501876449438294
P1,B,15.0,539.5300903320312,718.076171875,718.076171875,1.458502852777438
P1,B,16.0,519.6488037109375,681.11669921875,681.11669921875,1.415942136751203
P1,B,17.0,500.30615234375,646.3953857421875,646.3953857421875,1.3742211098894275
P1,B,18.0,481.51171875,613.8096923828125,613.8096923828125,1.3333441336900747
P1,B,19.0,463.27178955078125,583.2699584960938,583.2699584960938,1.2933162409580419
P1,B,20.0,445.59783935546875,554.6848754882812,554.6848754882812,1.2541898101214144
P1,B,21.0,428.49285888671875,527.9580078125,527.9580078125,1.2159799430769405
P1,B,22.0,411.956787109375,502.9927978515625,502.9927978515625,1.178695640109743
P1,B,23.0,395.99713134765625,479.6868896484375,479.6868896484375,1.142320713319776
P1,B,24.0,380.61102294921875,457.9390869140625,457.9390869140625,1.1069068377544249
P1,B,25.0,365.79541015625,437.64190673828125,437.64190673828125,1.0724087615371503
P1,B,26.0,351.5495910644531,418.69451904296875,418.69451904296875,1.0388031344483204
P1,B,27.0,337.873291015625,401.0043640136719,401.0043640136719,1.0060866929678878
P1,B,28.0,324.75848388671875,384.4770202636719,384.4770202636719,0.9742492082641625
P1,B,29.0,312.2027893066406,369.02777099609375,369.02777099609375,0.9432974403076072
P1,B,30.0,300.1968994140625,354.57891845703125,354.57891845703125,0.9132497701847265
P1,B,31.0,288.7286376953125,341.04608154296875,341.04608154296875,0.8840833082374449
P1,B,32.0,277.7867431640625,328.35247802734375,328.35247802734375,0.8557752479535855
P1,B,33.0,267.3570556640625,316.43121337890625,316.43121337890625,0.8283381738650498
P1,B,34.0,257.4280700683594,305.217529296875,305.217529296875,0.8017386956450895
P1,B,35.0,247.98928833007812,294.6502380371094,294.6502380371094,0.7759801291097566
P1,B,36.0,239.02371215820312,284.6805419921875,284.6805419921875,0.7510487547539961
P1,B,37.0,230.519775390625,275.2572021484375,275.2572021484375,0.7269257735925437
P1,B,38.0,222.46456909179688,266.3363342285156,266.3363342285156,0.7036354210036342
P1,B,39.0,214.84022521972656,257.8788146972656,257.8788146972656,0.6811893513635525
P1,B,40.0,207.62734985351562,249.85308837890625,249.85308837890625,0.6595846266682924
P2,A,1.0,1710.4869384765625,1706.3310546875,1706.3310546875,2.287234505520717
P2,A,2.0,1706.3310546875,1702.181884765625,1702.181884765625,2.2834428301839305
P2,A,3.0,1702.1817626953125,1698.038330078125,1698.038330078125,2.279651898512856
P2,A,4.0,1698.0384521484375,1693.901611328125,1693.901611328125,2.2758622121345007
P2,A,5.0,1693.901611328125,1689.77099609375,1689.77099609375,2.27207347247392
P2,A,6.0,1689.77099609375,1685.6468505859375,1685.6468505859375,2.2682860815938266
P2,A,7.0,1685.64697265625,1681.5294189453125,1681.5294189453125,2.2645001414840635
P2,A,8.0,1681.529541015625,1677.418701171875,1677.418701171875,2.2607154530388556
P2,A,9.0,1677.418701171875,1673.31494140625,1673.31494140625,2.256932519536263
P2,A,10.0,1673.31494140625,1669.2178955078125,1669.2178955078125,2.2531513407372348
P2,A,11.0,1669.2177734375,1665.1278076171875,1665.1278076171875,2.249371719269484
P2,A,12.0,1665.127685546875,1661.044677734375,1661.044677734375,2.2455943566484704
P2,A,13.0,1661.0445556640625,1656.9688720703125,1656.9688720703125,2.2418186531344375
P2,A,14.0,1656.96875,1652.9002685546875,1652.9002685546875,2.238045210607621
P2,A,15.0,1652.9002685546875,1648.8388671875,1648.8388671875,2.234273930339101
P2,A,16.0,1648.8388671875,1644.784912109375,1644.784912109375,2.2305049134305666
P2,A,17.0,1644.784912109375,1640.738525390625,1640.738525390625,2.2267381605471583
P2,A,18.0,1640.738525390625,1636.69970703125,1636.69970703125,2.2229741737534527
P2,A,19.0,1636.6995849609375,1632.668212890625,1632.668212890625,2.2192126530534892
P2,A,20.0,1632.6680908203125,1628.64453125,1628.64453125,2.2154537996732317
P2,A,21.0,1628.64453125,1624.628662109375,1624.628662109375,2.2116975139998174
P2,A,22.0,1624.62841796875,1620.6201171875,1620.6201171875,2.2079440972382622
P2,A,23.0,1620.6201171875,1616.6199951171875,1616.6199951171875,2.2041933498864297
P2,A,24.0,1616.619873046875,1612.62744140625,1612.62744140625,2.2004457732166167
P2,A,25.0,1612.62744140625,1608.6427001953125,1608.6427001953125,2.1967012677480793
P2,A,26.0,1608.6427001953125,1604.666015625,1604.666015625,2.1929597327664934
P2,A,27.0,1604.6661376953125,1600.697509765625,1600.697509765625,2.1892212699098508
P2,A,28.0,1600.6973876953125,1596.73681640625,1596.73681640625,2.185485979613605
P2,A,29.0,1596.73681640625,1592.784423828125,1592.784423828125,2.181754061969724
P2,A,30.0,1592.7843017578125,1588.8402099609375,1588.8402099609375,2.1780253177021076
P2,A,31.0,1588.8402099609375,1584.904052734375,1584.904052734375,2.174299847025853
P2,A,32.0,1584.904052734375,1580.9759521484375,1580.9759521484375,2.1705777511979862
P2,A,33.0,1580.9759521484375,1577.05615234375,1577.05615234375,2.166859129108623
P2,A,34.0,1577.05615234375,1573.14453125,1573.14453125,2.1631438812913393
P2,A,35.0,1573.1444091796875,1569.2413330078125,1569.2413330078125,2.1594321090298942
P2,A,36.0,1569.2412109375,1565.3460693359375,1565.3460693359375,2.1557238111986
P2,A,37.0,1565.34619140625,1561.45947265625,1561.45947265625,2.152019291284145
P2,A,38.0,1561.45947265625,1557.5810546875,1557.5810546875,2.148318246377375
P2,A,39.0,1557.5810546875,1553.7109375,1553.7109375,2.144620575425803
P2,A,40.0,1553.7108154296875,1549.8489990234375,1549.8489990234375,2.140926782828947
P2,B,1.0,1549.8489990234375,1485.649658203125,1485.649658203125,2.0920099584841614
P2,B,2.0,1485.649658203125,1421.2823486328125,1421.2823486328125,2.0416901330534225
P2,B,3.0,1421.2822265625,1356.873046875,1356.873046875,1.9900904472018772
P2,B,4.0,1356.873046875,1292.529052734375,1292.529052734375,1.9371424524599534
P2,B,5.0,1292.529052734375,1228.364013671875,1228.364013671875,1.8825428630680612
P2,B,6.0,1228.364013671875,1164.501708984375,1164.501708984375,1.826131801405842
P2,B,7.0,1164.501708984375,1101.092041015625,1101.092041015625,1.7680720090446254
P2,B,8.0,1101.0921630859375,1038.31640625,1038.31640625,1.7086215742299737
P2,B,9.0,1038.31640625,976.37548828125,976.37548828125,1.6476070078647198
P2,B,10.0,976.3754272460938,915.4991455078125,915.4991455078125,1.5851024931499098
P2,B,11.0,915.499267578125,855.916259765625,855.916259765625,1.5211531978127266
P2,B,12.0,855.916259765625,797.8385009765625,797.8385009765625,1.4559970432187215
P2,B,13.0,797.838623046875,741.5664672851562,741.5664672851562,1.3894209936995234
P2,B,14.0,741.5664672851562,687.4066772460938,687.4066772460938,1.3215838346268363
P2,B,15.0,687.40673828125,635.622802734375,635.622802734375,1.2524310638969736
P2,B,16.0,635.622802734375,586.51416015625,586.51416015625,1.182309034925464
P2,B,17.0,586.51416015625,540.357421875,540.357421875,1.1118240292946329
P2,B,18.0,540.357421875,497.49420166015625,497.49420166015625,1.0415052419263484
P2,B,19.0,497.4942321777344,458.1866455078125,458.1866455078125,0.97187298544115
P2,B,20.0,458.1866455078125,422.6662292480469,422.6662292480469,0.9037192144826158
P2,B,21.0,422.6662292480469,391.105224609375,391.105224609375,0.837916978127144
P2,B,22.0,391.105224609375,363.6539306640625,363.6539306640625,0.7755071679420177
P2,B,23.0,363.6539306640625,340.35333251953125,340.35333251953125,0.7178003902833847
P2,B,24.0,340.35333251953125,321.1677551269531,321.1677551269531,0.6663687007223001
P2,B,25.0,321.16778564453125,305.9062805175781,305.9062805175781,0.6226543354215034
P2,B,26.0,305.90625,294.29248046875,294.29248046875,0.5880056054453728
P2,B,27.0,294.29248046875,285.94500732421875,285.94500732421875,0.5633809484410998
P2,B,28.0,285.94500732421875,280.3774108886719,280.3774108886719,0.5489415453862916
P2,B,29.0,280.37744140625,277.0384826660156,277.0384826660156,0.5437980912168753
P2,B,30.0,277.0384826660156,275.30523681640625,275.30523681640625,0.5463951879877733
P2,B,31.0,275.30523681640625,274.5680236816406,274.5680236816406,0.5546257018019527
P2,B,32.0,274.5680236816406,274.2515563964844,274.2515563964844,0.5661787561944995
P2,B,33.0,274.2515563964844,273.83392333984375,273.83392333984375,0.5789852192003528
P2,B,34.0,273.83392333984375,272.91644287109375,272.91644287109375,0.5911692021382376
P2,B,35.0,272.91644287109375,271.2149658203125,271.2149658203125,0.6014120991976238
P2,B,36.0,271.2149658203125,268.56134033203125,268.56134033203125,0.6088392647679272
P2,B,37.0,268.5613098144531,264.89825439453125,264.89825439453125,0.6129331297086853
P2,B,38.0,264.8982849121094,260.2767333984375,260.2767333984375,0.6134766384351421
P2,B,39.0,260.2767028808594,254.83050537109375,254.83050537109375,0.6105741994625039
P2,B,40.0,254.8305206298828,248.74313354492188,248.74313354492188,0.6045389502297832
P3,A,1.0,1710.4869384765625,282.2166748046875,282.2166748046875,0.445666532111464
P3,A,2.0,282.2166748046875,176.01116943359375,176.01116943359375,0.43112858565866924
P3,A,3.0,176.0111541748047,139.01222229003906,139.01222229003906,0.3562465586569965
P3,A,4.0,139.01223754882812,125.38858032226562,125.38858032226562,0.3428672825962158
P3,A,5.0,125.38858032226562,120.85604095458984,120.85604095458984,0.3663841962804874
P3,A,6.0,120.85603332519531,116.24485778808594,116.24485778808594,0.44695546142797676
P3,A,7.0,116.24485778808594,111.05398559570312,111.05398559570312,0.5360570417142811
P3,A,8.0,111.05398559570312,106.19267272949219,106.19267272949219,0.48931184413521667
P3,A,9.0,106.19267272949219,102.70341491699219,102.70341491699219,0.4665037459191585
P3,A,10.0,102.70341491699219,100.65737915039062,100.65737915039062,0.4794715401790127
P3,A,11.0,100.6573715209961,97.44981384277344,97.44981384277344,0.4648980647874755
P3,A,12.0,97.44981384277344,95.50931549072266,95.50931549072266,0.4304787798369665
P3,A,13.0,95.50931549072266,93.25527954101562,93.25527954101562,0.40047885823919405
P3,A,14.0,93.25527954101562,91.16624450683594,91.16624450683594,0.3993822881786304
P3,B,1.0,125.38858032226562,116.06991577148438,116.06991577148438,0.35375840807675724
P3,B,2.0,116.0699234008789,105.77879333496094,105.77879333496094,0.42821438212092827
P3,B,3.0,105.7787857055664,91.87820434570312,91.87820434570312,0.4267197530236267
P3,B,4.0,91.8781967163086,77.08697509765625,77.08697509765625,0.3287028246880341
P3,B,5.0,77.08696746826172,72.5837173461914,72.5837173461914,0.30106213953215005
P3,B,6.0,72.58372497558594,64.2034912109375,64.2034912109375,0.3034606508149584
P3,B,7.0,64.2034912109375,59.346397399902344,59.346397399902344,0.3136028738721469
P3,B,8.0,59.346397399902344,55.31702423095703,55.31702423095703,0.3473267110980726
P3,B,9.0,55.31702423095703,51.21334457397461,51.21334457397461,0.35606406295708404
P3,B,10.0,51.21334457397461,47.69241714477539,47.69241714477539,0.3435849614396738
P3,B,11.0,47.692420959472656,44.580360412597656,44.580360412597656,0.36119864551302466
P3,B,12.0,44.580360412597656,41.511207580566406,41.511207580566406,0.37860412586457864
P3,B,13.0,41.511207580566406,37.81090545654297,37.81090545654297,0.3888564025169681
P3,B,14.0,37.810909271240234,35.0107307434082,35.0107307434082,0.39460776680356513
P3,B,15.0,35.0107307434082,32.61796569824219,32.61796569824219,0.3827677132350244
