epoch,train_loss,normalized_valid_score,legacy_valid_score
1,1289.1322021484375,1.9241033411401922,396.2553779952732
2,1272.08447265625,1.9239530756867604,396.0925628985724
3,1250.095703125,1.9263792913005984,396.2010648335954
4,1225.789306640625,1.9300951208554586,396.45539556154927
5,1198.913818359375,1.9367712302526372,397.04534021623203
6,1169.820068359375,1.9462218761191408,397.96113817237165
7,1139.0596923828125,1.9596070449943608,399.2900360989297
8,1107.6484375,1.9700428144697317,400.1617558589742
9,1076.2535400390625,1.9724640776147382,399.9130882897025
10,1045.2685546875,1.9686582043120697,398.7624159911811
11,1014.8509521484375,1.961758616910861,396.98727798830896
12,985.1700439453125,1.9509737698793075,394.43114394510576
13,956.1865844726562,1.9356965127354733,390.92889742468833
14,927.789306640625,1.9123847464105208,386.02481095429357
15,900.03759765625,1.8818283572272492,379.8180629813005
16,872.9800415039062,1.8462168189887471,372.56666760682674
17,846.5762329101562,1.8039557223492424,364.0462188321935
18,821.001708984375,1.756989623540003,354.6692510259536
19,796.10986328125,1.7071007605991912,344.79247683146514
20,771.7168579101562,1.6553132867913778,334.5864092063148
21,747.6795043945312,1.6015114311573115,323.97355309301565
22,723.9715576171875,1.54648577010329,313.0334129491339
23,700.6427001953125,1.4915306670601476,302.0613976202885
24,677.6519775390625,1.4366199875418812,291.05502659230206
25,654.9498901367188,1.382195692537774,280.0556459271111
26,632.396240234375,1.3266699104420683,268.87815663956826
27,609.89404296875,1.272073403689489,257.8115453786386
28,587.3958129882812,1.2186468039258083,246.93962849016702
29,564.811767578125,1.1661129102896965,236.15886897722794
30,542.1062622070312,1.11407545314195,225.48059546808145
31,519.355712890625,1.0607322678705005,214.53582507509805
32,496.557861328125,1.0076113203832686,203.61952449214027
33,473.749267578125,0.9557292654612117,193.00028461827787
34,451.05712890625,0.9048850298817804,182.59839878381263
35,428.5291442871094,0.855977653118736,172.58725408499777
36,406.2855529785156,0.8083131864082901,162.86363786700417
37,384.4295349121094,0.7645027226486166,153.90386499554506
38,363.1032409667969,0.7223458367906419,145.37618115246096
39,342.43218994140625,0.6797973058897884,136.85994983129626
40,322.3669128417969,0.6379084786727631,128.46912210351024
41,302.9301452636719,0.6018293311691996,121.15456869429681
42,284.0063171386719,0.5707112688507422,114.86205854970854
43,265.7135314941406,0.5463544315916166,109.93234464799275
44,248.1405792236328,0.523465856369252,105.30689904157657
45,231.44174194335938,0.5027782315580098,101.11346663015934
46,215.90480041503906,0.481468578396068,96.79070138107909
47,201.4656219482422,0.45405551625078133,91.22655886830057
48,187.97964477539062,0.4226881327164581,84.82782290435193
49,175.36264038085938,0.39320824705901347,78.69904170924451
50,163.58621215820312,0.36854159589516994,73.45356033800317
51,152.58506774902344,0.3487057104044806,69.15675720537729
52,142.28883361816406,0.34327560264777923,67.83265643346022
53,132.799072265625,0.3576125295231002,70.56912182954238
54,124.18914794921875,0.3892594620414088,76.95048118873115
55,116.51535034179688,0.4209955013402368,83.50349666874922
56,109.68057250976562,0.4421294134084617,87.87757792089815
57,103.27527618408203,0.4591900660780164,91.30966400723037
58,97.17161560058594,0.4823719497569315,95.81394979157176
59,91.57585144042969,0.5109943160980035,101.42639752989726
60,86.8170166015625,0.5422639738319931,107.66552517354353
61,82.51261901855469,0.5605677824968054,111.26137882910575
62,78.49526977539062,0.5629355424384562,111.57760690585269
63,75.00871276855469,0.5541461836232662,109.48775988148009
64,72.16361999511719,0.5303676253119791,104.32607189040982
65,71.97746276855469,0.5106511302168282,99.87439899695778
66,72.66654968261719,0.4793327433419868,93.33514563876884
67,64.60142517089844,0.46355984115890836,89.97126655660645
68,66.20820617675781,0.45228037786678155,87.4000997949995
69,61.97846984863281,0.4424717535173219,85.32501043180355
70,60.87335205078125,0.4247213517182713,81.82763354117242
71,59.54078674316406,0.3960323683659136,75.96633147122748
72,56.95036315917969,0.36030082352128734,68.64741185549451
73,57.05514144897461,0.33269127201938087,63.15897141894379
74,54.1471061706543,0.3147687950358321,59.73851881470682
75,54.84184265136719,0.2906228917668582,54.98735410724316
76,52.08137512207031,0.27036868611132514,50.87417118830854
77,52.91886901855469,0.2625444992990681,49.5293887261912
78,50.44631576538086,0.2585336672363501,49.02246502172926
79,51.228965759277344,0.2441677832436946,46.04571792666445
80,49.106876373291016,0.23337671865963006,43.7684953999065
81,49.76228713989258,0.23066918013547283,43.49456528629122
82,47.94023895263672,0.22992675376898614,43.63767037631402
83,48.50967788696289,0.22228236724802158,42.00867710480907
84,46.973838806152344,0.21868680916907718,41.317642245874026
85,47.2651252746582,0.22022845399564794,41.954838890571125
86,46.0912971496582,0.21867662851370903,41.782977693509736
87,46.169620513916016,0.21434442709387874,40.61989633227563
88,45.312931060791016,0.2127889773747189,40.29853785976644
89,45.18434524536133,0.21291467438518033,40.726109633451756
90,44.61736297607422,0.21159129507303231,40.49065536008618
91,44.269813537597656,0.21090057742715462,39.9844535051904
92,43.97679138183594,0.211703058943552,40.180311845415474
93,43.44862365722656,0.21044928312091857,40.28034176652466
94,43.37137222290039,0.20900338311464267,39.90236703722002
95,42.71065902709961,0.2104234312167726,39.97111424557568
96,42.69975662231445,0.21333202534289336,40.74453401811803
97,42.12355041503906,0.21490269423264224,41.162080075008134
98,42.07072830200195,0.21583941227632528,41.1020695511649
99,41.716712951660156,0.21568632498223092,41.099239043271496
100,41.46660614013672,0.21431869169002843,41.03189263600518
101,41.33477783203125,0.21759319623735515,41.354617082450716
102,40.931461334228516,0.2219095389692308,41.95892293825381
103,40.86631774902344,0.22085601454592957,42.00163384162818
104,40.53792190551758,0.21826758882193298,41.52926382059201
105,40.391754150390625,0.2186607583959062,41.43578639779258
106,40.215126037597656,0.21572150407011811,41.01694790064096
107,39.97504806518555,0.21083954739299376,40.25328476396686
108,39.88627624511719,0.20921877702501973,39.782162363447014
109,39.639251708984375,0.2067382424208042,39.27944252302689
110,39.49769973754883,0.20398455822140094,38.828174846115985
111,39.36602020263672,0.20471182729675447,38.85015154156741
112,39.166412353515625,0.20546869835194165,38.90419653542136
113,39.07565689086914,0.20387954108960987,38.74591040123323
114,38.92582702636719,0.20404165102620586,38.687484732022085
115,38.75421905517578,0.20487445608826094,38.77497730691954
116,38.672584533691406,0.20328095245275574,38.54941071087177
117,38.524288177490234,0.20372304857590706,38.52374890346471
118,38.36166000366211,0.2046252622460547,38.54621263733867
119,38.250308990478516,0.20311863782377687,38.32798234251845
120,38.07393264770508,0.20178498591487354,37.89586182457896
121,37.85309982299805,0.20135736035492222,37.76337618348231
122,37.703826904296875,0.20066741508360048,37.62736788191296
123,37.58033752441406,0.20542822842777098,38.389387939179926
124,37.40866470336914,0.20719185196030165,38.555915756674096
125,37.252052307128906,0.20999698454631482,39.202784763814805
126,37.11510467529297,0.21695441848119634,40.125157512266355
127,36.9476432800293,0.22316107404736862,41.2564770030213
128,36.810455322265625,0.2282442039463095,42.11267046033436
129,36.71249008178711,0.231698782076801,42.59957673926999
130,36.6212043762207,0.23040975057304158,42.46770219129405
131,36.519073486328125,0.22766131787820854,41.67933865603311
132,36.41577911376953,0.22332892243314525,40.93948096332963
133,36.361114501953125,0.21304985987128752,38.9368821410917
134,36.334739685058594,0.21019784789131923,38.45351974657666
