canonical_smiles,source_smiles,status,conformer_method,error,seconds
O=Cc1ccc(C=O)cc1,C1=CC(=CC=C1C=O)C=O,success,MMFF,,0.072
O=Cc1ccc([N+](=O)[O-])cc1,C1=CC(=CC=C1C=O)[N+](=O)[O-],success,MMFF,,0.0759
O=[N+]([O-])c1ccc(CCO)cc1,C1=CC(=CC=C1CCO)[N+](=O)[O-],success,MMFF,,0.099
Ic1ccc(I)cc1,C1=CC(=CC=C1I)I,success,MMFF,,0.0555
Oc1ccc(I)cc1,C1=CC(=CC=C1O)I,success,MMFF,,0.0591
Oc1ccc(OC(F)(F)F)cc1,C1=CC(=CC=C1O)OC(F)(F)F,success,MMFF,,0.0871
FC(F)(F)Oc1ccc(I)cc1,C1=CC(=CC=C1OC(F)(F)F)I,success,MMFF,,0.0858
Brc1ccc2occc2c1,C1=CC2=C(C=CO2)C=C1Br,success,MMFF,,0.0689
N#Cc1ccccc1Br,C1=CC=C(C(=C1)C#N)Br,success,MMFF,,0.0595
N#Cc1ccccc1F,C1=CC=C(C(=C1)C#N)F,success,MMFF,,0.0583
O=Cc1ccccc1O,C1=CC=C(C(=C1)C=O)O,success,MMFF,,0.0655
O=Cc1ccccc1[N+](=O)[O-],C1=CC=C(C(=C1)C=O)[N+](=O)[O-],success,MMFF,,0.0775
BrCc1ccccc1CBr,C1=CC=C(C(=C1)CBr)CBr,success,MMFF,,0.0834
Clc1ccccc1I,C1=CC=C(C(=C1)Cl)I,success,MMFF,,0.0518
FC(F)(F)Oc1ccccc1I,C1=CC=C(C(=C1)OC(F)(F)F)I,success,MMFF,,0.0752
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,success,MMFF,,0.1932
O=C(/C=C/c1ccccc1)c1ccccc1,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,success,MMFF,,0.1614
O=C(O)/C=C/c1ccccc1,C1=CC=C(C=C1)/C=C/C(=O)O,success,MMFF,,0.0919
C(=C/c1ccccc1)\c1ccccc1,C1=CC=C(C=C1)/C=C/C2=CC=CC=C2,success,MMFF,,0.1322
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Br)C3=CC=CC=C3,success,MMFF,,0.2347
O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)C(=O)C3=CC=CC=C3,success,MMFF,,0.2431
N#Cc1ccc(C(=O)c2ccccc2)cc1,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C#N,success,MMFF,,0.1309
O=C(c1ccccc1)c1ccc(Cl)cc1,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,success,MMFF,,0.1228
