CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2,source_row_1based,sample_id,V1_ml,V2_ml,decision,decision_reason,quality_flags,reviewer
120-50-3,Isobutyl benzoate,0.99,0.996,100.0,PE,200,1/1,10,2023-05-17_11-23-17,Silica-CS 4g,633.0,1112.0,CC(C)COC(=O)C1=CC=CC=C1,633.0,1112.0,58,e7a1b39854237234e083,5.275,9.266666666666667,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,100.0,PE,200,1/1,5,2023-05-17_11-33-26,Silica-CS 4g,1103.0,1761.0,CC(C)COC(=O)C1=CC=CC=C1,1103.0,1761.0,59,dbe53fd128925fb48a31,4.595833333333333,7.3375,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,1/1,10,2023-05-17_15-16-09,Silica-CS 4g,637.0,942.0,CC(C)COC(=O)C1=CC=CC=C1,637.0,942.0,60,ed8874c56515830db791,5.308333333333334,7.85,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,1/1,5,2023-05-17_11-40-52,Silica-CS 4g,1081.0,1818.0,CC(C)COC(=O)C1=CC=CC=C1,1081.0,1818.0,61,2b9d93829eefac047d26,4.504166666666666,7.575,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,1/1,5,2023-05-17_15-09-32,Silica-CS 4g,1128.0,1917.0,CC(C)COC(=O)C1=CC=CC=C1,1128.0,1917.0,62,920dbde1a4d0fdf60ec7,4.7,7.9875,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,100/1,10,2023-05-17_15-16-09,Silica-CS 4g,637.0,942.0,CC(C)COC(=O)C1=CC=CC=C1,637.0,942.0,63,81cd2078a0008c2c9cd9,5.308333333333334,7.85,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,100/1,5,2023-05-17_16-21-35,Silica-CS 4g,1888.0,5540.0,CC(C)COC(=O)C1=CC=CC=C1,1888.0,5540.0,64,781b8d96d8bc7c124dc9,7.866666666666666,23.083333333333332,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,100/1,10,2023-05-17_19-06-39,Silica-CS 4g,4716.0,7025.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,4716.0,7025.0,65,54bc75cc4d64dac2ed48,39.3,58.541666666666664,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,100/1,5,2023-05-17_19-29-20,Silica-CS 4g,6876.0,8750.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,6876.0,8750.0,66,7f4f64cb791c71ba0420,28.65,36.458333333333336,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,100.0,PE,200,100/1,10,2023-05-18_15-22-32,Silica-CS 4g,4044.0,7596.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,4044.0,7596.0,67,2424b103c34d3d2b6a9a,33.7,63.3,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,150.0,PE,200,100/1,10,2023-05-18_16-24-50,Silica-CS 4g,3926.0,7399.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,3926.0,7399.0,68,36b45fbdbace5950c108,32.71666666666667,61.65833333333333,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,50/1,10,2023-05-17_19-45-38,Silica-CS 4g,2550.0,3891.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2550.0,3891.0,69,b0764b94416833704b53,21.25,32.425,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,50/1,5,2023-05-17_20-17-32,Silica-CS 4g,4795.0,8051.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,4795.0,8051.0,70,9c74e865c47b45a09229,19.979166666666668,33.545833333333334,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,100.0,PE,200,50/1,10,2023-05-17_20-29-57,Silica-CS 4g,2364.0,4485.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2364.0,4485.0,71,54d9921472c8d46b7b9a,19.7,37.375,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,100.0,PE,200,50/1,5,2023-05-17_20-47-01,Silica-CS 4g,4818.0,8483.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,4818.0,8483.0,72,6d07662cb17b795ea5e2,20.075,35.34583333333333,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,150.0,PE,200,50/1,10,2023-05-18_16-59-42,Silica-CS 4g,2570.0,4350.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2570.0,4350.0,73,cbedf4ab0af735b39b3a,21.416666666666668,36.25,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,30/1,10,2023-05-18_10-11-55,Silica-CS 4g,2000.0,2906.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2000.0,2906.0,74,92bac523bed1042d6a75,16.666666666666668,24.216666666666665,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,30/1,5,2023-05-18_10-23-20,Silica-CS 4g,2877.0,4389.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2877.0,4389.0,75,704ba630f25fe7f20166,11.9875,18.2875,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,150.0,PE,200,30/1,10,2023-05-18_11-07-09,Silica-CS 4g,1873.0,3314.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1873.0,3314.0,76,246a1d68ed2f87de7d1f,15.608333333333333,27.616666666666667,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,150.0,PE,200,30/1,5,2023-05-18_12-28-04,Silica-CS 4g,3854.0,6479.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,3854.0,6479.0,77,34cf0942ff52b1b80385,16.058333333333334,26.995833333333334,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,20/1,10,2023-05-18_12-38-57,Silica-CS 4g,1640.0,2676.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1640.0,2676.0,78,91161a9006beb2042fa7,13.666666666666666,22.3,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,150.0,PE,200,20/1,10,2023-05-18_13-38-02,Silica-CS 4g,2979.0,4569.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2979.0,4569.0,79,591b1bb527d42e831f12,24.825,38.075,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,150.0,PE,200,20/1,5,2023-05-18_13-29-08,Silica-CS 4g,2706.0,5266.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2706.0,5266.0,80,c0c1e5902a4bf388fcd0,11.275,21.941666666666666,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,10/1,10,2023-05-18_14-31-45,Silica-CS 4g,1130.0,1910.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1130.0,1910.0,81,7b34ee010f42fdae95b5,9.416666666666666,15.916666666666666,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,10/1,5,2023-05-18_13-56-17,Silica-CS 4g,2146.0,3536.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2146.0,3536.0,82,cc7cdf5cd74e85a75b8b,8.941666666666666,14.733333333333333,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,100.0,PE,200,10/1,10,2023-05-18_14-02-54,Silica-CS 4g,1139.0,1850.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1139.0,1850.0,83,54a3411006f7051f1053,9.491666666666667,15.416666666666666,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,100.0,PE,200,10/1,5,2023-05-18_14-10-53,Silica-CS 4g,2112.0,3458.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2112.0,3458.0,84,9b6741031afcd6269be1,8.8,14.408333333333333,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,150.0,PE,200,10/1,5,2023-05-18_14-25-55,Silica-CS 4g,2083.0,3592.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2083.0,3592.0,85,d16128891be713f0643d,8.679166666666667,14.966666666666667,keep,,,user_confirmed_protocol_2026-08-13
120-51-4,Benzyl benzoate,0.98,1.097,50.0,PE,200,1/1,5,2023-05-18_14-42-30,Silica-CS 4g,1200.0,1749.0,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1200.0,1749.0,86,53ed31f6b009c4b99694,5.0,7.2875,keep,,,user_confirmed_protocol_2026-08-13
