CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2,source_row_1based,sample_id,V1_ml,V2_ml,decision,decision_reason,quality_flags,reviewer
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,40/1,10,2023-05-12_10-40-43,Silica-CS 4g,847.0,1848.0,CC(C)CCOC(=O)C1=CC=CC=C1,847.0,1848.0,2,c32ed74eba9d7dfc4860,7.058333333333334,15.4,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,40/1,8,2023-05-12_10-51-07,Silica-CS 4g,954.0,2306.0,CC(C)CCOC(=O)C1=CC=CC=C1,954.0,2306.0,3,9a478db27ef04d7bb59c,6.36,15.373333333333333,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,40/1,6,2023-05-12_11-00-18,Silica-CS 4g,1169.0,2910.0,CC(C)CCOC(=O)C1=CC=CC=C1,1169.0,2910.0,4,bfe9ce431b45599fd5e6,5.845,14.55,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,30/1,10,2023-05-12_11-17-48,Silica-CS 4g,782.0,1776.0,CC(C)CCOC(=O)C1=CC=CC=C1,782.0,1776.0,5,00024cd15c1b4e6c6ef8,6.516666666666667,14.8,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,30/1,8,2023-05-12_12-17-42,Silica-CS 4g,943.0,2285.0,CC(C)CCOC(=O)C1=CC=CC=C1,943.0,2285.0,6,85c21f6446e32913c1a9,6.286666666666667,15.233333333333333,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,30/1,6,2023-05-12_12-26-21,Silica-CS 4g,1313.0,3241.0,CC(C)CCOC(=O)C1=CC=CC=C1,1313.0,3241.0,7,8a288da5928f08936524,6.565,16.205,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,20/1,10,2023-05-12_13-02-46,Silica-CS 4g,777.0,1581.0,CC(C)CCOC(=O)C1=CC=CC=C1,777.0,1581.0,8,7937e75a777f4bf48438,6.475,13.175,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,20/1,8,2023-05-12_13-12-23,Silica-CS 4g,930.0,1686.0,CC(C)CCOC(=O)C1=CC=CC=C1,930.0,1686.0,9,aba0560d15516aeba617,6.2,11.24,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,20/1,6,2023-05-12_13-23-26,Silica-CS 4g,1136.0,2165.0,CC(C)CCOC(=O)C1=CC=CC=C1,1136.0,2165.0,10,0956abfd4514355d5383,5.68,10.825,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,20/1,4,2023-05-12_13-34-53,Silica-CS 4g,1575.0,3214.0,CC(C)CCOC(=O)C1=CC=CC=C1,1575.0,3214.0,11,98f205d21cdccb427f9e,5.25,10.713333333333333,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,10/1,8,2023-05-12_13-58-20,Silica-CS 4g,855.0,1407.0,CC(C)CCOC(=O)C1=CC=CC=C1,855.0,1407.0,12,16374e5b25572a4c37e5,5.7,9.38,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,10/1,6,2023-05-12_14-05-57,Silica-CS 4g,1061.0,1813.0,CC(C)CCOC(=O)C1=CC=CC=C1,1061.0,1813.0,13,26b3dfccf0d1cfb441c7,5.305,9.065,keep,,,user_confirmed_protocol_2026-08-13
94-46-2,Isopentyl benzoate,0.98,0.99,100.0,PE,200,10/1,4,2023-05-12_14-17-11,Silica-CS 4g,1507.0,2693.0,CC(C)CCOC(=O)C1=CC=CC=C1,1507.0,2693.0,14,a62a679c00aad3b9b8e5,5.023333333333333,8.976666666666667,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,100.0,PE,200,40/1,10,2023-05-16_10-28-17,Silica-CS 4g,420.0,534.0,CCOC(=O)C1=CC=C(C=C1)Cl,420.0,534.0,15,6c387793968257d2f169,3.5,4.45,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,100.0,PE,200,40/1,8,2023-05-16_10-38-29,Silica-CS 4g,1124.0,3371.0,CCOC(=O)C1=CC=C(C=C1)Cl,1124.0,3371.0,16,812adebe27af25dc2242,7.493333333333333,22.473333333333333,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,100.0,PE,200,40/1,6,2023-05-16_10-47-17,Silica-CS 4g,1379.0,4821.0,CCOC(=O)C1=CC=C(C=C1)Cl,1379.0,4821.0,17,f159b69487cebc7dcf97,6.895,24.105,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,40/1,6,2023-05-16_11-02-18,Silica-CS 4g,1639.0,4679.0,CCOC(=O)C1=CC=C(C=C1)Cl,1639.0,4679.0,18,19ac0f010c25e2c5360d,8.195,23.395,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,40/1,4,2023-05-16_11-14-05,Silica-CS 4g,2432.0,5759.0,CCOC(=O)C1=CC=C(C=C1)Cl,2432.0,5759.0,19,0fb4ba3b33f8740a6a8a,8.106666666666667,19.196666666666665,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,30/1,10,2023-05-16_12-13-08,Silica-CS 4g,1123.0,2357.0,CCOC(=O)C1=CC=C(C=C1)Cl,1123.0,2357.0,20,d15ae6c5a25f630d3055,9.358333333333333,19.641666666666666,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,30/1,8,2023-05-16_12-23-00,Silica-CS 4g,1245.0,2585.0,CCOC(=O)C1=CC=C(C=C1)Cl,1245.0,2585.0,21,e1b9d0166a4779c27067,8.3,17.233333333333334,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,30/1,6,2023-05-16_12-30-27,Silica-CS 4g,1777.0,3057.0,CCOC(=O)C1=CC=C(C=C1)Cl,1777.0,3057.0,22,d9481b0f826e3bfbbb60,8.885,15.285,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,30/1,4,2023-05-16_12-42-16,Silica-CS 4g,2443.0,4805.0,CCOC(=O)C1=CC=C(C=C1)Cl,2443.0,4805.0,23,ab49ee9538cdb7f47f70,8.143333333333333,16.016666666666666,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,20/1,10,2023-05-16_12-55-41,Silica-CS 4g,1109.0,1776.0,CCOC(=O)C1=CC=C(C=C1)Cl,1109.0,1776.0,24,b7e013953a302595b447,9.241666666666667,14.8,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,20/1,8,2023-05-16_13-00-55,Silica-CS 4g,1125.0,2231.0,CCOC(=O)C1=CC=C(C=C1)Cl,1125.0,2231.0,25,585d3167bdb0e8cd6b97,7.5,14.873333333333333,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,20/1,6,2023-05-16_13-08-33,Silica-CS 4g,1500.0,2997.0,CCOC(=O)C1=CC=C(C=C1)Cl,1500.0,2997.0,26,b819ee3c169e34252d65,7.5,14.985,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,10/1,10,2023-05-16_13-23-58,Silica-CS 4g,1069.0,1858.0,CCOC(=O)C1=CC=C(C=C1)Cl,1069.0,1858.0,27,89b6013d19ba95312c59,8.908333333333333,15.483333333333333,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,10/1,8,2023-05-16_13-29-59,Silica-CS 4g,1015.0,1927.0,CCOC(=O)C1=CC=C(C=C1)Cl,1015.0,1927.0,28,a8303fe76e948da2917b,6.766666666666667,12.846666666666666,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,10/1,6,2023-05-16_13-41-30,Silica-CS 4g,1214.0,2425.0,CCOC(=O)C1=CC=C(C=C1)Cl,1214.0,2425.0,29,c16aef24cbedd5b1b875,6.07,12.125,keep,,,user_confirmed_protocol_2026-08-13
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50.0,PE,200,10/1,4,2023-05-16_13-48-57,Silica-CS 4g,1916.0,3627.0,CCOC(=O)C1=CC=C(C=C1)Cl,1916.0,3627.0,30,331a940debe2ca50c35d,6.386666666666667,12.09,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,40/1,10,2023-05-16_14-56-00,Silica-CS 4g,932.0,1773.0,CC(C)COC(=O)C1=CC=CC=C1,932.0,1773.0,31,66d759515aa12dcf0810,7.766666666666667,14.775,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,40/1,6,2023-05-16_15-20-15,Silica-CS 4g,1182.0,2818.0,CC(C)COC(=O)C1=CC=CC=C1,1182.0,2818.0,32,ac76ec24edfe8aec7fb2,5.91,14.09,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,30/1,10,2023-05-16_15-35-00,Silica-CS 4g,800.0,1752.0,CC(C)COC(=O)C1=CC=CC=C1,800.0,1752.0,33,0f3200ec8aae2a81902a,6.666666666666667,14.6,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,30/1,8,2023-05-16_15-41-41,Silica-CS 4g,1054.0,1854.0,CC(C)COC(=O)C1=CC=CC=C1,1054.0,1854.0,34,daa955a2af22ac0c8460,7.026666666666666,12.36,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,30/1,4,2023-05-16_15-57-23,Silica-CS 4g,1852.0,3653.0,CC(C)COC(=O)C1=CC=CC=C1,1852.0,3653.0,35,e19bda1298f299931245,6.173333333333333,12.176666666666666,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,20/1,10,2023-05-16_16-09-04,Silica-CS 4g,885.0,1382.0,CC(C)COC(=O)C1=CC=CC=C1,885.0,1382.0,36,7a3708dd5094bb49d459,7.375,11.516666666666667,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,20/1,8,2023-05-16_16-14-57,Silica-CS 4g,1044.0,1659.0,CC(C)COC(=O)C1=CC=CC=C1,1044.0,1659.0,37,ae6ebf89dbdd202b5247,6.96,11.06,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,20/1,6,2023-05-16_16-21-15,Silica-CS 4g,1296.0,2151.0,CC(C)COC(=O)C1=CC=CC=C1,1296.0,2151.0,38,60f62af0f813d1d7e740,6.48,10.755,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,20/1,4,2023-05-16_16-29-22,Silica-CS 4g,1841.0,3112.0,CC(C)COC(=O)C1=CC=CC=C1,1841.0,3112.0,39,7d508d405f154f326fdb,6.136666666666667,10.373333333333333,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,10/1,10,2023-05-16_16-34-36,Silica-CS 4g,828.0,1413.0,CC(C)COC(=O)C1=CC=CC=C1,828.0,1413.0,40,008b682251848aa83f89,6.9,11.775,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,10/1,8,2023-05-16_16-39-56,Silica-CS 4g,943.0,1401.0,CC(C)COC(=O)C1=CC=CC=C1,943.0,1401.0,41,04533c20becd80f9b771,6.286666666666667,9.34,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,10/1,6,2023-05-16_16-45-35,Silica-CS 4g,1208.0,1829.0,CC(C)COC(=O)C1=CC=CC=C1,1208.0,1829.0,42,19e665b6098744dfb60c,6.04,9.145,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,50.0,PE,200,10/1,4,2023-05-16_16-51-51,Silica-CS 4g,1675.0,2646.0,CC(C)COC(=O)C1=CC=CC=C1,1675.0,2646.0,43,cb839ce268b9ea4fa20b,5.583333333333333,8.82,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,100.0,PE,200,100/1,10,2023-05-16_19-54-19,Silica-CS 4g,956.0,3221.0,CC(C)COC(=O)C1=CC=CC=C1,956.0,3221.0,44,d0cc8f9af20c2aaeb9d5,7.966666666666667,26.841666666666665,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,100/1,10,2023-05-16_20-22-04,Silica-CS 4g,923.0,3286.0,CC(C)COC(=O)C1=CC=CC=C1,923.0,3286.0,45,3016ab4b83227fcf83e4,7.691666666666666,27.383333333333333,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,100/1,5,2023-05-16_20-38-22,Silica-CS 4g,1631.0,6110.0,CC(C)COC(=O)C1=CC=CC=C1,1631.0,6110.0,46,e7c4d856d4d9a8d5ddbf,6.795833333333333,25.458333333333332,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,100.0,PE,200,50/1,10,2023-05-16_20-49-03,Silica-CS 4g,843.0,2792.0,CC(C)COC(=O)C1=CC=CC=C1,843.0,2792.0,47,5c11321c1ad5aec4ddf1,7.025,23.266666666666666,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,100.0,PE,200,50/1,5,2023-05-16_20-57-32,Silica-CS 4g,1509.0,4103.0,CC(C)COC(=O)C1=CC=CC=C1,1509.0,4103.0,48,6291930c715370a3b84f,6.2875,17.095833333333335,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,50/1,10,2023-05-16_21-05-44,Silica-CS 4g,809.0,2177.0,CC(C)COC(=O)C1=CC=CC=C1,809.0,2177.0,49,b4c266d3fe67315f0adf,6.741666666666666,18.141666666666666,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,30/1,10,2023-05-17_09-52-28,Silica-CS 4g,775.0,1703.0,CC(C)COC(=O)C1=CC=CC=C1,775.0,1703.0,50,c7ab6c7042f1d1d26570,6.458333333333333,14.191666666666666,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,30/1,5,2023-05-17_10-00-37,Silica-CS 4g,1388.0,3006.0,CC(C)COC(=O)C1=CC=CC=C1,1388.0,3006.0,51,463adede738923684058,5.783333333333333,12.525,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,100.0,PE,200,20/1,5,2023-05-17_10-18-37,Silica-CS 4g,1343.0,2642.0,CC(C)COC(=O)C1=CC=CC=C1,1343.0,2642.0,52,8d18a5b9f05363ff3a09,5.595833333333333,11.008333333333333,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,20/1,10,2023-05-17_10-25-05,Silica-CS 4g,708.0,1416.0,CC(C)COC(=O)C1=CC=CC=C1,708.0,1416.0,53,777a43423f6522997450,5.9,11.8,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,20/1,5,2023-05-17_10-31-11,Silica-CS 4g,1284.0,2743.0,CC(C)COC(=O)C1=CC=CC=C1,1284.0,2743.0,54,73d2b61a089521939a3e,5.35,11.429166666666667,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,100.0,PE,200,10/1,10,2023-05-17_10-46-34,Silica-CS 4g,735.0,1193.0,CC(C)COC(=O)C1=CC=CC=C1,735.0,1193.0,55,87f560465eb2acd030e0,6.125,9.941666666666666,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,100.0,PE,200,10/1,5,2023-05-17_11-06-07,Silica-CS 4g,1320.0,2141.0,CC(C)COC(=O)C1=CC=CC=C1,1320.0,2141.0,56,81627208cc398faac5a2,5.5,8.920833333333333,keep,,,user_confirmed_protocol_2026-08-13
120-50-3,Isobutyl benzoate,0.99,0.996,150.0,PE,200,10/1,10,2023-05-17_10-54-59,Silica-CS 4g,725.0,1192.0,CC(C)COC(=O)C1=CC=CC=C1,725.0,1192.0,57,8e175dc1200d398d3489,6.041666666666667,9.933333333333334,keep,,,user_confirmed_protocol_2026-08-13
