epoch,train_loss,valid_score,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,quantile_crossing_rate
1,369.6968078613281,260.31542859427464,5.927065372467041,9.276355743408203,-0.5644992565521278,11.125762939453125,18.6689395904541,-0.490910209767109,0.9086538461538461
2,210.03973388671875,267.1045702885849,7.535451889038086,10.384922981262207,-0.9607722092621167,9.841608047485352,17.847013473510742,-0.36252129600537675,0.6875
3,148.38304138183594,239.36894716026563,7.062602519989014,10.070111274719238,-0.8436954092488689,8.663976669311523,16.61094856262207,-0.18032349121211144,0.9927884615384616
4,133.9499282836914,234.51391461919502,6.1738057136535645,9.577317237854004,-0.6676631374908653,9.334447860717773,16.8990478515625,-0.22162145356789975,1.0
5,124.97322082519531,238.919242541544,5.727275371551514,9.358560562133789,-0.5923505321505886,9.338109970092773,17.397504806518555,-0.29475069283566513,0.27163461538461536
6,101.10530471801758,238.0112517493062,4.9252777099609375,8.87890338897705,-0.4333070621956736,9.715575218200684,17.842439651489258,-0.36182301759264734,0.02403846153846154
7,76.56604766845703,235.32068262595658,4.557308197021484,8.477320671081543,-0.30658537153742316,10.881097793579102,18.080692291259766,-0.3984350754919139,0.028846153846153848
8,66.34497451782227,209.97074324174446,4.124648571014404,7.745211601257324,-0.09065446033298641,11.022704124450684,17.319494247436523,-0.2831654731049136,0.040865384615384616
9,65.63176727294922,216.82061290152365,4.327396869659424,7.909090518951416,-0.13729641397690528,11.467435836791992,17.56513023376465,-0.31982075164224355,0.007211538461538462
10,59.496788024902344,199.61863029151664,4.1875691413879395,7.907374382019043,-0.13680294452988573,9.735533714294434,16.55850601196289,-0.17288255225419324,0.0
11,50.832136154174805,153.88531062924517,3.7576534748077393,7.332961559295654,0.022359005894232675,7.281447887420654,14.15012264251709,0.143489626283675,0.0
12,47.05948448181152,140.38567175620165,3.6100878715515137,7.142780303955078,0.07241179713787715,6.561239242553711,13.369095802307129,0.23543173280133922,0.0
13,42.52612113952637,162.16231960327445,3.956491231918335,7.745956897735596,-0.09086436197114955,6.812047481536865,14.294227600097656,0.12595538296578246,0.0
14,36.30131721496582,153.42667735016425,3.5527238845825195,7.403749942779541,0.003392655798616029,6.769927024841309,14.043586730957031,0.15633844715959666,0.0
