phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,reused_completed_fit,checkpoint_sha256
candidate,118d66c0e53f510c51ed,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,11.904724792111663,False,4d53f068a1aafc1dc2626d937fcd267ad8cf0b884e106c2af957d12108742478
candidate,12e11e8eaee71fc57209,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,71,171,10.604275832884014,False,c5321b07080bb93d9b363ac48b19f98091c05280f322b2e070966c90ea829be7
candidate,12e11e8eaee71fc57209,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.89305704110302,False,d6dc3739790545386512df1ec03aca9be9b390d3a4744980b9a1563e348ce32c
candidate,12e11e8eaee71fc57209,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,70,170,11.439949916908516,False,0eafddddfaccd97f7971f8ada74edf189710a3660c40922c8aec7f0ea529fd15
candidate,135ac7deca522d1e7929,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,10.911698333220556,False,bda2397090eadc0e48beeb9346502414f0c1ed91d00371c81a1f5f4d73bff961
candidate,135ac7deca522d1e7929,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,42,142,9.216127792140467,False,8dfe5c7653ebd80bb930ee0a54bba5697905cc2b6e3651ea9739bedc7cd09cc3
candidate,135ac7deca522d1e7929,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,110,210,14.984038625145333,False,74dd3f7ce15bc1120ae1086fad11147eed26ad75421d6c363218d4d7463164bd
candidate,13fb1511fffef8fc96e0,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,75,175,11.220391415990887,False,1ba94fc4dd5240762fa7a09aa77efc3f8bd08b25b9f38fd44d90d3318686c021
candidate,13fb1511fffef8fc96e0,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.52726404205896,False,d4a74f5366cae78a2136efa508e5086d9e6acb35a3b41d1e6081315cf8144b64
candidate,13fb1511fffef8fc96e0,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,78,178,17.78076612506993,False,24b85279f494e784e1ed40cc59c6cb6442b01810faaea454d3e4ee771ebe32e7
candidate,194278dd9ee3d2407ed5,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,109,209,14.888435875065625,False,e898c05623ae84b11214d33428d6c2c53784a4e30ddaa56430ee989a3889fd4b
candidate,194278dd9ee3d2407ed5,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,10.46528424997814,False,61c6c786e012ebf6162f9329cbd842ce7b838d1cd79d62a36506549e1d315473
candidate,194278dd9ee3d2407ed5,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,113,213,14.252829999895766,False,b7a9adbbbaf9d0bfd5b4d561d97551fca292e9aa5f8f510be0ee3059747c6eeb
candidate,1fe1163f7d97c16f3822,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,11.951674458105115,False,48246afe37cf53c90e5052f43eece137c3ff93c9b96484829e8699bd70fd038f
candidate,1fe1163f7d97c16f3822,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,9.60808024997823,False,4b2e3b9786713753e2fab4badf31e43206ee463b902ffe22a65cb6a98d0dcc66
candidate,1fe1163f7d97c16f3822,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,11.956104333046824,False,1c7021f80a95b758f2f1815d31f4bb09845280a9f307eb1d39242111b3a505c4
candidate,226ebdbf914ce9333de8,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,340,440,28.412466541863974,False,8a807eddb0ac3123263b5ba12f2e5cd771334be51e9edb1f37d85fd38a0ad87b
candidate,226ebdbf914ce9333de8,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,41,141,9.240820542210711,False,494fb99c9bf6611a50115b6b7e3033cf918779c0c92e0f1375ecf7b1563829d2
candidate,226ebdbf914ce9333de8,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,12.325241459067913,False,4e08058e23068cc1510538f62d66020a9573fbdd7b6ebd97fac00328942324a1
candidate,27b234a05f8c66fd059f,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,268,368,23.67670091590844,False,9ffe8f5b940d84de34960b3bfe5f79fa14a1cb0ff77b53d3741c3bc9e359920e
candidate,27b234a05f8c66fd059f,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,44,144,9.511263082968073,False,24acda14553bab8218237b964f360d5044a85bc5fe80792aaaf921c937064dbf
candidate,27b234a05f8c66fd059f,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,78,178,12.15230729104951,False,28b7fa36f082731e372992a11ba6cf79cd3557d261c6e022ca2f0924e334a7fd
candidate,2cbca950d64fdcd81660,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,10.518759458092973,False,642ace2c220331798a4dfefcc3dbc102122a1d81c983491310ce307ef6289a9c
candidate,2cbca950d64fdcd81660,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,42,142,9.225054207956418,False,6852d3023a1f571c93a34bdd492bb49cdadaa2161615e3517fa2b33710c7d4c7
candidate,2cbca950d64fdcd81660,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,113,213,18.67576820915565,False,a179ec7e60e976f5c983f303c583e0e09cf5e34f0fd8cbd2cadc716bca60079e
candidate,31d92ca6486b229184cf,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,11.075164625188336,False,3803e40223bde054aefc142b08a190bf55b9346cfcfac7a6cfa9c65dbb4cddeb
candidate,31d92ca6486b229184cf,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,9.8833812919911,False,0840c1d22a63884a6fa812591ae7b873ff1f54749eb2f5d1a7f046166f87c288
candidate,31d92ca6486b229184cf,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,15.546181542100385,False,461ce996c986cd39e6afb0fc876b2af875cbc119250d0a7673cc04760a85a8e1
candidate,3a02b99399bb0c3e9ff9,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,21.23336874996312,False,4e535adc0ac953f2a3bc4f2947d7e714bb610f26cb57e48663b531bde02bbb4c
candidate,3a02b99399bb0c3e9ff9,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,17.14384449995123,False,bbd2b1fa6fd4754c0060235d0b42691264235b9fa2f8017fd87590c07bbbded8
candidate,3a02b99399bb0c3e9ff9,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,12.510876832995564,False,d81c02083736d02885e94693a0226139317beea554ca9e9f92a4abdf34b283bb
candidate,3b03dfa8ff44ff554734,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,80,180,11.316866542212663,False,935862ae286e3d2ea59f4c4a89645645a0e82321b400aafdc84317286b843e33
candidate,3b03dfa8ff44ff554734,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,52,152,9.985382874961942,False,0fabb496ce17d4cfc9c25fbdd375973acbdc28ef014ced754d245c24851ce64e
candidate,3b03dfa8ff44ff554734,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,78,178,12.20192279177718,False,f7edfa58d06e58fe908b898fc7534cb6c8d5c551d72ddfc9934f0b0301b9e79a
candidate,3d5dc8831f4c74f7b7d1,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,97,197,13.597284041112289,False,9b3f117a5b0a9c46bf5f719594d11ac35fa9808cf2f04a01d8a1ace54fb265b7
candidate,3d5dc8831f4c74f7b7d1,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,56,156,10.15842237486504,False,a632c04693cf4f8032b1dd8a85ad29008658047ed09f6aee44f4364e8b921025
candidate,3d5dc8831f4c74f7b7d1,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,304,404,27.931370292091746,False,b94d6d06188308a87d23d52a1f638c36aefe99168c06d0933fa5b1d9177ba789
candidate,404dc3e2801a9a9d52aa,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,81,181,12.11083933385089,False,c978c06ea9208d4b0f6a49933c5bc99a1c4b462b24b7b38b6e697e2a752f8aa3
candidate,404dc3e2801a9a9d52aa,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,44,144,9.172378750052305,False,54d5028a622bb06230551d6e131870f45d458fc62a5bc3b27e560ae89f4ed313
candidate,404dc3e2801a9a9d52aa,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,97,197,13.352189084049314,False,8f15d55784710e2ac7d610da25dd78e670b50c96aa1e4400a6044c57005c1930
candidate,41a468134f078d2de17d,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,309,409,26.486091708065945,False,18291ee886e1929a09b1052abd12c75d12eb4f0dde9703c0f5e124dce16f3bdd
candidate,41a468134f078d2de17d,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,46,146,9.767927833134308,False,a1d282b6b1c054439d87875ce50d9bed6b08e96117ced686c1f0abc96f2ff241
