score,subset,n,rho,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed
ensemble_score,representative_random,48,-0.037397888580005846,-0.38137104985858683,0.29257057000756365,2000,2000,4502
quantile_width,representative_random,48,0.10958829759511148,-0.18259571671612698,0.4046266370872457,2000,2000,4503
coverage_score,representative_random,48,0.0414144978034027,-0.2577759762629667,0.33776363299975387,2000,2000,4504
