phase,candidate_id,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,checkpoint_sha256
baseline,,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,ed132a79d749346da180294d2b8981aa64e745a4f2b7969be83c5772337a969c
baseline,,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,4fea56565cbe45718a788d5bc241a8e98898b48ce44ce7ea5060e689126a704d
baseline,,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,ebaae68f8c9210329d56555a153f49cf2177d5c9f8b870ed21c825e3a891e0d0
candidate,07e9bc7a9d27fdd58c2f,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,8b8c11e961e5e9c466cc420682555392a74c90f9ff9376a5f2d420e7e294b4cb
candidate,07e9bc7a9d27fdd58c2f,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,85d1b48d2d8bd13afcb809cac35f542a47cbf8707ba6c1dcb600a7bb244b99f2
candidate,07e9bc7a9d27fdd58c2f,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,ed57d22fb0f6b96eea0a8b11a7943fdda0878dad24dd3b310f49f3a76cc4ca3c
candidate,08820514e662ce6ea8f0,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,ae2860791b6484b517664ab9e3dee81e2cb40eb444d8b07021406cb17b0b98c5
candidate,08820514e662ce6ea8f0,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,1fd61adf2a16cb633cf7ba733a5590098067b444b2485a00c24aea0c7c7b818d
candidate,08820514e662ce6ea8f0,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,3253a7293d0f638d961d62e5b52ab83c63cddfaf3a6d91e4412d303629ad2ed7
candidate,0974fc9cbeb3820c4065,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,055508634fd080e1f7d5e1e184b67d7e81207b5ecdde652adda9f71627eba38f
candidate,0974fc9cbeb3820c4065,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,8894e10922a3e0eee64939c20c7402f26bbbebc29f8eef509847a9f17caf0137
candidate,0974fc9cbeb3820c4065,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,fcfd5a87daa8227fa3e0fe31a351312bb002901e5cccb7013955f0fb1c8fb0f4
candidate,0c0f89307cc4aff87ab6,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,3cd100ca88a3965bd00f6e862bb1f80d243b2c45fe194d68680295249b60bf52
candidate,0c0f89307cc4aff87ab6,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,f2726874871831fb2472b2eba01ae3a74b4a29d14771b002a12f9a8d1f5bc302
candidate,0c0f89307cc4aff87ab6,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,e518d4932f33b6e36544038eb8c93c4cc2a8a2c9bde80a3bc483fc30499c804e
