subset,n,mean_oracle_utility_combined,median_oracle_utility_combined,positive_fraction_combined,representative_mean,representative_median,representative_positive_fraction
ensemble_top8,8,-0.01984837654499125,-0.0245858018170109,0.25,0.004507112742589067,0.00332836055618825,0.5833333333333334
qwidth_top8,8,-0.06902044312891319,-0.01311649030599295,0.375,0.004507112742589067,0.00332836055618825,0.5833333333333334
coverage_top8,8,-0.04746372106939981,0.0042567728925461,0.625,0.004507112742589067,0.00332836055618825,0.5833333333333334
