score,subset,oracle_high_definition,oracle_high_threshold,n,positive_count,AUROC
ensemble_score,representative_random,combined utility >= representative 75th percentile,0.013215260437337624,48,12,0.5648148148148148
quantile_width,representative_random,combined utility >= representative 75th percentile,0.013215260437337624,48,12,0.7106481481481481
coverage_score,representative_random,combined utility >= representative 75th percentile,0.013215260437337624,48,12,0.6620370370370371
