score,subset,fraction,selected_count,selected_high_count,selected_high_rate,base_high_rate,enrichment
ensemble_score,representative_random,0.1,5,3,0.6,0.25,2.4
ensemble_score,representative_random,0.2,10,3,0.3,0.25,1.2
ensemble_score,representative_random,0.25,12,4,0.3333333333333333,0.25,1.3333333333333333
quantile_width,representative_random,0.1,5,3,0.6,0.25,2.4
quantile_width,representative_random,0.2,10,4,0.4,0.25,1.6
quantile_width,representative_random,0.25,12,4,0.3333333333333333,0.25,1.3333333333333333
coverage_score,representative_random,0.1,5,1,0.2,0.25,0.8
coverage_score,representative_random,0.2,10,3,0.3,0.25,1.2
coverage_score,representative_random,0.25,12,3,0.25,0.25,1.0
