outer_seed,comparator,metric,direction,CW_minus_comparator
157,gradient_maxdet,AULC_525_653,negative_is_CW_better,-0.007735248886000412
157,gradient_maxdet,AULC_429_653,negative_is_CW_better,-0.023930610700970467
157,gradient_maxdet,AULC_333_653,negative_is_CW_better,-0.013887195979094269
157,gradient_maxdet,NRMSE@557,negative_is_CW_better,0.00345359134865153
157,gradient_maxdet,NRMSE@589,negative_is_CW_better,0.007967313311481983
157,gradient_maxdet,NRMSE@621,negative_is_CW_better,0.000895312628272249
157,gradient_maxdet,NRMSE@653,negative_is_CW_better,0.010100584206709728
157,gradient_maxdet,V1_RMSE@653,negative_is_CW_better,-0.009318264487796935
157,gradient_maxdet,V2_RMSE@653,negative_is_CW_better,0.3498870395556448
157,gradient_maxdet,V1_R2@653,positive_is_CW_better,0.0012339011766898667
157,gradient_maxdet,V2_R2@653,positive_is_CW_better,-0.016225717363829606
157,hybrid,AULC_525_653,negative_is_CW_better,-0.07725156757275053
157,hybrid,AULC_429_653,negative_is_CW_better,-0.06585164776713359
157,hybrid,AULC_333_653,negative_is_CW_better,-0.0466395895352939
157,hybrid,NRMSE@557,negative_is_CW_better,-0.05153591166629701
157,hybrid,NRMSE@589,negative_is_CW_better,-0.09846268237621725
157,hybrid,NRMSE@621,negative_is_CW_better,-0.07623046177037551
157,hybrid,NRMSE@653,negative_is_CW_better,-0.0812970901713031
157,hybrid,V1_RMSE@653,negative_is_CW_better,-0.8180583907321273
157,hybrid,V2_RMSE@653,negative_is_CW_better,-0.2579313199224327
157,hybrid,V1_R2@653,positive_is_CW_better,0.12027708462935127
157,hybrid,V2_R2@653,positive_is_CW_better,0.012647786631894253
157,kernel_ivr,AULC_525_653,negative_is_CW_better,-0.017345719561025263
157,kernel_ivr,AULC_429_653,negative_is_CW_better,-0.01971565997770952
157,kernel_ivr,AULC_333_653,negative_is_CW_better,-0.025184727587757805
157,kernel_ivr,NRMSE@557,negative_is_CW_better,-0.036610546081283335
157,kernel_ivr,NRMSE@589,negative_is_CW_better,-0.010232353468437427
157,kernel_ivr,NRMSE@621,negative_is_CW_better,-0.017128433111676444
157,kernel_ivr,NRMSE@653,negative_is_CW_better,-0.025575063822842192
157,kernel_ivr,V1_RMSE@653,negative_is_CW_better,-0.3985357006144232
157,kernel_ivr,V2_RMSE@653,negative_is_CW_better,0.3400518377827595
157,kernel_ivr,V1_R2@653,positive_is_CW_better,0.055575310163654024
157,kernel_ivr,V2_R2@653,positive_is_CW_better,-0.015784261892346607
157,lcmd,AULC_525_653,negative_is_CW_better,-0.08392352001821879
157,lcmd,AULC_429_653,negative_is_CW_better,-0.08801342260281109
157,lcmd,AULC_333_653,negative_is_CW_better,-0.07025544420026408
157,lcmd,NRMSE@557,negative_is_CW_better,-0.09865553284972428
157,lcmd,NRMSE@589,negative_is_CW_better,-0.10185061875582957
157,lcmd,NRMSE@621,negative_is_CW_better,-0.06305169601054383
157,lcmd,NRMSE@653,negative_is_CW_better,-0.06452700874482925
157,lcmd,V1_RMSE@653,negative_is_CW_better,-0.5633847023186265
